# DeepLocPro subcellular localisation per protein.  This replaces a three-tool
# summary (SignalP 6 + DeepTMHMM + DeepLocPro); the other two tools' columns
# reached no published table or figure.
protein_id	deeplocpro_localization
gnl|extdb|AC1V0C_00590	Extracellular
gnl|extdb|AC1V0C_00595	Cytoplasmic
gnl|extdb|AC1V0C_00600	Cytoplasmic
gnl|extdb|AC1V0C_00605	Cytoplasmic
gnl|extdb|AC1V0C_00610	Cytoplasmic
gnl|extdb|AC1V0C_00615	Cytoplasmic
gnl|extdb|AC1V0C_00620	Cytoplasmic
gnl|extdb|AC1V0C_00625	Periplasmic
gnl|extdb|AC1V0C_00630	Cytoplasmic
gnl|extdb|AC1V0C_00635	Cytoplasmic
gnl|extdb|AC1V0C_00640	Cytoplasmic
gnl|extdb|AC1V0C_00645	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00650	Cytoplasmic
gnl|extdb|AC1V0C_00655	Cytoplasmic
gnl|extdb|AC1V0C_00660	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00665	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00670	Cytoplasmic
gnl|extdb|AC1V0C_00675	Cytoplasmic
gnl|extdb|AC1V0C_00680	Extracellular
gnl|extdb|AC1V0C_00685	Outer Membrane
gnl|extdb|AC1V0C_00690	Cytoplasmic
gnl|extdb|AC1V0C_00695	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00700	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00705	Cytoplasmic
gnl|extdb|AC1V0C_00710	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00715	Cytoplasmic
gnl|extdb|AC1V0C_00720	Cytoplasmic
gnl|extdb|AC1V0C_00725	Cytoplasmic
gnl|extdb|AC1V0C_00730	Cytoplasmic
gnl|extdb|AC1V0C_00735	Cytoplasmic
gnl|extdb|AC1V0C_00740	Cytoplasmic
gnl|extdb|AC1V0C_00750	Cytoplasmic
gnl|extdb|AC1V0C_00755	Cytoplasmic
gnl|extdb|AC1V0C_00760	Cytoplasmic
gnl|extdb|AC1V0C_00765	Periplasmic
gnl|extdb|AC1V0C_00770	Cytoplasmic
gnl|extdb|AC1V0C_00775	Cytoplasmic
gnl|extdb|AC1V0C_00780	Cytoplasmic
gnl|extdb|AC1V0C_00785	Outer Membrane
gnl|extdb|AC1V0C_00790	Cytoplasmic
gnl|extdb|AC1V0C_00795	Cytoplasmic
gnl|extdb|AC1V0C_00800	Cytoplasmic
gnl|extdb|AC1V0C_00805	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00820	Cytoplasmic
gnl|extdb|AC1V0C_00825	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00830	Cytoplasmic
gnl|extdb|AC1V0C_00835	Cytoplasmic
gnl|extdb|AC1V0C_00840	Cytoplasmic
gnl|extdb|AC1V0C_00845	Cytoplasmic
gnl|extdb|AC1V0C_00850	Cytoplasmic
gnl|extdb|AC1V0C_00855	Cytoplasmic
gnl|extdb|AC1V0C_00860	Extracellular
gnl|extdb|AC1V0C_00865	Cytoplasmic
gnl|extdb|AC1V0C_00870	Cytoplasmic
gnl|extdb|AC1V0C_00875	Cytoplasmic
gnl|extdb|AC1V0C_00880	Cytoplasmic
gnl|extdb|AC1V0C_00885	Extracellular
gnl|extdb|AC1V0C_00890	Extracellular
gnl|extdb|AC1V0C_00895	Cytoplasmic
gnl|extdb|AC1V0C_00900	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00905	Cytoplasmic
gnl|extdb|AC1V0C_00910	Cytoplasmic
gnl|extdb|AC1V0C_00915	Cytoplasmic
gnl|extdb|AC1V0C_00920	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00925	Cytoplasmic
gnl|extdb|AC1V0C_00930	Cytoplasmic
gnl|extdb|AC1V0C_00935	Cytoplasmic
gnl|extdb|AC1V0C_00940	Cytoplasmic
gnl|extdb|AC1V0C_00945	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00950	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00955	Cytoplasmic
gnl|extdb|AC1V0C_00960	Cytoplasmic
gnl|extdb|AC1V0C_00965	Cytoplasmic
gnl|extdb|AC1V0C_00970	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00975	Cytoplasmic
gnl|extdb|AC1V0C_00980	Cytoplasmic
gnl|extdb|AC1V0C_00985	Cytoplasmic
gnl|extdb|AC1V0C_00990	Cytoplasmic
gnl|extdb|AC1V0C_00995	Cytoplasmic
gnl|extdb|AC1V0C_01000	Periplasmic
gnl|extdb|AC1V0C_01005	Extracellular
gnl|extdb|AC1V0C_01010	Cytoplasmic
gnl|extdb|AC1V0C_01015	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01020	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01025	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01030	Cytoplasmic
gnl|extdb|AC1V0C_01035	Cytoplasmic
gnl|extdb|AC1V0C_01040	Cytoplasmic
gnl|extdb|AC1V0C_01045	Cytoplasmic
gnl|extdb|AC1V0C_01050	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01055	Cytoplasmic
gnl|extdb|AC1V0C_01060	Cytoplasmic
gnl|extdb|AC1V0C_01065	Cytoplasmic
gnl|extdb|AC1V0C_01070	Cytoplasmic
gnl|extdb|AC1V0C_01075	Periplasmic
gnl|extdb|AC1V0C_01080	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01085	Cytoplasmic
gnl|extdb|AC1V0C_01090	Cytoplasmic
gnl|extdb|AC1V0C_01095	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01100	Cytoplasmic
gnl|extdb|AC1V0C_01105	Cytoplasmic
gnl|extdb|AC1V0C_01110	Cytoplasmic
gnl|extdb|AC1V0C_01115	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01120	Outer Membrane
gnl|extdb|AC1V0C_01125	Cytoplasmic
gnl|extdb|AC1V0C_01130	Cytoplasmic
gnl|extdb|AC1V0C_01135	Cytoplasmic
gnl|extdb|AC1V0C_01140	Outer Membrane
gnl|extdb|AC1V0C_01145	Periplasmic
gnl|extdb|AC1V0C_01155	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01160	Cytoplasmic
gnl|extdb|AC1V0C_01165	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01170	Cytoplasmic
gnl|extdb|AC1V0C_01175	Cytoplasmic
gnl|extdb|AC1V0C_01180	Cytoplasmic
gnl|extdb|AC1V0C_01185	Cytoplasmic
gnl|extdb|AC1V0C_01190	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01195	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01200	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01205	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01210	Periplasmic
gnl|extdb|AC1V0C_01215	Cytoplasmic
gnl|extdb|AC1V0C_01220	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01225	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01230	Cytoplasmic
gnl|extdb|AC1V0C_01235	Outer Membrane
gnl|extdb|AC1V0C_01240	Outer Membrane
gnl|extdb|AC1V0C_01245	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01250	Cytoplasmic
gnl|extdb|AC1V0C_01255	Cytoplasmic
gnl|extdb|AC1V0C_01260	Periplasmic
gnl|extdb|AC1V0C_01265	Cytoplasmic
gnl|extdb|AC1V0C_01270	Cytoplasmic
gnl|extdb|AC1V0C_01275	Cytoplasmic
gnl|extdb|AC1V0C_01280	Periplasmic
gnl|extdb|AC1V0C_01285	Cytoplasmic
gnl|extdb|AC1V0C_01290	Cytoplasmic
gnl|extdb|AC1V0C_01295	Cytoplasmic
gnl|extdb|AC1V0C_01300	Cytoplasmic
gnl|extdb|AC1V0C_01305	Cytoplasmic
gnl|extdb|AC1V0C_01310	Cytoplasmic
gnl|extdb|AC1V0C_01315	Cytoplasmic
gnl|extdb|AC1V0C_01320	Cytoplasmic
gnl|extdb|AC1V0C_01325	Cytoplasmic
gnl|extdb|AC1V0C_01330	Cytoplasmic
gnl|extdb|AC1V0C_01335	Extracellular
gnl|extdb|AC1V0C_01365	Cytoplasmic
gnl|extdb|AC1V0C_01385	Cytoplasmic
gnl|extdb|AC1V0C_01395	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01400	Cytoplasmic
gnl|extdb|AC1V0C_01405	Outer Membrane
gnl|extdb|AC1V0C_01410	Outer Membrane
gnl|extdb|AC1V0C_01415	Cytoplasmic
gnl|extdb|AC1V0C_01420	Cytoplasmic
gnl|extdb|AC1V0C_01425	Outer Membrane
gnl|extdb|AC1V0C_01430	Cytoplasmic
gnl|extdb|AC1V0C_01435	Cytoplasmic
gnl|extdb|AC1V0C_01440	Cytoplasmic
gnl|extdb|AC1V0C_01445	Outer Membrane
gnl|extdb|AC1V0C_01450	Cytoplasmic
gnl|extdb|AC1V0C_01455	Cytoplasmic
gnl|extdb|AC1V0C_01460	Cytoplasmic
gnl|extdb|AC1V0C_01465	Outer Membrane
gnl|extdb|AC1V0C_01470	Outer Membrane
gnl|extdb|AC1V0C_01475	Cytoplasmic
gnl|extdb|AC1V0C_01480	Outer Membrane
gnl|extdb|AC1V0C_01485	Cytoplasmic
gnl|extdb|AC1V0C_01490	Outer Membrane
gnl|extdb|AC1V0C_01495	Outer Membrane
gnl|extdb|AC1V0C_01500	Outer Membrane
gnl|extdb|AC1V0C_01505	Cytoplasmic
gnl|extdb|AC1V0C_01510	Cytoplasmic
gnl|extdb|AC1V0C_01515	Outer Membrane
gnl|extdb|AC1V0C_01520	Cytoplasmic
gnl|extdb|AC1V0C_01525	Outer Membrane
gnl|extdb|AC1V0C_01530	Cytoplasmic
gnl|extdb|AC1V0C_01535	Cytoplasmic
gnl|extdb|AC1V0C_01540	Outer Membrane
gnl|extdb|AC1V0C_01545	Cytoplasmic
gnl|extdb|AC1V0C_01550	Cytoplasmic
gnl|extdb|AC1V0C_01555	Outer Membrane
gnl|extdb|AC1V0C_01560	Outer Membrane
gnl|extdb|AC1V0C_01565	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01570	Cytoplasmic
gnl|extdb|AC1V0C_01575	Outer Membrane
gnl|extdb|AC1V0C_01580	Outer Membrane
gnl|extdb|AC1V0C_01585	Cytoplasmic
gnl|extdb|AC1V0C_01590	Outer Membrane
gnl|extdb|AC1V0C_01595	Cytoplasmic
gnl|extdb|AC1V0C_01600	Cytoplasmic
gnl|extdb|AC1V0C_01605	Cytoplasmic
gnl|extdb|AC1V0C_01610	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01615	Cytoplasmic
gnl|extdb|AC1V0C_01620	Cytoplasmic
gnl|extdb|AC1V0C_01625	Periplasmic
gnl|extdb|AC1V0C_01630	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01635	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01640	Periplasmic
gnl|extdb|AC1V0C_01645	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01650	Outer Membrane
gnl|extdb|AC1V0C_01655	Cytoplasmic
gnl|extdb|AC1V0C_01660	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01665	Cytoplasmic
gnl|extdb|AC1V0C_01670	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01675	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01680	Outer Membrane
gnl|extdb|AC1V0C_01685	Cytoplasmic
gnl|extdb|AC1V0C_01690	Cytoplasmic
gnl|extdb|AC1V0C_01695	Cytoplasmic
gnl|extdb|AC1V0C_01700	Periplasmic
gnl|extdb|AC1V0C_01705	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01710	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01715	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01720	Cytoplasmic
gnl|extdb|AC1V0C_01725	Outer Membrane
gnl|extdb|AC1V0C_01730	Cytoplasmic
gnl|extdb|AC1V0C_01735	Cytoplasmic
gnl|extdb|AC1V0C_01740	Cytoplasmic
gnl|extdb|AC1V0C_01745	Cytoplasmic
gnl|extdb|AC1V0C_01750	Cytoplasmic
gnl|extdb|AC1V0C_01755	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01760	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01765	Cytoplasmic
gnl|extdb|AC1V0C_01770	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01775	Cytoplasmic
gnl|extdb|AC1V0C_01780	Cytoplasmic
gnl|extdb|AC1V0C_01785	Cytoplasmic
gnl|extdb|AC1V0C_01790	Cytoplasmic
gnl|extdb|AC1V0C_01795	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01800	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01805	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01810	Outer Membrane
gnl|extdb|AC1V0C_01815	Periplasmic
gnl|extdb|AC1V0C_01820	Cytoplasmic
gnl|extdb|AC1V0C_01825	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01830	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01835	Cytoplasmic
gnl|extdb|AC1V0C_01840	Cytoplasmic
gnl|extdb|AC1V0C_01845	Cytoplasmic
gnl|extdb|AC1V0C_01850	Cytoplasmic
gnl|extdb|AC1V0C_01855	Cytoplasmic
gnl|extdb|AC1V0C_01860	Cytoplasmic
gnl|extdb|AC1V0C_01865	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01870	Cytoplasmic
gnl|extdb|AC1V0C_01875	Cytoplasmic
gnl|extdb|AC1V0C_01880	Cytoplasmic
gnl|extdb|AC1V0C_01885	Cytoplasmic
gnl|extdb|AC1V0C_01890	Cytoplasmic
gnl|extdb|AC1V0C_01895	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01900	Cytoplasmic
gnl|extdb|AC1V0C_01905	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01910	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01915	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01920	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01925	Cytoplasmic
gnl|extdb|AC1V0C_01930	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01935	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01940	Cytoplasmic Membrane
gnl|extdb|AC1V0C_01945	Cytoplasmic
gnl|extdb|AC1V0C_01950	Cytoplasmic
gnl|extdb|AC1V0C_01965	Cytoplasmic
gnl|extdb|AC1V0C_01970	Cytoplasmic
gnl|extdb|AC1V0C_01975	Cytoplasmic
gnl|extdb|AC1V0C_01980	Cytoplasmic
gnl|extdb|AC1V0C_01985	Cytoplasmic
gnl|extdb|AC1V0C_01990	Periplasmic
gnl|extdb|AC1V0C_01995	Extracellular
gnl|extdb|AC1V0C_02000	Extracellular
gnl|extdb|AC1V0C_02005	Cytoplasmic
gnl|extdb|AC1V0C_02010	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02020	Extracellular
gnl|extdb|AC1V0C_02025	Extracellular
gnl|extdb|AC1V0C_02030	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02035	Cytoplasmic
gnl|extdb|AC1V0C_02040	Outer Membrane
gnl|extdb|AC1V0C_02045	Outer Membrane
gnl|extdb|AC1V0C_02050	Cytoplasmic
gnl|extdb|AC1V0C_02055	Cytoplasmic
gnl|extdb|AC1V0C_02060	Extracellular
gnl|extdb|AC1V0C_02065	Cytoplasmic
gnl|extdb|AC1V0C_02070	Cytoplasmic
gnl|extdb|AC1V0C_02075	Cytoplasmic
gnl|extdb|AC1V0C_02080	Cytoplasmic
gnl|extdb|AC1V0C_02085	Cytoplasmic
gnl|extdb|AC1V0C_02090	Periplasmic
gnl|extdb|AC1V0C_02095	Cytoplasmic
gnl|extdb|AC1V0C_02100	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02105	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02110	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02115	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02120	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02125	Cytoplasmic
gnl|extdb|AC1V0C_02130	Cytoplasmic
gnl|extdb|AC1V0C_02135	Periplasmic
gnl|extdb|AC1V0C_02140	Cytoplasmic
gnl|extdb|AC1V0C_02145	Outer Membrane
gnl|extdb|AC1V0C_02150	Cytoplasmic
gnl|extdb|AC1V0C_02155	Cytoplasmic
gnl|extdb|AC1V0C_02160	Cytoplasmic
gnl|extdb|AC1V0C_02165	Cytoplasmic
gnl|extdb|AC1V0C_02170	Cytoplasmic
gnl|extdb|AC1V0C_02175	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02180	Cytoplasmic
gnl|extdb|AC1V0C_02185	Cytoplasmic
gnl|extdb|AC1V0C_02190	Cytoplasmic
gnl|extdb|AC1V0C_02195	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02200	Cytoplasmic
gnl|extdb|AC1V0C_02205	Cytoplasmic
gnl|extdb|AC1V0C_02210	Cytoplasmic
gnl|extdb|AC1V0C_02215	Cytoplasmic
gnl|extdb|AC1V0C_02220	Cytoplasmic
gnl|extdb|AC1V0C_02225	Cytoplasmic
gnl|extdb|AC1V0C_02230	Cytoplasmic
gnl|extdb|AC1V0C_02235	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02240	Cytoplasmic
gnl|extdb|AC1V0C_02245	Cytoplasmic
gnl|extdb|AC1V0C_02250	Cytoplasmic
gnl|extdb|AC1V0C_02255	Cytoplasmic
gnl|extdb|AC1V0C_02260	Periplasmic
gnl|extdb|AC1V0C_02265	Cytoplasmic
gnl|extdb|AC1V0C_02270	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02275	Cytoplasmic
gnl|extdb|AC1V0C_02280	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02285	Periplasmic
gnl|extdb|AC1V0C_02290	Periplasmic
gnl|extdb|AC1V0C_02295	Cytoplasmic
gnl|extdb|AC1V0C_02300	Cytoplasmic
gnl|extdb|AC1V0C_02305	Periplasmic
gnl|extdb|AC1V0C_02310	Cytoplasmic
gnl|extdb|AC1V0C_02315	Cytoplasmic
gnl|extdb|AC1V0C_02320	Cytoplasmic
gnl|extdb|AC1V0C_02325	Cytoplasmic
gnl|extdb|AC1V0C_02330	Cytoplasmic
gnl|extdb|AC1V0C_02335	Cytoplasmic
gnl|extdb|AC1V0C_02340	Cytoplasmic
gnl|extdb|AC1V0C_02345	Cytoplasmic
gnl|extdb|AC1V0C_02350	Cytoplasmic
gnl|extdb|AC1V0C_02355	Cytoplasmic
gnl|extdb|AC1V0C_02360	Cytoplasmic
gnl|extdb|AC1V0C_02365	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02370	Outer Membrane
gnl|extdb|AC1V0C_02375	Cytoplasmic
gnl|extdb|AC1V0C_02380	Cytoplasmic
gnl|extdb|AC1V0C_02385	Cytoplasmic
gnl|extdb|AC1V0C_02390	Cytoplasmic
gnl|extdb|AC1V0C_02395	Cytoplasmic
gnl|extdb|AC1V0C_02400	Cytoplasmic
gnl|extdb|AC1V0C_02430	Cytoplasmic
gnl|extdb|AC1V0C_02435	Cytoplasmic
gnl|extdb|AC1V0C_02440	Cytoplasmic
gnl|extdb|AC1V0C_02445	Outer Membrane
gnl|extdb|AC1V0C_02450	Cytoplasmic
gnl|extdb|AC1V0C_02455	Cytoplasmic
gnl|extdb|AC1V0C_02460	Cytoplasmic
gnl|extdb|AC1V0C_02465	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02470	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02475	Cytoplasmic
gnl|extdb|AC1V0C_02480	Cytoplasmic
gnl|extdb|AC1V0C_02485	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02490	Cytoplasmic
gnl|extdb|AC1V0C_02495	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02500	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02505	Cytoplasmic
gnl|extdb|AC1V0C_02510	Cytoplasmic
gnl|extdb|AC1V0C_02515	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02520	Cytoplasmic
gnl|extdb|AC1V0C_02525	Cytoplasmic
gnl|extdb|AC1V0C_02530	Cytoplasmic
gnl|extdb|AC1V0C_02535	Cytoplasmic
gnl|extdb|AC1V0C_02540	Cytoplasmic
gnl|extdb|AC1V0C_02545	Cytoplasmic
gnl|extdb|AC1V0C_02550	Cytoplasmic
gnl|extdb|AC1V0C_02555	Cytoplasmic
gnl|extdb|AC1V0C_02560	Cytoplasmic
gnl|extdb|AC1V0C_02565	Cytoplasmic
gnl|extdb|AC1V0C_02570	Cytoplasmic
gnl|extdb|AC1V0C_02575	Cytoplasmic
gnl|extdb|AC1V0C_02580	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02585	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02590	Cytoplasmic
gnl|extdb|AC1V0C_02595	Cytoplasmic Membrane
gnl|extdb|AC1V0C_02605	Cytoplasmic
gnl|extdb|AC1V0C_02610	Cytoplasmic
gnl|extdb|AC1V0C_02615	Cytoplasmic
gnl|extdb|AC1V0C_02620	Cytoplasmic
