## Thu Aug  6 17:01:22 2026
## emapper-2.1.12
## /opt/miniconda3/envs/eggNOG-mapper/bin/emapper.py -i /home/andrey/scripts/MF6_proteomics_V2/data/annotation/annot.faa --itype proteins -m diamond --sensmode sensitive --dmnd_iterate no --block_size 0.4 --index_chunks 4 --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign realign --report_orthologs --excel --cpu 12 --data_dir /home/andrey/eggnog_db --temp_dir /home/andrey/scripts/MF6_proteomics_V2/data/annotation/eggnog/tmp --output annot --output_dir /home/andrey/scripts/MF6_proteomics_V2/data/annotation/eggnog --override
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gnl|extdb|AC1V0C_08455	292.DM42_41	0.0	1345.0	COG4774@1|root,COG4774@2|Bacteria,1MV0X@1224|Proteobacteria,2VIQR@28216|Betaproteobacteria,1K05Y@119060|Burkholderiaceae	28216|Betaproteobacteria	P	TonB-dependent siderophore receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	Plug,TonB_dep_Rec
gnl|extdb|AC1V0C_08460	216591.BCAL1710	3.4e-255	700.0	COG0523@1|root,COG0523@2|Bacteria,1MVZV@1224|Proteobacteria,2VHAV@28216|Betaproteobacteria,1K18W@119060|Burkholderiaceae	28216|Betaproteobacteria	S	cobalamin biosynthesis protein CobW	cobW	-	-	ko:K02234	-	-	-	-	ko00000,ko00001	-	-	-	CobW_C,cobW
gnl|extdb|AC1V0C_08465	216591.BCAL1711	0.0	2500.0	COG1429@1|root,COG1429@2|Bacteria,1MU5W@1224|Proteobacteria,2VI5I@28216|Betaproteobacteria,1K3QY@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Cobaltochelatase CobN subunit	cobN	-	6.6.1.2	ko:K02230	ko00860,ko01100,map00860,map01100	-	R05227	RC02000	ko00000,ko00001,ko01000	-	-	-	CobN-Mg_chel
gnl|extdb|AC1V0C_08470	216591.BCAL1712	1.26e-198	557.0	COG1239@1|root,COG1239@2|Bacteria,1MVD4@1224|Proteobacteria,2VJ2U@28216|Betaproteobacteria,1K2XC@119060|Burkholderiaceae	28216|Betaproteobacteria	H	magnesium chelatase	-	-	6.6.1.1	ko:K03404,ko:K03405	ko00860,ko01100,ko01110,map00860,map01100,map01110	-	R03877	RC01012	ko00000,ko00001,ko01000	-	-	-	Mg_chelatase
gnl|extdb|AC1V0C_08475	216591.BCAL1713	1.46e-135	384.0	COG1240@1|root,COG1240@2|Bacteria,1N2XK@1224|Proteobacteria,2VRZR@28216|Betaproteobacteria,1KFN7@119060|Burkholderiaceae	28216|Betaproteobacteria	H	von Willebrand factor type A domain	-	-	-	ko:K13580	-	-	-	-	ko00000	-	-	-	VWA_2
gnl|extdb|AC1V0C_08480	216591.BCAL1714	3.2e-100	291.0	COG1671@1|root,COG1671@2|Bacteria,1RCZA@1224|Proteobacteria,2VRAZ@28216|Betaproteobacteria,1K75P@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Belongs to the UPF0178 family	yaiI	-	-	ko:K09768	-	-	-	-	ko00000	-	-	-	DUF188
gnl|extdb|AC1V0C_08485	292.DM42_35	2.98e-129	367.0	COG3812@1|root,COG3812@2|Bacteria,1RAFF@1224|Proteobacteria,2W15J@28216|Betaproteobacteria,1K73Y@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Domain of unknown function (DUF1993)	-	-	-	ko:K09983	-	-	-	-	ko00000	-	-	-	DUF1993
gnl|extdb|AC1V0C_08490	292.DM42_34	1.83e-70	212.0	COG4551@1|root,COG4551@2|Bacteria,1N05F@1224|Proteobacteria,2VT1K@28216|Betaproteobacteria,1K95S@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Low molecular weight phosphotyrosine protein phosphatase	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_08495	216591.BCAL1717	7.79e-84	248.0	COG1051@1|root,COG1051@2|Bacteria,1RA9T@1224|Proteobacteria,2W4XU@28216|Betaproteobacteria,1K99U@119060|Burkholderiaceae	28216|Betaproteobacteria	F	Nudix hydrolase	-	-	3.6.1.55	ko:K03574	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	NUDIX
gnl|extdb|AC1V0C_08505	292.DM42_31	1.01e-273	749.0	COG1804@1|root,COG1804@2|Bacteria,1MU2K@1224|Proteobacteria,2VJDW@28216|Betaproteobacteria,1K16N@119060|Burkholderiaceae	28216|Betaproteobacteria	C	PFAM L-carnitine dehydratase bile acid-inducible protein F	-	-	2.8.3.16	ko:K07749	-	-	-	-	ko00000,ko01000	-	-	-	CoA_transf_3
gnl|extdb|AC1V0C_08510	292.DM42_30	1.26e-286	786.0	COG2851@1|root,COG2851@2|Bacteria,1N25B@1224|Proteobacteria,2VHYJ@28216|Betaproteobacteria,1K23W@119060|Burkholderiaceae	28216|Betaproteobacteria	C	TIGRFAM citrate H symporter, CitMHS family	citM	-	-	ko:K03300	-	-	-	-	ko00000	2.A.11	-	-	CitMHS
gnl|extdb|AC1V0C_08515	216591.BCAL1720	1.06e-278	762.0	COG1960@1|root,COG1960@2|Bacteria,1MVAH@1224|Proteobacteria,2VM1E@28216|Betaproteobacteria,1KGMC@119060|Burkholderiaceae	28216|Betaproteobacteria	I	acyl-CoA dehydrogenase	-	-	1.3.8.7	ko:K00249	ko00071,ko00280,ko00410,ko00640,ko01100,ko01110,ko01130,ko01200,ko01212,ko03320,map00071,map00280,map00410,map00640,map01100,map01110,map01130,map01200,map01212,map03320	M00013,M00036,M00087	R00924,R01175,R01279,R02661,R03172,R03777,R03857,R03990,R04095,R04432,R04751,R04754	RC00052,RC00068,RC00076,RC00095,RC00148,RC00246	ko00000,ko00001,ko00002,ko01000	-	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N
gnl|extdb|AC1V0C_08520	292.DM42_28	7.32e-165	462.0	COG1414@1|root,COG1414@2|Bacteria,1MYP0@1224|Proteobacteria,2VQQA@28216|Betaproteobacteria,1K3EZ@119060|Burkholderiaceae	28216|Betaproteobacteria	K	Bacterial transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_IclR,IclR
gnl|extdb|AC1V0C_08525	292.DM42_27	6.08e-294	806.0	COG3979@1|root,COG3979@2|Bacteria,1R5T0@1224|Proteobacteria,2VMSQ@28216|Betaproteobacteria,1K64C@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Carbohydrate-binding family V XII	-	-	3.2.1.14	ko:K01183	ko00520,ko01100,map00520,map01100	-	R01206,R02334	RC00467	ko00000,ko00001,ko01000	-	GH18	-	-
gnl|extdb|AC1V0C_08530	292.DM42_26	0.0	1027.0	COG1010@1|root,COG2073@1|root,COG1010@2|Bacteria,COG2073@2|Bacteria,1MU79@1224|Proteobacteria,2VIG5@28216|Betaproteobacteria,1K0HG@119060|Burkholderiaceae	28216|Betaproteobacteria	H	precorrin-3B C17-methyltransferase	cobJ	-	2.1.1.131,3.7.1.12	ko:K05934,ko:K13541	ko00860,ko01100,map00860,map01100	-	R05180,R05809,R07772	RC00003,RC01293,RC01545,RC02097,RC03471	ko00000,ko00001,ko01000	-	-	-	CbiG_N,TP_methylase
gnl|extdb|AC1V0C_08535	292.DM42_25	8.02e-172	479.0	COG2243@1|root,COG2243@2|Bacteria,1MV3G@1224|Proteobacteria,2VM4Y@28216|Betaproteobacteria,1K1WD@119060|Burkholderiaceae	28216|Betaproteobacteria	H	PFAM Uroporphyrin-III C tetrapyrrole (Corrin Porphyrin) methyltransferase	cobI	-	2.1.1.130,2.1.1.151	ko:K03394	ko00860,ko01100,map00860,map01100	-	R03948,R05808	RC00003,RC01035,RC01662	ko00000,ko00001,ko01000	-	-	-	TP_methylase
gnl|extdb|AC1V0C_08540	216591.BCAL1725	5.65e-136	386.0	COG2082@1|root,COG2082@2|Bacteria,1MX1E@1224|Proteobacteria,2VK5A@28216|Betaproteobacteria,1K0RK@119060|Burkholderiaceae	28216|Betaproteobacteria	H	PFAM Precorrin-8X methylmutase CbiC CobH	cobH	-	5.4.99.60,5.4.99.61	ko:K06042	ko00860,ko01100,map00860,map01100	-	R05177,R05814	RC01292,RC01980	ko00000,ko00001,ko01000	-	-	-	CbiC
gnl|extdb|AC1V0C_08555	292.DM42_21	7.04e-248	682.0	COG1903@1|root,COG1903@2|Bacteria,1MXU3@1224|Proteobacteria,2VITG@28216|Betaproteobacteria,1K0BP@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Catalyzes the methylation of C-1 in cobalt-precorrin-5B to form cobalt-precorrin-6A	cbiD	-	2.1.1.195	ko:K02188	ko00860,ko01100,map00860,map01100	-	R07773	RC00003,RC02051	ko00000,ko00001,ko01000	-	-	-	CbiD
gnl|extdb|AC1V0C_08560	292.DM42_20	2.38e-168	471.0	COG2099@1|root,COG2099@2|Bacteria,1MW48@1224|Proteobacteria,2VR1K@28216|Betaproteobacteria,1K0PH@119060|Burkholderiaceae	28216|Betaproteobacteria	H	PFAM Precorrin-6x reductase CbiJ CobK	cobK	-	1.3.1.106,1.3.1.54	ko:K05895	ko00860,ko01100,map00860,map01100	-	R05150,R05812	RC01280	ko00000,ko00001,ko01000	-	-	-	CbiJ
gnl|extdb|AC1V0C_08565	216591.BCAL1730	4.58e-161	452.0	COG2875@1|root,COG2875@2|Bacteria,1MVYY@1224|Proteobacteria,2VHWE@28216|Betaproteobacteria,1K113@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Precorrin-4 C(11)-methyltransferase	cobM	-	2.1.1.133,2.1.1.271	ko:K05936	ko00860,ko01100,map00860,map01100	-	R05181,R05810	RC00003,RC01294,RC02049	ko00000,ko00001,ko01000	-	-	-	TP_methylase
gnl|extdb|AC1V0C_08570	216591.BCAL1731	2.21e-257	708.0	COG2807@1|root,COG2807@2|Bacteria,1MXGT@1224|Proteobacteria,2VHPV@28216|Betaproteobacteria,1JZMP@119060|Burkholderiaceae	28216|Betaproteobacteria	P	PFAM major facilitator superfamily MFS_1	-	-	-	ko:K03449	-	-	-	-	ko00000,ko02000	2.A.1.17	-	-	MFS_1
gnl|extdb|AC1V0C_08575	292.DM42_17	3.34e-105	305.0	COG1846@1|root,COG1846@2|Bacteria,1RFUJ@1224|Proteobacteria,2VSHK@28216|Betaproteobacteria,1K7IP@119060|Burkholderiaceae	28216|Betaproteobacteria	K	Regulatory protein MarR	-	-	-	-	-	-	-	-	-	-	-	-	MarR_2
gnl|extdb|AC1V0C_08585	292.DM42_16	5.26e-172	479.0	COG0625@1|root,COG0625@2|Bacteria,1MUN3@1224|Proteobacteria,2VHZJ@28216|Betaproteobacteria,1K3N9@119060|Burkholderiaceae	28216|Betaproteobacteria	O	Belongs to the GST superfamily	-	-	-	ko:K11209	-	-	-	-	ko00000,ko01000	-	-	-	GST_C,GST_N
gnl|extdb|AC1V0C_08590	216591.BCAL1742	2.08e-285	779.0	COG4134@1|root,COG4134@2|Bacteria,1N6GY@1224|Proteobacteria,2VP1Q@28216|Betaproteobacteria,1K1K1@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Bacterial extracellular solute-binding protein	-	-	-	ko:K02055	ko02024,map02024	M00193	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	-	SBP_bac_8
gnl|extdb|AC1V0C_08595	339670.Bamb_1591	1.53e-245	676.0	COG3842@1|root,COG3842@2|Bacteria,1MU3I@1224|Proteobacteria,2VJGU@28216|Betaproteobacteria,1JZQZ@119060|Burkholderiaceae	28216|Betaproteobacteria	P	Belongs to the ABC transporter superfamily	-	-	-	ko:K02052	ko02024,map02024	M00193	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	-	ABC_tran,TOBE_2
gnl|extdb|AC1V0C_08600	216591.BCAL1744	9.32e-197	546.0	COG1176@1|root,COG1176@2|Bacteria,1PE8C@1224|Proteobacteria,2VPST@28216|Betaproteobacteria,1K2EV@119060|Burkholderiaceae	28216|Betaproteobacteria	P	PFAM binding-protein-dependent transport systems inner membrane component	-	-	-	ko:K02054	ko02024,map02024	M00193	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	-	BPD_transp_1
gnl|extdb|AC1V0C_08605	292.DM42_4	5.84e-201	558.0	COG1177@1|root,COG1177@2|Bacteria,1R5TG@1224|Proteobacteria,2WEBD@28216|Betaproteobacteria,1KFV9@119060|Burkholderiaceae	28216|Betaproteobacteria	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02053	ko02024,map02024	M00193	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	-	BPD_transp_1
gnl|extdb|AC1V0C_08610	216591.BCAL1746	4.56e-98	285.0	2AGHG@1|root,316Q1@2|Bacteria,1PXVS@1224|Proteobacteria,2WD6N@28216|Betaproteobacteria,1K9IE@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_08615	216591.BCAL1747A	4.07e-43	140.0	2AGIS@1|root,317FA@2|Bacteria,1PYRN@1224|Proteobacteria,2WDW9@28216|Betaproteobacteria,1KB4M@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_08625	216591.BCAL1749	1.16e-286	783.0	COG1804@1|root,COG1804@2|Bacteria,1MU2K@1224|Proteobacteria,2VHB0@28216|Betaproteobacteria,1K17R@119060|Burkholderiaceae	28216|Betaproteobacteria	C	PFAM L-carnitine dehydratase bile acid-inducible protein F	-	-	2.8.3.16	ko:K07749	-	-	-	-	ko00000,ko01000	-	-	-	CoA_transf_3
gnl|extdb|AC1V0C_08630	216591.BCAL1750	2.02e-219	606.0	COG0119@1|root,COG0119@2|Bacteria,1MUMX@1224|Proteobacteria,2VK33@28216|Betaproteobacteria,1K3BT@119060|Burkholderiaceae	28216|Betaproteobacteria	E	PFAM pyruvate carboxyltransferase	-	-	4.1.3.4	ko:K01640	ko00072,ko00280,ko00281,ko00650,ko01100,ko04146,map00072,map00280,map00281,map00650,map01100,map04146	M00036,M00088	R01360,R08090	RC00502,RC00503,RC01118,RC01946	ko00000,ko00001,ko00002,ko01000	-	-	-	HMGL-like
gnl|extdb|AC1V0C_08635	292.DM42_3511	9.07e-89	260.0	COG0346@1|root,COG0346@2|Bacteria,1RH3J@1224|Proteobacteria,2VRD4@28216|Betaproteobacteria,1K71G@119060|Burkholderiaceae	28216|Betaproteobacteria	E	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	gloA3	-	-	-	-	-	-	-	-	-	-	-	Glyoxalase
gnl|extdb|AC1V0C_08640	216591.BCAL1752	8.04e-192	533.0	COG0657@1|root,COG0657@2|Bacteria,1MV3J@1224|Proteobacteria,2VTIN@28216|Betaproteobacteria,1KGSS@119060|Burkholderiaceae	28216|Betaproteobacteria	I	alpha/beta hydrolase fold	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_3
gnl|extdb|AC1V0C_08645	216591.BCAL1753	1.38e-199	555.0	COG0583@1|root,COG0583@2|Bacteria,1N3XX@1224|Proteobacteria,2VIIK@28216|Betaproteobacteria,1KFV1@119060|Burkholderiaceae	28216|Betaproteobacteria	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gnl|extdb|AC1V0C_08650	292.DM42_3508	0.0	903.0	COG0477@1|root,COG0477@2|Bacteria,1MXBV@1224|Proteobacteria,2VMP5@28216|Betaproteobacteria,1K4K2@119060|Burkholderiaceae	28216|Betaproteobacteria	EGP	Sugar (and other) transporter	-	-	-	-	-	-	-	-	-	-	-	-	Sugar_tr
gnl|extdb|AC1V0C_08655	216591.BCAL1760	2.17e-85	251.0	COG3791@1|root,COG3791@2|Bacteria,1N263@1224|Proteobacteria,2VVWM@28216|Betaproteobacteria,1K7X3@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Glutathione-dependent formaldehyde-activating GFA	-	-	-	-	-	-	-	-	-	-	-	-	GFA
gnl|extdb|AC1V0C_08660	640510.BC1001_4261	4.73e-06	45.1	2AH8P@1|root,317IR@2|Bacteria,1PYVX@1224|Proteobacteria,2WE0F@28216|Betaproteobacteria,1KBCV@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_08665	216591.BCAL1761	1.78e-102	296.0	COG1846@1|root,COG1846@2|Bacteria,1RH1F@1224|Proteobacteria,2VQFA@28216|Betaproteobacteria,1K70Z@119060|Burkholderiaceae	28216|Betaproteobacteria	K	PFAM regulatory protein, MarR	-	-	-	-	-	-	-	-	-	-	-	-	MarR
gnl|extdb|AC1V0C_08670	292.DM42_3499	5.48e-135	386.0	COG3393@1|root,COG3393@2|Bacteria,1RHPE@1224|Proteobacteria,2VTIH@28216|Betaproteobacteria,1K68F@119060|Burkholderiaceae	28216|Betaproteobacteria	S	FR47-like protein	-	-	-	-	-	-	-	-	-	-	-	-	FR47
gnl|extdb|AC1V0C_08675	216591.BCAL1763	3.99e-56	176.0	2AGF3@1|root,30X2E@2|Bacteria,1PIV6@1224|Proteobacteria,2W7EH@28216|Betaproteobacteria,1KEF2@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Domain of unknown function (DUF4148)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4148
gnl|extdb|AC1V0C_08680	216591.BCAL1764	2.04e-56	177.0	2AGF3@1|root,30X2E@2|Bacteria,1PIV6@1224|Proteobacteria,2W7EH@28216|Betaproteobacteria,1KEF2@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Domain of unknown function (DUF4148)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4148
gnl|extdb|AC1V0C_08685	395019.Bmul_1544	3.54e-41	138.0	2AGF3@1|root,30X2E@2|Bacteria,1PIV6@1224|Proteobacteria,2W7EH@28216|Betaproteobacteria,1KEF2@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Domain of unknown function (DUF4148)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4148
gnl|extdb|AC1V0C_08690	292.DM42_3495	2.32e-90	265.0	COG1764@1|root,COG1764@2|Bacteria,1RD92@1224|Proteobacteria,2W2KB@28216|Betaproteobacteria,1K7PK@119060|Burkholderiaceae	28216|Betaproteobacteria	O	PFAM OsmC family protein	-	-	-	-	-	-	-	-	-	-	-	-	OsmC
gnl|extdb|AC1V0C_08700	1562701.BBOF01000052_gene1555	4.02e-50	166.0	COG0703@1|root,COG0703@2|Bacteria,1MUFJ@1224|Proteobacteria,2VRDN@28216|Betaproteobacteria,1K1DP@119060|Burkholderiaceae	28216|Betaproteobacteria	F	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	aroK	-	2.7.1.71	ko:K00891	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02412	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	SKI
gnl|extdb|AC1V0C_08710	1500897.JQNA01000002_gene16	2.93e-78	234.0	COG0824@1|root,COG0824@2|Bacteria,1PXZ1@1224|Proteobacteria,2WD9K@28216|Betaproteobacteria,1K9ST@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Thioesterase-like superfamily	-	-	-	ko:K07107	-	-	-	-	ko00000,ko01000	-	-	-	4HBT_2
gnl|extdb|AC1V0C_08715	767434.Fraau_0550	4.94e-139	407.0	COG0722@1|root,COG0722@2|Bacteria,1MU5Q@1224|Proteobacteria,1RMAA@1236|Gammaproteobacteria,1X34Q@135614|Xanthomonadales	135614|Xanthomonadales	E	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)	aroG	-	2.5.1.54	ko:K01626	ko00400,ko01100,ko01110,ko01130,ko01230,ko02024,map00400,map01100,map01110,map01130,map01230,map02024	M00022	R01826	RC00435	ko00000,ko00001,ko00002,ko01000	-	-	-	DAHP_synth_1
gnl|extdb|AC1V0C_08720	1500897.JQNA01000002_gene17	1.29e-228	641.0	COG3572@1|root,COG3572@2|Bacteria,1MU47@1224|Proteobacteria	1224|Proteobacteria	H	glutamate--cysteine ligase	gshA	-	6.3.2.2	ko:K01919	ko00270,ko00480,ko01100,map00270,map00480,map01100	M00118	R00894,R10993	RC00064,RC00090	ko00000,ko00001,ko00002,ko01000	-	-	-	GCS2
