accession	contig	length	secondary_rank	n_orthogroups	c3_content	c2_content	c3_score	replicon_class	is_c3
GCA_965217235.1	OZ244257.1	2228287	1	1193	0.0506	0.2412	-0.1906	other_megaplasmid	False
GCA_965217245.1	OZ244259.1	2139739	1	1224	0.0759	0.2412	-0.1653	other_megaplasmid	False
GCA_980298765.1	OZ412838.1	3093861	1	1307	0.0163	0.2584	-0.2422	other_megaplasmid	False
GCF_000009485.1	NC_011001.1	3217062	1	2482	0.0018	0.6036	-0.6018	chromosome2	False
GCF_000009485.1	NC_011002.1	875977	2	605	0.3201	0.0003	0.3197	c3	True
GCF_000010545.1	NC_010805.1	2473162	1	1811	0.0000	0.4334	-0.4334	chromosome2	False
GCF_000010545.1	NC_010801.1	919805	2	557	0.2441	0.0016	0.2425	c3	True
GCF_000011545.1	NC_006351.1	3173005	1	1397	0.0235	0.2747	-0.2512	other_megaplasmid	False
GCF_000011705.1	NC_006349.2	2325379	1	1049	0.0163	0.2276	-0.2113	other_megaplasmid	False
GCF_000012365.1	NC_007650.1	2914771	1	1317	0.0072	0.2734	-0.2661	other_megaplasmid	False
GCF_000012785.1	NC_007435.1	3181762	1	1388	0.0217	0.2721	-0.2504	other_megaplasmid	False
GCF_000012945.1	NC_007511.1	3587082	1	2748	0.0018	0.7097	-0.7079	chromosome2	False
GCF_000012945.1	NC_007509.1	1395069	2	853	0.5027	0.0019	0.5008	c3	True
GCF_000013645.1	NC_007952.1	3363523	1	1626	0.0036	0.2506	-0.2470	other_megaplasmid	False
GCF_000013645.1	NC_007953.1	1471779	2	366	0.0145	0.0224	-0.0079	other_megaplasmid	False
GCF_000015465.1	NC_008784.1	1734922	1	810	0.0145	0.1776	-0.1631	other_megaplasmid	False
GCF_000015605.1	NC_008835.1	2284095	1	1026	0.0163	0.2282	-0.2120	other_megaplasmid	False
GCF_000015625.1	NC_009079.1	2352693	1	1058	0.0163	0.2289	-0.2126	other_megaplasmid	False
GCF_000015905.1	NC_009075.1	3127456	1	1372	0.0235	0.2695	-0.2460	other_megaplasmid	False
GCF_000015925.1	NC_009078.1	3100794	1	1383	0.0217	0.2731	-0.2514	other_megaplasmid	False
GCF_000016205.1	NC_009255.1	2411759	1	1617	0.0000	0.3886	-0.3886	other_megaplasmid	False
GCF_000016205.1	NC_009254.1	1241007	2	678	0.2731	0.0029	0.2701	c3	True
GCF_000016205.1	NC_009230.1	397868	3	46	0.0036	0.0042	-0.0006	other_megaplasmid	False
GCF_000018505.1	NC_010086.1	2472928	1	1828	0.0000	0.4373	-0.4373	chromosome2	False
GCF_000018505.1	NC_010087.1	919806	2	565	0.2532	0.0016	0.2515	c3	True
GCF_000019505.1	NC_010515.1	3213911	1	2439	0.0000	0.5857	-0.5857	chromosome2	False
GCF_000019505.1	NC_010512.1	1224595	2	831	0.4376	0.0006	0.4370	c3	True
GCF_000019925.1	NC_010552.1	2769414	1	2112	0.0000	0.5156	-0.5156	chromosome2	False
GCF_000019925.1	NC_010557.1	1127947	2	832	0.3183	0.0010	0.3173	c3	True
GCF_000019925.1	NC_010553.1	301592	3	47	0.0108	0.0010	0.0099	other_megaplasmid	False
GCF_000020045.1	NC_010623.1	2697374	1	1354	0.0271	0.2140	-0.1868	other_megaplasmid	False
GCF_000020045.1	NC_010625.1	1904893	2	680	0.0181	0.0429	-0.0248	other_megaplasmid	False
GCF_000020045.1	NC_010627.1	595108	3	58	0.0054	0.0049	0.0006	other_megaplasmid	False
GCF_000020125.1	NC_010676.1	3625999	1	1827	0.0108	0.2679	-0.2570	other_megaplasmid	False
GCF_000022645.2	NC_012721.2	2827333	1	1285	0.0597	0.2052	-0.1455	other_megaplasmid	False
GCF_000092885.1	NC_014118.1	2593966	1	1452	0.0145	0.2166	-0.2021	other_megaplasmid	False
GCF_000092885.1	NC_014119.1	1282816	2	423	0.0217	0.0328	-0.0111	other_megaplasmid	False
GCF_000092885.1	NC_014120.1	489136	3	57	0.0054	0.0010	0.0045	other_megaplasmid	False
GCF_000194745.1	NC_015376.1	3700833	1	1739	0.1103	0.2799	-0.1696	other_megaplasmid	False
GCF_000194745.1	NC_015383.1	403586	2	84	0.0036	0.0062	-0.0026	other_megaplasmid	False
GCF_000198775.1	NC_014718.1	822304	1	164	0.0108	0.0276	-0.0167	other_megaplasmid	False
GCF_000203915.1	NC_008391.1	2646969	1	2105	0.0000	0.5237	-0.5237	chromosome2	False
GCF_000203915.1	NC_008392.1	1281472	2	876	0.4069	0.0010	0.4059	c3	True
GCF_000203955.1	NC_008543.1	2998664	1	2388	0.0000	0.5802	-0.5802	chromosome2	False
GCF_000203955.1	NC_008544.1	1055417	2	813	0.4684	0.0000	0.4684	c3	True
GCF_000236065.1	NC_016626.1	1951047	1	589	0.0344	0.0523	-0.0179	other_megaplasmid	False
GCF_000236065.1	NC_016625.1	1773019	2	816	0.0108	0.1263	-0.1154	other_megaplasmid	False
GCF_000236065.1	NC_016590.1	1569570	3	454	0.0127	0.0331	-0.0205	other_megaplasmid	False
GCF_000236065.1	NC_016591.1	356263	4	31	0.0036	0.0003	0.0033	other_megaplasmid	False
GCF_000236215.2	NZ_HG938371.1	3102677	1	2429	0.0000	0.6084	-0.6084	chromosome2	False
GCF_000236215.2	NZ_HG938372.1	1039263	2	794	0.4539	0.0019	0.4519	c3	True
GCF_000260515.1	NC_017832.1	3138747	1	1384	0.0217	0.2718	-0.2501	other_megaplasmid	False
GCF_000262695.1	NC_017921.1	2356985	1	1665	0.0000	0.3948	-0.3948	chromosome2	False
GCF_000262695.1	NC_017922.1	1082410	2	644	0.2857	0.0026	0.2831	c3	True
GCF_000292915.1	NC_018514.1	3003666	1	2134	0.0018	0.5344	-0.5326	chromosome2	False
GCF_000294635.1	NC_018529.1	3153284	1	1379	0.0217	0.2727	-0.2510	other_megaplasmid	False
GCF_000300095.1	NC_018672.1	2713495	1	1655	0.0090	0.2419	-0.2328	other_megaplasmid	False
GCF_000300095.1	NC_018696.1	785419	2	137	0.0127	0.0071	0.0055	other_megaplasmid	False
GCF_000385525.1	NC_021174.1	2763585	1	1335	0.0145	0.2662	-0.2518	other_megaplasmid	False
GCF_000402035.1	NC_021294.1	1465356	1	757	0.0108	0.1211	-0.1103	other_megaplasmid	False
GCF_000402035.1	NC_021289.1	1275199	2	504	0.0072	0.0523	-0.0450	other_megaplasmid	False
GCF_000402035.1	NC_021288.1	900830	3	290	0.0163	0.0260	-0.0097	other_megaplasmid	False
GCF_000402035.1	NC_021295.1	309692	4	53	0.0072	0.0045	0.0027	other_megaplasmid	False
GCF_000439695.1	NC_021877.1	3373917	1	1427	0.0217	0.2750	-0.2533	other_megaplasmid	False
GCF_000494855.1	NC_022658.1	3340068	1	1391	0.0217	0.2714	-0.2497	other_megaplasmid	False
GCF_000511895.1	NZ_CP004002.1	3361913	1	1410	0.0217	0.2766	-0.2549	other_megaplasmid	False
GCF_000511915.1	NZ_CP004004.1	3245956	1	1395	0.0217	0.2734	-0.2517	other_megaplasmid	False
GCF_000520895.1	NZ_CP004024.1	3248143	1	1393	0.0217	0.2727	-0.2510	other_megaplasmid	False
GCF_000521645.1	NZ_CP004043.1	3245118	1	1398	0.0217	0.2734	-0.2517	other_megaplasmid	False
GCF_000522545.2	NZ_CP012747.1	3352623	1	1504	0.0127	0.2432	-0.2305	other_megaplasmid	False
GCF_000522545.2	NZ_CP012748.1	2555069	2	889	0.0235	0.0484	-0.0249	other_megaplasmid	False
GCF_000567905.1	NZ_CP004090.1	2940942	1	1316	0.0072	0.2727	-0.2655	other_megaplasmid	False
GCF_000567925.1	NZ_CP004098.1	2914718	1	1320	0.0072	0.2744	-0.2671	other_megaplasmid	False
GCF_000567945.1	NZ_CP004118.1	2852101	1	1291	0.0072	0.2675	-0.2603	other_megaplasmid	False
GCF_000583835.1	NZ_CP004369.1	3391010	1	1422	0.0217	0.2744	-0.2527	other_megaplasmid	False
GCF_000701165.1	NZ_CP013731.1	3400736	1	2703	0.0000	0.7013	-0.7013	chromosome2	False
GCF_000701165.1	NZ_CP013732.1	1290392	2	760	0.5208	0.0003	0.5205	c3	True
GCF_000705535.2	NZ_CP072521.1	3012498	1	2404	0.0054	0.5955	-0.5900	chromosome2	False
GCF_000705535.2	NZ_CP072522.1	1448576	2	923	0.4376	0.0039	0.4337	c3	True
GCF_000706745.1	NZ_CP004384.1	2821713	1	1293	0.0072	0.2692	-0.2619	other_megaplasmid	False
GCF_000755725.1	NZ_CP007784.1	3209624	1	2248	0.0090	0.5445	-0.5354	chromosome2	False
GCF_000755725.1	NZ_CP007782.1	1166794	2	702	0.3092	0.0156	0.2936	c3	True
GCF_000755765.1	NZ_CP009210.1	3386014	1	1429	0.0217	0.2760	-0.2543	other_megaplasmid	False
GCF_000755785.1	NZ_CP009147.1	2325354	1	1049	0.0163	0.2279	-0.2116	other_megaplasmid	False
GCF_000755805.1	NZ_CP007786.1	3206581	1	2497	0.0072	0.6114	-0.6041	chromosome2	False
GCF_000755805.1	NZ_CP007785.1	1180302	2	830	0.4593	0.0019	0.4574	c3	True
GCF_000755825.1	NZ_CP009127.1	3214293	1	1388	0.0235	0.2721	-0.2486	other_megaplasmid	False
GCF_000755845.1	NZ_CP008710.1	2146721	1	945	0.0145	0.2071	-0.1927	other_megaplasmid	False
GCF_000755865.1	NZ_CP008705.1	2093560	1	954	0.0163	0.2029	-0.1866	other_megaplasmid	False
GCF_000755885.1	NZ_CP008722.1	2096906	1	952	0.0163	0.2029	-0.1866	other_megaplasmid	False
GCF_000755905.1	NZ_CP008893.1	3194122	1	1395	0.0235	0.2724	-0.2489	other_megaplasmid	False
GCF_000755925.1	NZ_CP008912.1	3200711	1	1397	0.0217	0.2737	-0.2520	other_megaplasmid	False
GCF_000755945.1	NZ_CP008891.1	3146583	1	1389	0.0235	0.2724	-0.2489	other_megaplasmid	False
GCF_000755965.1	NZ_CP008910.1	3236215	1	1396	0.0217	0.2740	-0.2523	other_megaplasmid	False
GCF_000755985.1	NZ_CP008727.1	3121665	1	1435	0.0108	0.2867	-0.2758	other_megaplasmid	False
GCF_000756005.1	NZ_CP008729.1	2541526	1	1832	0.0036	0.4347	-0.4311	chromosome2	False
GCF_000756005.1	NZ_CP008728.1	1136655	2	626	0.2532	0.0039	0.2493	c3	True
GCF_000756025.1	NZ_CP008731.1	2321567	1	1046	0.0163	0.2266	-0.2103	other_megaplasmid	False
GCF_000756045.1	NZ_CP008762.1	3363006	1	1626	0.0054	0.2516	-0.2462	other_megaplasmid	False
GCF_000756045.1	NZ_CP008761.1	1471816	2	366	0.0127	0.0218	-0.0091	other_megaplasmid	False
GCF_000756065.1	NZ_CP008783.1	3236977	1	1397	0.0217	0.2744	-0.2527	other_megaplasmid	False
GCF_000756085.1	NZ_CP008835.1	3138647	1	1384	0.0217	0.2718	-0.2501	other_megaplasmid	False
GCF_000756125.1	NZ_CP008782.1	3100174	1	1383	0.0217	0.2731	-0.2514	other_megaplasmid	False
GCF_000756145.1	NZ_CP008759.1	3102140	1	1380	0.0217	0.2727	-0.2510	other_megaplasmid	False
GCF_000756165.1	NZ_CP008779.1	3008404	1	1336	0.0235	0.2653	-0.2418	other_megaplasmid	False
GCF_000756185.1	NZ_CP008778.1	3244818	1	1398	0.0235	0.2727	-0.2492	other_megaplasmid	False
GCF_000757015.2	NZ_CP009586.1	3225565	1	1407	0.0217	0.2747	-0.2530	other_megaplasmid	False
GCF_000757035.2	NZ_CP009898.1	3184745	1	1385	0.0217	0.2721	-0.2504	other_megaplasmid	False
GCF_000762285.1	NZ_CP007801.1	2351417	1	1056	0.0163	0.2289	-0.2126	other_megaplasmid	False
GCF_000764575.1	NZ_CP004378.1	3248948	1	1403	0.0235	0.2750	-0.2515	other_megaplasmid	False
GCF_000764595.1	NZ_CP004386.1	2823176	1	1295	0.0072	0.2692	-0.2619	other_megaplasmid	False
GCF_000764955.1	NZ_CP007780.1	2375865	1	1810	0.0000	0.4445	-0.4445	chromosome2	False
GCF_000764955.1	NZ_CP007779.1	994670	2	704	0.2767	0.0049	0.2718	c3	True
GCF_000765375.1	NZ_CP004382.1	2870750	1	1309	0.0072	0.2711	-0.2639	other_megaplasmid	False
GCF_000770395.1	NZ_CP009234.1	3194326	1	1395	0.0217	0.2724	-0.2507	other_megaplasmid	False
GCF_000770455.1	NZ_CP009150.1	3256009	1	1392	0.0235	0.2721	-0.2486	other_megaplasmid	False
GCF_000770495.1	NZ_CP009160.1	3227179	1	1385	0.0217	0.2724	-0.2507	other_megaplasmid	False
GCF_000770515.1	NZ_CP009163.1	3327069	1	1391	0.0235	0.2714	-0.2479	other_megaplasmid	False
GCF_000770535.1	NZ_CP009164.1	3263576	1	1394	0.0235	0.2724	-0.2489	other_megaplasmid	False
GCF_000770565.1	NZ_CP009156.1	3267160	1	1390	0.0235	0.2708	-0.2473	other_megaplasmid	False
GCF_000808035.2	NZ_CP008915.2	2966450	1	1336	0.0072	0.2769	-0.2697	other_megaplasmid	False
GCF_000828875.1	NZ_AP014577.1	1787110	1	813	0.0108	0.1247	-0.1138	other_megaplasmid	False
GCF_000828875.1	NZ_AP014578.1	1680600	2	473	0.0127	0.0341	-0.0214	other_megaplasmid	False
GCF_000828875.1	NZ_AP014579.1	1438033	3	501	0.0289	0.0471	-0.0181	other_megaplasmid	False
GCF_000828875.1	NZ_AP014580.1	495745	4	83	0.0036	0.0023	0.0013	other_megaplasmid	False
GCF_000835205.1	NZ_CP002581.1	3732771	1	1576	0.0561	0.2597	-0.2037	other_megaplasmid	False
GCF_000953095.1	NZ_LK936443.1	3117372	1	1384	0.0217	0.2727	-0.2510	other_megaplasmid	False
GCF_000954175.1	NZ_CP010974.1	3039355	1	1366	0.0235	0.2666	-0.2431	other_megaplasmid	False
GCF_000959125.1	NZ_CP004380.1	3145454	1	1382	0.0217	0.2711	-0.2494	other_megaplasmid	False
GCF_000959145.1	NZ_CP009297.1	3216446	1	1390	0.0235	0.2731	-0.2495	other_megaplasmid	False
GCF_000959165.1	NZ_CP009338.1	2284094	1	1026	0.0163	0.2286	-0.2123	other_megaplasmid	False
GCF_000959185.1	NZ_CP009473.1	3108026	1	1388	0.0235	0.2714	-0.2479	other_megaplasmid	False
GCF_000959205.1	NZ_CP009484.1	3267445	1	1411	0.0235	0.2773	-0.2538	other_megaplasmid	False
GCF_000959225.1	NZ_CP009477.1	3205965	1	1398	0.0217	0.2724	-0.2507	other_megaplasmid	False
GCF_000959245.1	NZ_CP009486.1	2722556	1	1903	0.0000	0.4383	-0.4383	chromosome2	False
GCF_000959245.1	NZ_CP009487.1	920205	2	426	0.1573	0.0003	0.1570	c3	True
GCF_000959265.1	NZ_CP009536.1	3260260	1	1390	0.0217	0.2731	-0.2514	other_megaplasmid	False
GCF_000959285.1	NZ_CP009537.1	3173067	1	1397	0.0235	0.2747	-0.2512	other_megaplasmid	False
GCF_000959305.1	NZ_CP009546.1	3127457	1	1373	0.0235	0.2695	-0.2460	other_megaplasmid	False
GCF_000959325.1	NZ_CP009548.1	2913181	1	1368	0.0145	0.2721	-0.2576	other_megaplasmid	False
GCF_000959325.1	NZ_CP009547.1	305110	2	59	0.0054	0.0042	0.0012	other_megaplasmid	False
GCF_000959345.1	NZ_CP009550.1	3190204	1	1393	0.0217	0.2727	-0.2510	other_megaplasmid	False
GCF_000959365.1	NZ_CP009556.1	3002987	1	1440	0.0145	0.2880	-0.2735	other_megaplasmid	False
GCF_000959405.1	NZ_CP009588.1	2353260	1	1058	0.0163	0.2289	-0.2126	other_megaplasmid	False
GCF_000959425.1	NZ_CP009602.1	2914772	1	1323	0.0072	0.2750	-0.2678	other_megaplasmid	False
GCF_000959445.1	NZ_CP009630.1	2262093	1	1629	0.0000	0.3925	-0.3925	other_megaplasmid	False
GCF_000959445.1	NZ_CP009632.1	1248367	2	716	0.3110	0.0026	0.3084	c3	True
GCF_000959465.1	NZ_CP009643.1	2126012	1	978	0.0163	0.2101	-0.1938	other_megaplasmid	False
GCF_000959485.1	NZ_CP009708.1	1858539	1	873	0.0036	0.2045	-0.2009	other_megaplasmid	False
GCF_000959505.1	NZ_CP009793.1	2168075	1	1542	0.0018	0.3864	-0.3846	other_megaplasmid	False
GCF_000959505.1	NZ_CP009794.1	834424	2	538	0.1989	0.0016	0.1973	c3	True
GCF_000959525.1	NZ_CP009831.1	2344193	1	1785	0.0000	0.4120	-0.4120	chromosome2	False
GCF_000959525.1	NZ_CP009830.1	550289	2	431	0.2459	0.0000	0.2459	c3	True
GCF_000959545.1	NZ_CP009799.1	2646970	1	2108	0.0000	0.5237	-0.5237	chromosome2	False
GCF_000959545.1	NZ_CP009800.1	1281472	2	877	0.4087	0.0006	0.4080	c3	True
GCF_000959605.1	NZ_CP010018.1	2897757	1	1292	0.0072	0.2701	-0.2629	other_megaplasmid	False
GCF_000959605.1	NZ_CP010016.1	326388	2	54	0.0000	0.0029	-0.0029	other_megaplasmid	False
GCF_000959625.1	NZ_CP010066.1	2237503	1	989	0.0163	0.2130	-0.1967	other_megaplasmid	False
GCF_000959725.1	NZ_CP009322.1	3927513	1	1731	0.0976	0.2812	-0.1835	other_megaplasmid	False
GCF_000960995.1	NZ_CP009434.1	2820414	1	1295	0.0597	0.2078	-0.1481	other_megaplasmid	False
GCF_000961515.1	NZ_CP010027.1	3508455	1	1908	0.0145	0.3052	-0.2907	other_megaplasmid	False
GCF_000961515.1	NZ_CP010025.1	650149	2	148	0.0072	0.0071	0.0001	other_megaplasmid	False
GCF_000961515.1	NZ_CP010024.1	437218	3	75	0.0054	0.0045	0.0009	other_megaplasmid	False
GCF_001028665.1	NZ_CP011504.1	3214754	1	2451	0.0036	0.6062	-0.6026	chromosome2	False
GCF_001028665.1	NZ_CP011505.1	1049005	2	744	0.4756	0.0003	0.4753	c3	True
GCF_001029145.1	NZ_CP009743.1	3522585	1	1759	0.0108	0.4088	-0.3979	chromosome2	False
GCF_001029145.1	NZ_CP009745.1	1627712	2	1007	0.5335	0.0023	0.5312	c3	True
GCF_001277875.1	NZ_CP012516.1	3228004	1	1385	0.0235	0.2724	-0.2489	other_megaplasmid	False
GCF_001277895.1	NZ_CP012518.1	3227965	1	1376	0.0235	0.2711	-0.2476	other_megaplasmid	False
GCF_001277975.1	NZ_CP012577.1	3156645	1	1386	0.0217	0.2718	-0.2501	other_megaplasmid	False
GCF_001293045.1	NZ_CP012193.1	3124497	1	1772	0.0145	0.2539	-0.2394	other_megaplasmid	False
GCF_001318245.1	NZ_CP012042.1	3147816	1	1376	0.0235	0.2711	-0.2476	other_megaplasmid	False
GCF_001411495.1	NZ_CP012982.1	3408190	1	2709	0.0000	0.6808	-0.6808	chromosome2	False
GCF_001411495.1	NZ_CP012983.1	1196214	2	929	0.5063	0.0000	0.5063	c3	True
GCF_001411805.1	NZ_CP007213.1	3743649	1	1601	0.0579	0.2610	-0.2032	other_megaplasmid	False
GCF_001449005.1	NZ_CP013103.1	2890272	1	1520	0.0145	0.2370	-0.2225	other_megaplasmid	False
GCF_001449005.1	NZ_CP013104.1	2011268	2	801	0.0271	0.0373	-0.0102	other_megaplasmid	False
GCF_001449005.1	NZ_CP013105.1	442452	3	71	0.0000	0.0045	-0.0045	other_megaplasmid	False
GCF_001484665.1	NZ_CP011918.1	3086109	1	2403	0.0000	0.5838	-0.5838	chromosome2	False
GCF_001484665.1	NZ_CP011919.1	989585	2	742	0.4503	0.0000	0.4503	c3	True
GCF_001513745.1	NZ_CP013382.1	2913543	1	1372	0.0145	0.2731	-0.2586	other_megaplasmid	False
GCF_001513745.1	NZ_CP013381.1	305114	2	59	0.0054	0.0042	0.0012	other_megaplasmid	False
GCF_001522105.2	NZ_CP013356.1	3126684	1	1442	0.0108	0.2873	-0.2765	other_megaplasmid	False
GCF_001522135.2	NZ_CP013359.1	3003039	1	1441	0.0145	0.2883	-0.2738	other_megaplasmid	False
GCF_001522585.2	NZ_CP013372.1	2801147	1	2185	0.0000	0.5536	-0.5536	chromosome2	False
GCF_001522585.2	NZ_CP013374.1	851421	2	665	0.4195	0.0006	0.4189	c3	True
GCF_001522635.2	NZ_CP013388.1	2917588	1	1345	0.0199	0.2708	-0.2509	other_megaplasmid	False
GCF_001523745.2	NZ_CP013387.1	2752114	1	1251	0.0127	0.2510	-0.2383	other_megaplasmid	False
GCF_001523915.2	NZ_CP013383.1	2709855	1	2045	0.0054	0.5188	-0.5134	chromosome2	False
GCF_001523915.2	NZ_CP013385.1	974331	2	668	0.2459	0.0010	0.2450	c3	True
GCF_001524445.2	NZ_CP013418.1	2824254	1	1310	0.0072	0.2692	-0.2619	other_megaplasmid	False
GCF_001524445.2	NZ_CP013419.1	375023	2	42	0.0036	0.0000	0.0036	other_megaplasmid	False
GCF_001524625.2	NZ_CP013425.1	2934072	1	1362	0.0108	0.2737	-0.2629	other_megaplasmid	False
GCF_001524645.2	NZ_CP013428.1	2473077	1	2011	0.0000	0.5192	-0.5192	chromosome2	False
GCF_001524645.2	NZ_CP013429.1	1059546	2	730	0.2839	0.0003	0.2836	c3	True
GCF_001532025.2	NZ_CP013458.1	2832141	1	1339	0.0072	0.2724	-0.2652	other_megaplasmid	False
GCF_001557535.2	NZ_CP014315.1	1623425	1	604	0.0090	0.0614	-0.0523	other_megaplasmid	False
GCF_001557535.2	NZ_CP014307.1	1611937	2	806	0.0145	0.1026	-0.0881	other_megaplasmid	False
GCF_001557535.2	NZ_CP014309.1	793876	3	125	0.0090	0.0101	-0.0010	other_megaplasmid	False
GCF_001557535.2	NZ_CP014308.1	793818	4	122	0.0090	0.0097	-0.0007	other_megaplasmid	False
GCF_001557535.2	NZ_CP014310.1	601076	5	109	0.0018	0.0097	-0.0079	other_megaplasmid	False
GCF_001577465.1	NZ_CP014506.1	1696029	1	632	0.0108	0.0630	-0.0521	other_megaplasmid	False
GCF_001577465.1	NZ_CP014507.1	1495500	2	772	0.0145	0.1006	-0.0862	other_megaplasmid	False
GCF_001606115.1	NZ_CP015034.1	3107451	1	2492	0.0018	0.6110	-0.6092	chromosome2	False
GCF_001606115.1	NZ_CP015035.1	1271875	2	856	0.4503	0.0052	0.4451	c3	True
GCF_001606135.1	NZ_CP015037.1	1072666	1	798	0.4467	0.0019	0.4447	c3	True
GCF_001611015.1	NZ_CP013348.1	3049409	1	1546	0.0145	0.2403	-0.2258	other_megaplasmid	False
GCF_001611015.1	NZ_CP013349.1	2576584	2	866	0.0289	0.0403	-0.0113	other_megaplasmid	False
GCF_001634365.1	NZ_CP014579.1	3497621	1	1370	0.0289	0.2169	-0.1880	other_megaplasmid	False
GCF_001695715.1	NZ_CP016639.1	3256300	1	1391	0.0235	0.2705	-0.2469	other_megaplasmid	False
GCF_001695735.1	NZ_CP016637.1	3254339	1	1377	0.0235	0.2675	-0.2440	other_megaplasmid	False
GCF_001718295.1	NZ_CP013361.1	2966282	1	1337	0.0072	0.2766	-0.2694	other_megaplasmid	False
GCF_001718315.1	NZ_CP013363.1	2619120	1	1981	0.0000	0.5140	-0.5140	chromosome2	False
GCF_001718315.1	NZ_CP013364.1	905345	2	663	0.2857	0.0016	0.2841	c3	True
GCF_001718335.1	NZ_CP013365.1	2466714	1	1978	0.0018	0.5075	-0.5057	chromosome2	False
GCF_001718335.1	NZ_CP013367.1	1014635	2	689	0.2749	0.0003	0.2745	c3	True
GCF_001718355.1	NZ_CP013371.1	3052802	1	2134	0.0054	0.4883	-0.4829	chromosome2	False
GCF_001718355.1	NZ_CP013368.1	925790	2	455	0.1700	0.0019	0.1680	c3	True
GCF_001718395.1	NZ_CP013376.1	3608925	1	2841	0.0253	0.6971	-0.6718	chromosome2	False
GCF_001718415.1	NZ_CP013377.1	2995708	1	2242	0.0163	0.5445	-0.5282	chromosome2	False
GCF_001718495.1	NZ_CP013394.1	2428798	1	1672	0.0018	0.3903	-0.3885	other_megaplasmid	False
GCF_001718495.1	NZ_CP013395.1	1129355	2	674	0.2984	0.0010	0.2974	c3	True
GCF_001718515.1	NZ_CP013396.1	2869430	1	2277	0.0000	0.5769	-0.5769	chromosome2	False
GCF_001718535.1	NZ_CP013400.1	3050136	1	2413	0.0036	0.5971	-0.5935	chromosome2	False
GCF_001718535.1	NZ_CP013399.1	1093546	2	838	0.4286	0.0032	0.4253	c3	True
GCF_001718555.1	NZ_CP013403.1	2967116	1	2321	0.0018	0.5834	-0.5816	chromosome2	False
GCF_001718555.1	NZ_CP013402.1	900512	2	668	0.4412	0.0010	0.4403	c3	True
GCF_001718575.1	NZ_CP013406.1	3386917	1	2621	0.0018	0.6610	-0.6592	chromosome2	False
GCF_001718575.1	NZ_CP013405.1	1211521	2	865	0.5099	0.0010	0.5090	c3	True
GCF_001718595.1	NZ_CP013408.1	2822193	1	1297	0.0072	0.2695	-0.2622	other_megaplasmid	False
GCF_001718615.1	NZ_CP013410.1	2940149	1	1313	0.0072	0.2721	-0.2648	other_megaplasmid	False
GCF_001718635.1	NZ_CP013413.1	2895326	1	1294	0.0072	0.2701	-0.2629	other_megaplasmid	False
GCF_001718655.1	NZ_CP013416.1	3000610	1	2088	0.0018	0.4896	-0.4878	chromosome2	False
GCF_001718695.1	NZ_CP013422.1	2186651	1	1552	0.0000	0.3769	-0.3769	other_megaplasmid	False
GCF_001718695.1	NZ_CP013421.1	1229847	2	698	0.2803	0.0039	0.2764	c3	True
GCF_001718755.1	NZ_CP013431.1	2533520	1	1825	0.0000	0.4179	-0.4179	chromosome2	False
GCF_001718755.1	NZ_CP013432.1	561709	2	430	0.2495	0.0006	0.2489	c3	True
GCF_001718775.1	NZ_CP013434.1	1257529	1	713	0.3002	0.0032	0.2969	c3	True
