locus	accession	organism	pC3_present	tier1_carrier	best_pident	best_qcov	n_hits
MF6_001079	GCF_002346205.1	Burkholderia mallei	False	False	0.0	0.0	0
MF6_001079	GCF_002356275.1	Burkholderia stabilis	True	False	0.0	0.0	0
MF6_001079	GCF_002386205.1	Burkholderia thailandensis	False	False	0.0	0.0	0
MF6_001079	GCF_002393425.1	Burkholderia gladioli pv. gladioli	False	False	0.0	0.0	0
MF6_001079	GCF_002407525.2	Burkholderia cepacia	True	False	0.0	0.0	0
MF6_001079	GCF_002843645.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_002860065.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_002902925.1	Paraburkholderia terrae	False	False	0.0	0.0	0
MF6_001079	GCF_002902945.1	Paraburkholderia caribensis	False	False	0.0	0.0	0
MF6_001079	GCF_002902965.1	Paraburkholderia hospita	False	False	0.0	0.0	0
MF6_001079	GCF_003019945.1	Burkholderia vietnamiensis	True	False	0.0	0.0	0
MF6_001079	GCF_003019965.1	Burkholderia multivorans	True	False	0.0	0.0	0
MF6_001079	GCF_003020025.1	Burkholderia thailandensis	False	False	0.0	0.0	0
MF6_001079	GCF_003020185.1	Burkholderia thailandensis	False	False	0.0	0.0	0
MF6_001079	GCF_003076415.1	Burkholderia cenocepacia	True	False	0.0	0.0	0
MF6_001079	GCF_003233675.1	Burkholderia sp. JP2-270	True	False	0.0	0.0	0
MF6_001079	GCF_003286395.1	Paraburkholderia dokdonensis	False	False	0.0	0.0	0
MF6_001079	GCF_003330745.1	Paraburkholderia caledonica	False	False	0.0	0.0	0
MF6_001079	GCF_003330765.1	Burkholderia pyrrocinia	True	False	0.0	0.0	0
MF6_001079	GCF_003330785.1	Paraburkholderia graminis	False	False	0.0	0.0	0
MF6_001079	GCF_003330805.1	Paraburkholderia hospita	False	False	0.0	0.0	0
MF6_001079	GCF_003330825.1	Paraburkholderia terricola	False	False	0.0	0.0	0
MF6_001079	GCF_003366075.1	Burkholderia sp. IDO3	True	False	0.0	0.0	0
MF6_001079	GCF_003368325.1	Paraburkholderia caffeinilytica	False	False	0.0	0.0	0
MF6_001079	GCF_003445415.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_003546465.1	Burkholderia cepacia ATCC 25416	True	False	0.0	0.0	0
MF6_001079	GCF_003547015.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_003547035.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_003547055.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_003568605.1	Burkholderia thailandensis E264	False	False	0.0	0.0	0
MF6_001079	GCF_003606245.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_003613595.1	Burkholderia gladioli pv. gladioli	False	False	0.0	0.0	0
MF6_001079	GCF_003614815.1	Burkholderia thailandensis	False	False	0.0	0.0	0
MF6_001079	GCF_003614835.1	Burkholderia thailandensis	False	False	0.0	0.0	0
MF6_001079	GCF_003704285.1	Burkholderia contaminans	True	False	0.0	0.0	0
MF6_001079	GCF_003711145.1	Burkholderia lata	True	False	0.0	0.0	0
MF6_001079	GCF_003713105.1	Burkholderia gladioli	False	False	0.0	0.0	0
MF6_001079	GCF_003798245.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_003798265.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_003798365.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_003812365.1	Burkholderia multivorans	True	False	0.0	0.0	0
MF6_001079	GCF_003812585.1	Burkholderia multivorans	False	False	0.0	0.0	0
MF6_001079	GCF_003812965.1	Burkholderia multivorans	True	False	0.0	0.0	0
MF6_001079	GCF_003813045.1	Burkholderia dolosa	True	False	0.0	0.0	0
MF6_001079	GCF_003966315.1	Burkholderia cenocepacia	True	False	0.0	0.0	0
MF6_001079	GCF_004323015.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_004323035.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_004348055.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_004348075.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_004367665.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_004367685.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_004367705.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_004367725.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_004526325.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_004842085.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_005280735.1	Trinickia violacea	False	False	0.0	0.0	0
MF6_001079	GCF_005853645.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_005862325.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_005937855.2	Burkholderia sp. KBS0801	True	False	0.0	0.0	0
MF6_001079	GCF_006094315.1	Burkholderia cepacia ATCC 25416	True	False	0.0	0.0	0
MF6_001079	GCF_007556815.1	Paraburkholderia megapolitana	False	False	0.0	0.0	0
MF6_001079	GCF_007724625.1	Burkholderia contaminans	True	False	0.0	0.0	0
MF6_001079	GCF_008693485.1	Burkholderia multivorans	True	False	0.0	0.0	0
MF6_001079	GCF_008693525.1	Burkholderia multivorans	True	False	0.0	0.0	0
MF6_001079	GCF_008728255.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_008728275.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_008728295.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
MF6_001079	GCF_008728315.1	Burkholderia pseudomallei	False	False	0.0	0.0	0
