accession	CDS	tRNA	rRNA	contigs
GCF_000522545.2	8323	64	18	3
GCF_000567905.1	5645	60	12	2
GCF_000567925.1	5554	62	12	2
GCF_000567945.1	5617	62	12	2
GCF_000583835.1	6162	63	12	2
GCF_000701165.1	7552	72	18	3
GCF_000705535.2	7126	70	18	3
GCF_000706745.1	5650	61	12	2
GCF_000755725.1	7081	72	18	3
GCF_000755765.1	6144	63	12	2
GCF_000755785.1	5021	58	11	2
GCF_000755805.1	7341	69	18	3
GCF_000755825.1	5933	62	12	2
GCF_000755845.1	4869	58	11	2
GCF_000755865.1	4879	56	8	2
GCF_000755885.1	4882	56	8	2
GCF_000755905.1	5828	63	12	2
GCF_000755925.1	5848	61	12	2
GCF_000755945.1	5765	62	12	2
GCF_000755965.1	5990	63	12	2
GCF_000755985.1	6321	61	12	2
GCF_000756005.1	6526	69	15	3
GCF_000756025.1	5058	58	11	2
GCF_000756045.1	8680	67	18	3
GCF_000756065.1	5998	63	12	2
GCF_000756085.1	5954	64	12	2
GCF_000756125.1	5742	61	12	2
GCF_000756145.1	5752	61	12	2
GCF_000756165.1	5793	61	12	2
GCF_000756185.1	5943	62	12	2
GCF_000757015.2	5863	63	12	2
GCF_000757035.2	6004	69	12	2
GCF_000762285.1	5006	57	11	2
GCF_000764575.1	5892	64	12	2
GCF_000764595.1	5744	59	12	2
GCF_000764955.1	5780	68	18	3
GCF_000765375.1	5609	61	12	2
GCF_000770395.1	5907	61	12	2
GCF_000770455.1	5973	63	12	2
GCF_000770495.1	6042	62	12	2
GCF_000770515.1	5994	63	12	2
GCF_000770535.1	5975	63	12	2
GCF_000770565.1	6568	62	12	4
GCF_000808035.2	5704	62	12	2
GCF_000828875.1	8113	66	18	6
GCF_000835205.1	6632	67	15	2
GCF_000953095.1	5842	63	12	2
GCF_000954175.1	5784	66	12	2
GCF_000959125.1	5950	64	12	2
GCF_000959145.1	5926	62	12	2
GCF_000959165.1	4925	58	11	2
GCF_000959185.1	5854	61	12	2
GCF_000959205.1	6069	65	12	2
GCF_000959225.1	6184	63	12	2
GCF_000959245.1	6258	74	18	3
GCF_000959265.1	6023	65	12	2
GCF_000959285.1	5931	65	12	2
GCF_000959305.1	5780	63	12	2
GCF_000959325.1	6328	63	12	3
GCF_000959345.1	6023	62	12	2
GCF_000959365.1	6088	61	12	2
GCF_000959405.1	5076	58	11	2
GCF_000959425.1	5645	62	12	2
GCF_000959445.1	6108	74	18	4
GCF_000959465.1	4902	55	11	2
GCF_000959485.1	4697	55	11	2
GCF_000959505.1	5660	69	15	3
GCF_000959525.1	5605	68	15	3
GCF_000959545.1	6605	69	18	4
GCF_000959605.1	6119	64	12	3
GCF_000959625.1	4944	58	11	2
GCF_000959725.1	7507	70	15	5
GCF_000960995.1	5866	66	15	4
GCF_000961515.1	8176	64	18	4
GCF_000974835.2	5668	69	17	1
GCF_001028665.1	7054	68	20	4
GCF_001029145.1	7575	69	16	3
GCF_001277875.1	5985	63	12	2
GCF_001277895.1	5986	63	12	2
GCF_001277975.1	5922	66	12	2
GCF_001293045.1	6335	64	18	2
GCF_001318245.1	6003	64	12	2
GCF_001411495.1	7773	74	18	4
GCF_001411805.1	6798	62	15	3
GCF_001449005.1	8012	67	18	4
GCF_001484665.1	7320	68	18	4
GCF_001513745.1	6320	63	12	3
GCF_001522105.2	6302	61	12	2
GCF_001522135.2	6088	61	12	2
GCF_001522585.2	6316	67	18	3
GCF_001522635.2	6370	62	12	2
GCF_001523745.2	5674	61	12	2
GCF_001523915.2	6404	72	18	3
GCF_001524445.2	6420	62	12	3
GCF_001524625.2	6042	61	12	3
GCF_001524645.2	6416	70	18	4
GCF_001532025.2	5861	61	12	2
GCF_001557535.2	8504	56	12	8
GCF_001577465.1	6437	52	12	8
GCF_001606115.1	7252	69	18	4
GCF_001606135.1	7963	67	18	3
GCF_001611015.1	8295	64	18	3
GCF_001634365.1	7782	65	21	5
GCF_001695715.1	6008	64	13	2
GCF_001695735.1	6051	64	13	2
GCF_001718295.1	5698	62	12	2
GCF_001718315.1	6108	68	18	3
GCF_001718335.1	6073	67	18	3
GCF_001718355.1	6991	75	18	4
GCF_001718395.1	6475	69	15	2
GCF_001718415.1	7037	72	18	3
GCF_001718495.1	5899	71	18	3
GCF_001718515.1	5625	66	15	2
GCF_001718535.1	6808	68	18	3
GCF_001718555.1	6516	68	18	3
GCF_001718575.1	7432	70	18	3
GCF_001718595.1	5736	59	12	2
GCF_001718615.1	5662	60	12	2
GCF_001718635.1	5980	63	12	3
GCF_001718655.1	6628	73	15	3
GCF_001718695.1	5937	68	18	3
GCF_001718755.1	5899	68	15	3
GCF_001718775.1	6072	70	18	2
GCF_001718795.1	5885	67	18	4
GCF_001718815.1	5931	67	18	3
GCF_001718835.1	7044	71	18	3
GCF_001718855.1	7007	71	18	3
GCF_001718875.1	4721	59	12	2
GCF_001718895.1	6963	68	18	3
GCF_001718915.1	6070	68	18	4
GCF_001718955.1	6604	70	18	3
GCF_001718975.1	6603	72	18	4
GCF_001718995.1	6051	66	15	3
GCF_001729545.1	4927	57	11	2
GCF_001742165.1	7715	70	18	3
GCF_001865575.2	7115	70	21	5
GCF_001885195.1	5962	64	12	2
GCF_001887555.1	5993	63	12	2
GCF_001887575.1	5999	63	12	2
GCF_001922345.1	6655	62	12	3
GCF_001975065.1	5975	63	12	2
GCF_001975085.1	6013	64	12	2
GCF_001975105.1	6044	64	12	2
GCF_001975125.1	6128	63	12	2
GCF_001975145.1	6133	63	12	2
GCF_001980585.2	5746	62	12	2
GCF_001999785.1	6718	68	18	1
GCF_001999825.1	6563	69	18	2
GCF_001999885.1	6800	69	18	4
GCF_002007585.1	6827	68	18	3
GCF_002097715.1	6974	72	18	4
GCF_002110945.1	6231	66	12	2
GCF_002110965.1	6185	63	12	2
GCF_002111005.1	5998	64	12	2
GCF_002111025.1	6030	64	12	2
GCF_002111045.1	6055	71	12	2
GCF_002111085.1	6018	65	12	2
GCF_002111105.1	5933	62	13	2
GCF_002111125.1	6247	64	12	3
GCF_002111145.1	5871	64	12	2
GCF_002111165.1	6011	63	12	2
GCF_002111205.1	5971	62	12	2
GCF_002111225.1	6011	64	12	2
GCF_002111245.1	6013	64	12	2
GCF_002111265.1	6044	64	12	2
GCF_002111285.1	6200	63	12	2
GCF_002111305.1	6122	70	12	2
GCF_002111325.1	5945	64	12	2
GCF_002111345.1	5870	62	12	2
GCF_002111365.1	6077	63	12	2
GCF_002111385.1	6170	64	12	2
GCF_002208175.1	7522	69	15	5
GCF_002209085.2	7745	74	18	4
GCF_002278075.1	8094	64	18	8
GCF_002345985.1	4787	57	11	2
GCF_002346005.1	4987	57	11	2
GCF_002346025.1	4783	57	11	2
GCF_002346045.1	4994	58	11	2
GCF_002346065.1	4910	57	11	2
GCF_002346085.1	4975	57	11	2
GCF_002346105.1	4938	57	11	2
GCF_002346125.1	4947	57	11	2
GCF_002346145.1	4927	57	11	2
GCF_002346165.1	4891	58	11	2
GCF_002346185.1	4962	58	11	2
GCF_002346205.1	4935	57	11	2
GCF_002356275.1	6837	70	18	3
GCF_002386205.1	5786	59	12	2
GCF_002393425.1	7149	69	15	3
GCF_002407525.2	7748	74	18	4
GCF_002843645.1	5945	61	12	2
GCF_002860065.1	5896	61	12	2
GCF_002902925.1	8966	63	18	4
GCF_002902945.1	7990	67	18	4
GCF_002902965.1	10512	68	21	6
GCF_003019945.1	6116	74	18	4
GCF_003019965.1	5606	68	15	3
GCF_003020025.1	5623	61	12	2
GCF_003020185.1	5644	60	12	2
GCF_003076415.1	6340	70	18	3
GCF_003233675.1	7921	67	18	5
GCF_003286395.1	3907	59	12	2
GCF_003330745.1	6486	62	18	3
GCF_003330765.1	7146	72	18	3
GCF_003330785.1	6671	63	18	3
GCF_003330805.1	9840	68	21	4
GCF_003330825.1	6328	64	15	2
GCF_003366075.1	7250	69	18	4
GCF_003368325.1	7343	69	18	3
GCF_003445415.1	5911	64	12	2
GCF_003546465.1	7750	72	18	4
GCF_003547015.1	5968	62	12	2
GCF_003547035.1	5804	62	12	2
GCF_003547055.1	5922	63	12	2
GCF_003568605.1	5655	62	12	2
GCF_003606245.1	5956	65	12	2
GCF_003613595.1	7534	70	15	5
GCF_003614815.1	5729	61	12	2
GCF_003614835.1	5616	62	12	2
GCF_003704285.1	7187	69	18	3
GCF_003711145.1	8009	70	18	3
GCF_003713105.1	7076	68	15	3
GCF_003798245.1	6004	63	12	2
GCF_003798265.1	5819	63	12	2
GCF_003798365.1	5850	62	12	2
GCF_003812365.1	5628	67	15	3
GCF_003812585.1	5900	69	15	3
GCF_003812965.1	6769	72	18	3
GCF_003813045.1	5662	69	15	3
GCF_003966315.1	7105	70	18	3
GCF_004323015.1	5690	65	12	2
GCF_004323035.1	5712	64	12	2
GCF_004348055.1	5680	63	12	2
GCF_004348075.1	5649	65	12	2
GCF_004367665.1	5670	65	12	2
GCF_004367685.1	5707	62	12	2
GCF_004367705.1	5656	64	12	2
GCF_004367725.1	5658	66	12	2
GCF_004526325.1	5715	67	12	2
GCF_004842085.1	5871	64	12	2
GCF_005280735.1	7747	57	12	3
GCF_005853645.1	6025	63	12	2
GCF_005862325.1	6060	58	12	2
GCF_005937855.2	6514	69	18	3
GCF_006094315.1	7747	74	18	5
GCF_007556815.1	6726	58	12	3
GCF_007724625.1	8138	72	18	5
GCF_008693485.1	5717	69	15	3
GCF_008693525.1	5718	69	15	3
GCF_008728255.1	5807	61	12	2
GCF_008728275.1	5867	61	12	2
GCF_008728295.1	5810	61	12	2
GCF_008728315.1	5808	61	12	2
GCF_008728335.1	5808	61	12	2
GCF_008728355.1	5807	61	12	2
GCF_008728375.1	5856	61	12	2
GCF_009191525.1	7628	70	18	4
GCF_009578005.1	5962	67	15	5
GCF_009586235.1	7409	70	18	3
GCF_009730035.1	5782	69	15	5
GCF_009730175.1	5715	68	15	3
GCF_009730195.1	5893	68	15	3
GCF_009749345.1	6024	63	12	2
GCF_009755625.1	7709	70	18	5
GCF_009789655.1	6960	73	21	4
GCF_009789675.1	6935	71	18	5
GCF_009857095.1	5628	66	15	3
GCF_009931375.1	5714	67	15	4
GCF_009938265.1	7248	64	18	6
GCF_011039955.1	8526	59	15	8
GCF_011493005.1	8053	58	15	5
GCF_011578485.1	5503	62	12	2
GCF_012689525.1	9984	68	21	4
GCF_012974245.1	5757	66	15	5
GCF_013122645.1	5576	66	15	3
GCF_013307145.1	5969	68	15	4
GCF_013307165.1	5891	67	15	5
GCF_013378095.1	7482	67	18	3
GCF_013426895.1	8484	65	18	5
GCF_013426915.1	10495	68	21	5
GCF_013822785.1	6302	67	18	5
GCF_014171495.1	7706	69	21	5
GCF_014211915.1	6925	70	18	4
GCF_014263355.1	7260	69	15	3
GCF_014357995.1	6983	70	18	4
GCF_014854795.1	7494	72	18	3
GCF_016026055.1	5857	66	15	4
GCF_016027435.1	6300	61	12	2
GCF_016027455.1	6326	63	12	3
GCF_016127755.1	6601	69	18	4
GCF_016128195.1	5806	69	21	3
GCF_016458785.1	5629	67	15	7
GCF_016458805.1	5864	67	15	2
GCF_016598875.1	5900	66	15	5
GCF_016698705.1	6857	67	15	3
GCF_016774495.1	5977	60	12	3
GCF_016864355.1	6246	64	12	2
GCF_016889205.1	5661	69	15	3
GCF_016899425.1	6849	69	18	3
GCF_016899445.1	7083	69	18	4
GCF_017165175.1	5903	70	15	4
GCF_017165195.1	5746	70	15	3
GCF_017165475.1	5747	67	15	3
GCF_017165495.1	5744	66	15	3
GCF_017165515.1	5747	67	15	3
GCF_017165535.1	5750	70	15	3
GCF_017165555.1	5820	70	15	4
GCF_017220215.1	5188	63	15	4
GCF_017378155.1	6065	61	12	3
GCF_017378195.1	5989	62	12	2
GCF_017378235.1	6002	60	12	3
GCF_017378275.1	5936	64	12	2
GCF_017378315.2	5839	62	12	2
GCF_017378355.1	5904	58	12	2
GCF_017378435.1	6003	64	12	2
GCF_017514945.1	7788	77	18	5
GCF_017815595.1	5127	68	15	3
GCF_017815615.1	5827	69	18	4
GCF_017858835.1	6008	71	15	4
GCF_018223765.1	7315	75	18	5
GCF_018223785.1	8446	70	18	6
GCF_018223805.1	7179	68	18	3
GCF_018228345.1	5781	62	12	3
GCF_018228385.1	5813	62	12	3
GCF_018228525.1	5855	62	12	3
GCF_018228545.1	5708	62	12	3
GCF_018228565.1	5775	62	12	3
GCF_018228585.1	5813	62	12	3
GCF_018228605.1	5810	62	12	3
GCF_018228625.1	7329	80	18	6
GCF_018408855.1	8499	66	18	7
GCF_018417535.1	7589	70	18	3
GCF_018771365.1	6068	61	12	4
GCF_019428685.1	7233	60	12	2
GCF_019915365.1	7548	72	23	6
GCF_019930785.1	5502	69	15	3
GCF_020099355.1	6110	74	18	4
GCF_020544345.1	7573	65	18	3
GCF_020736245.1	5661	69	15	3
GCF_020843905.1	6521	70	18	3
GCF_020843925.1	6662	69	18	4
GCF_020843945.1	6989	70	18	3
GCF_020843965.1	6906	69	18	3
GCF_020843985.1	6587	70	18	3
GCF_020885575.1	9455	69	21	6
GCF_021344035.2	7990	71	18	4
GCF_021484945.1	7865	74	18	3
GCF_021535065.1	7340	73	18	4
GCF_021899435.1	8723	70	18	4
GCF_022213445.1	6228	68	18	4
GCF_022533485.1	7620	69	18	4
GCF_022809715.1	6825	67	18	3
GCF_022879575.1	5030	61	15	5
GCF_022879595.1	5704	63	15	6
GCF_022879615.1	6187	62	15	8
GCF_022879815.1	6833	68	18	7
GCF_023053515.1	7903	70	18	3
GCF_023169865.1	9479	66	21	6
GCF_023170545.1	5507	62	15	5
GCF_023373625.1	5772	68	15	3
GCF_023373645.1	5772	68	15	3
GCF_023373665.1	5612	68	15	3
GCF_023373685.1	5606	68	15	3
GCF_023373725.1	5739	71	18	4
GCF_023374315.1	5556	66	15	3
GCF_023374335.1	6820	69	18	3
GCF_023374355.1	5723	68	15	3
GCF_023374375.1	5978	68	15	4
GCF_023374395.1	5560	67	15	3
GCF_023374415.1	5980	68	15	4
GCF_023374435.1	5971	69	15	3
GCF_023374455.1	5567	67	15	3
GCF_023374475.1	7592	70	18	2
GCF_023374495.1	5587	70	15	3
GCF_023374515.1	5732	69	15	4
GCF_023374535.1	5684	68	15	3
GCF_023374575.1	5983	70	15	3
GCF_023374595.1	5980	68	15	4
GCF_023374615.1	5568	67	15	3
GCF_023374635.1	5665	68	15	3
GCF_023374655.1	5574	68	15	3
GCF_023374675.1	7601	70	18	3
GCF_023374695.1	5633	69	15	4
GCF_023374715.1	7593	70	18	3
GCF_023374735.1	5675	69	15	4
GCF_023374755.1	5607	68	15	3
GCF_023374775.1	5815	68	15	6
GCF_023374795.1	5676	68	15	3
GCF_023374815.1	5681	68	15	3
GCF_023374835.1	6815	69	18	3
GCF_023374855.1	6818	69	18	3
GCF_023374875.1	5976	68	15	4
GCF_023374895.1	5566	67	15	2
GCF_023658595.1	6693	67	15	2
GCF_024022955.1	6147	67	15	5
GCF_024072595.1	8171	66	18	4
GCF_024072715.1	8170	66	18	4
GCF_024123895.1	8458	65	18	6
GCF_024381035.2	7734	72	18	3
GCF_024600575.1	7538	67	18	3
GCF_024661975.1	7737	75	18	4
GCF_024662395.1	6018	66	15	5
GCF_024662415.1	5937	69	15	4
GCF_024662435.1	6026	65	15	4
GCF_024662455.1	6191	70	15	6
GCF_024662475.1	6407	70	15	6
GCF_024662615.1	6456	71	15	6
GCF_024662735.1	6410	70	15	6
GCF_024662895.1	6410	70	15	6
GCF_024663015.1	6043	69	15	5
GCF_024663135.1	6185	69	15	7
GCF_024663255.1	6009	66	15	5
GCF_024663375.1	6412	70	15	6
GCF_024663615.1	6421	70	15	6
GCF_024663775.1	6467	70	15	6
GCF_024663895.1	6411	70	15	6
GCF_024663975.1	6418	70	15	6
GCF_024663995.1	6411	70	15	6
GCF_024664015.1	6082	66	15	5
GCF_024664035.1	6413	70	15	6
GCF_024664055.1	6258	69	15	6
GCF_024664075.1	6119	67	15	6
GCF_024664095.1	6336	68	15	6
GCF_024664115.1	6142	64	15	6
GCF_024664135.1	6318	71	15	6
GCF_024664155.1	6413	70	15	6
GCF_024664175.1	6407	70	15	6
GCF_024664195.1	6124	67	15	5
GCF_024664215.1	5962	67	15	6
GCF_024664235.1	5990	68	15	5
GCF_024664255.1	6149	70	15	4
GCF_024664275.1	6084	68	15	5
GCF_024730645.1	6769	68	18	3
GCF_024732225.1	6770	73	18	3
GCF_024760585.1	5872	68	15	5
GCF_024760605.1	6273	68	15	6
GCF_024760625.1	6162	66	15	5
GCF_024760645.1	6030	67	15	5
GCF_025244785.1	6988	69	15	4
GCF_025560745.1	7234	67	18	3
GCF_025643495.1	5855	69	15	4
GCF_025643515.1	7797	72	18	5
GCF_025643555.1	5596	69	15	3
GCF_025643575.1	7295	75	18	4
GCF_026315005.1	5782	61	12	2
GCF_026315025.1	5797	61	12	2
GCF_026315045.1	5780	61	12	2
GCF_026651625.1	7234	69	15	4
GCF_026651975.1	6428	70	15	6
GCF_026651995.1	6428	70	15	6
GCF_026652015.1	6420	70	15	6
GCF_026683835.2	6471	68	18	3
GCF_026683855.2	6561	69	18	3
GCF_026683875.2	6552	69	18	3
GCF_026958255.1	6476	67	18	3
GCF_028201395.1	5742	62	12	2
GCF_028462305.2	7512	71	18	3
GCF_028473685.1	7121	67	21	2
GCF_028657905.1	6584	61	15	4
GCF_029536165.1	6128	58	12	2
GCF_029590335.1	7870	70	18	6
GCF_029633645.1	7318	70	18	3
GCF_029633805.1	8078	77	18	5
GCF_029633825.1	8657	70	18	7
GCF_029910195.1	8059	100	18	4
GCF_029910215.1	7276	60	21	3
GCF_029962485.1	6864	68	18	3
GCF_030078435.1	5907	69	18	3
GCF_030297195.1	5796	61	12	2
GCF_030297215.1	5909	63	12	2
GCF_030297235.1	5997	62	12	2
GCF_030297255.1	5752	62	12	2
GCF_030297275.1	5832	63	12	2
GCF_030297295.1	5914	64	12	2
GCF_030297315.1	5794	62	12	3
GCF_030297335.1	6036	64	12	2
GCF_030297355.1	5813	61	12	2
GCF_030316055.1	3427	58	12	2
GCF_030316075.1	3427	58	12	2
GCF_030374675.1	7005	69	18	4
GCF_030412785.1	8830	64	18	4
GCF_030505635.1	6518	67	15	6
GCF_030644525.1	6866	68	15	3
GCF_030848725.1	5714	70	15	4
GCF_031356765.1	6462	67	18	2
GCF_031585635.1	7849	69	18	5
GCF_032806925.1	8295	64	18	3
GCF_033391855.2	9340	72	21	4
GCF_033675275.1	6033	66	12	2
GCF_033675305.1	5888	66	13	2
GCF_033675325.1	7867	70	18	4
GCF_033870355.1	4974	56	11	2
GCF_033870375.1	4915	56	11	2
GCF_033870395.1	4972	56	11	1
GCF_033956065.1	4985	58	11	2
GCF_034047095.1	6026	57	13	7
GCF_034424375.1	5889	58	12	2
GCF_034424545.1	5784	57	12	2
GCF_035621555.1	5811	61	12	3
GCF_036352035.1	5945	68	15	3
GCF_036362805.1	5514	70	15	3
GCF_036837415.1	7287	70	15	3
GCF_036839165.1	7290	70	15	3
GCF_037055255.1	7715	68	18	3
GCF_037101255.1	8811	64	18	4
GCF_037101275.1	6791	71	18	3
GCF_037477895.1	3007	50	9	2
GCF_037477905.1	3251	50	9	3
GCF_037478035.1	3159	50	9	3
GCF_037478045.1	3064	47	9	2
GCF_037478055.1	3066	48	9	2
GCF_037478065.1	3330	48	9	3
GCF_037478075.1	2961	49	9	2
GCF_037478085.1	3047	50	9	2
GCF_038050405.1	8209	66	18	2
GCF_038452255.1	7091	69	18	3
GCF_038723655.1	7549	69	18	3
GCF_038782865.1	6685	68	18	3
GCF_038983115.1	5809	63	12	2
GCF_038983225.1	5809	63	12	2
GCF_039621805.1	6093	65	18	4
GCF_039728355.1	7516	73	18	5
GCF_039848545.1	6714	72	21	3
GCF_039852015.1	5302	59	12	3
GCF_040215475.1	7433	69	18	3
GCF_040314805.1	5788	57	12	2
GCF_040361905.1	9757	65	21	5
GCF_040735455.1	6652	74	18	4
GCF_040761425.1	7637	72	18	5
GCF_041070875.1	7270	71	18	3
GCF_041205585.2	6604	69	18	4
GCF_042604585.1	6927	67	15	2
GCF_042604595.1	7312	69	15	4
GCF_043193125.1	6642	69	18	3
GCF_044057485.1	7775	70	18	5
GCF_044501195.1	7860	70	18	4
GCF_045345775.1	6666	71	18	4
GCF_045348565.1	8795	66	18	4
GCF_045862465.1	7325	68	15	4
GCF_045925845.1	7479	65	10	5
GCF_046773525.1	7333	73	19	3
GCF_047127275.1	7810	75	18	4
GCF_047325075.1	5964	63	18	2
GCF_047497155.1	6668	67	15	2
GCF_047497165.1	6620	68	15	2
GCF_047902435.1	7876	70	18	4
GCF_048565175.1	6881	66	15	2
GCF_048565265.1	7604	72	18	3
GCF_048627025.1	8195	69	18	9
GCF_048688115.1	5734	61	12	2
GCF_048917655.1	7032	69	15	4
GCF_048917665.1	7225	69	15	4
GCF_048917685.1	7038	69	15	4
GCF_049177125.1	6799	62	15	3
GCF_049487195.1	7237	68	18	3
GCF_049913365.1	6567	70	18	3
GCF_049942845.1	6577	70	18	3
GCF_050320195.1	6002	66	12	2
GCF_050430075.1	5793	58	13	8
GCF_050500075.1	7673	72	21	5
GCF_050613125.1	7176	67	15	3
GCF_050613135.1	7316	68	18	3
GCF_050627075.1	8452	64	18	4
GCF_050627395.1	8451	64	18	4
GCF_050632305.1	7322	71	18	4
GCF_050632315.1	7318	71	17	4
GCF_050632325.1	7528	70	18	3
GCF_050632335.1	7316	71	18	4
GCF_050632345.1	7311	71	18	4
GCF_050632355.1	7675	74	18	3
GCF_050813845.1	7305	71	18	3
GCF_050858985.1	7367	62	18	4
GCF_050920555.1	7195	71	15	3
GCF_050955445.1	5555	57	15	3
GCF_050990585.1	5663	63	18	2
GCF_050990595.1	7071	67	21	5
GCF_051027425.1	7376	66	18	3
GCF_051124805.1	7896	132	21	8
GCF_051125205.1	7085	69	21	6
GCF_051125215.1	7687	73	21	6
GCF_051125545.1	7863	132	21	8
GCF_051355645.1	7722	70	18	3
GCF_051560065.1	5865	61	12	2
GCF_051560085.1	5832	61	12	2
GCF_051560105.1	6016	62	12	2
GCF_051560125.1	6078	62	12	3
GCF_051560145.1	5985	61	12	2
GCF_051615025.1	7038	58	12	5
GCF_052222725.1	6900	66	15	2
GCF_052854005.1	5949	63	12	2
GCF_052854015.1	6013	63	12	2
GCF_052854305.1	6047	63	12	3
GCF_052854315.1	6185	65	12	2
GCF_052854605.1	5920	65	12	2
GCF_052854615.1	5930	65	12	2
GCF_052854885.1	6029	65	12	2
GCF_052854895.1	5740	65	12	2
GCF_052855305.1	5953	62	12	2
GCF_052855315.1	5905	62	12	2
GCF_052855605.1	5911	70	12	2
GCF_052855615.1	5852	62	12	2
GCF_052855985.1	5850	62	12	2
GCF_052856205.1	5679	63	12	2
GCF_052857015.1	5736	63	12	2
GCF_052857225.1	5882	65	12	2
GCF_052857935.1	5829	61	12	2
GCF_052858145.1	5929	62	12	2
GCF_052858685.1	5991	62	12	2
GCF_052858755.1	5882	61	12	2
GCF_053038975.1	6757	68	18	3
GCF_053153985.1	6239	72	18	4
GCF_053209605.1	6760	68	18	3
GCF_053348855.1	6842	71	18	4
GCF_053470105.1	7139	68	15	3
GCF_053470145.1	7132	68	15	3
GCF_053760385.1	8320	55	12	4
GCF_054073385.1	7144	78	18	4
GCF_054073395.1	7324	76	18	5
GCF_054166125.1	7063	62	18	3
GCF_054166145.1	7235	62	18	9
GCF_054166155.1	7069	62	18	3
GCF_054166185.1	7143	71	18	4
GCF_054166195.1	6396	62	18	3
GCF_054166225.1	6919	63	18	3
GCF_054166245.1	7085	62	18	3
GCF_054166265.1	6934	63	18	3
GCF_054187845.1	7289	67	15	6
GCF_054558305.1	7412	69	18	3
GCF_054955335.1	6323	67	15	2
GCF_055386035.1	7652	73	15	5
GCF_055387925.1	5020	58	11	2
GCF_055391905.1	6922	67	21	3
GCF_055397325.1	8292	65	18	4
GCF_055397665.1	4950	57	11	2
GCF_055397955.1	7093	68	15	3
GCF_055810255.1	5453	61	12	2
GCF_056270685.1	3564	59	9	1
GCF_056591095.1	6477	63	15	2
GCF_056640905.1	7921	84	18	5
GCF_056783395.1	7350	71	18	3
GCF_056847505.1	3168	48	9	3
GCF_056867595.1	3261	49	9	3
GCF_056868365.1	3238	49	9	3
GCF_056868375.1	3155	48	9	2
GCF_056880615.1	3017	47	9	2
GCF_057005415.2	7771	70	18	3
GCF_057369595.1	7409	69	18	4
GCF_057439935.1	7409	69	18	4
GCF_057587595.1	5969	67	15	2
GCF_057612605.2	7148	64	15	6
GCF_057748135.1	5841	61	15	2
GCF_058448765.1	7413	68	15	8
GCF_059089405.1	7168	70	18	3
GCF_059622985.1	7871	66	18	2
GCF_902141795.1	5804	62	12	2
GCF_902141815.1	5968	62	12	2
GCF_902141835.1	5922	63	12	2
GCF_902459535.1	7459	66	18	5
GCF_904865725.1	7099	71	18	4
GCF_905400185.1	7203	69	18	4
GCF_939576165.1	4832	58	11	1
GCF_964026365.1	8585	67	18	7
GCF_964261745.1	8582	67	18	7
GCF_964264985.1	7027	73	18	4
GCF_964264995.1	7424	70	18	3
GCF_964265005.1	7421	70	18	3
GCF_964265015.1	8168	77	18	5
GCF_964265025.1	7612	71	18	3
GCF_965118185.1	6769	58	12	3
GCF_965199385.1	5930	64	12	2
GCF_965199395.1	5942	65	12	2
GCF_965199405.1	5945	64	12	2
GCF_965199425.1	5927	64	12	2
GCF_965199435.1	5929	64	12	2
GCF_965199445.1	5928	64	12	2
GCF_965199455.1	5934	64	12	2
GCF_965199515.1	5937	64	12	2
