genome	model	system_id	n_genes	wholeness	score	first_pos	last_pos	genes	loci
GCF_053038975.1	T5cSS	GCF_053038975.1_pC3_T5cSS_4	1	1.000	1.000	301	301	T5cSS_PF03895	AHCKDM_06112
GCF_053038975.1	T5cSS	GCF_053038975.1_pC3_T5cSS_5	1	1.000	1.000	908	908	T5cSS_PF03895	AHCKDM_06720
GCF_053038975.1	T5cSS	GCF_053038975.1_pC3_T5cSS_6	1	1.000	1.000	923	923	T5cSS_PF03895	AHCKDM_06735
GCF_053038975.1	Tad	GCF_053038975.1_pC3_Tad_7	13	0.750	8.000	267	281	Tad_flp,Tad_flp,Tad_flp,Tad_tadV,Tad_rcpC,Tad_rcpA,Tad_tadG,Tad_tadE,Tad_tadE,Tad_tadZ,Tad_tadA,Tad_tadB,Tad_tadC	AHCKDM_06078,AHCKDM_06079,AHCKDM_06080,AHCKDM_06081,AHCKDM_06083,AHCKDM_06084,AHCKDM_06086,AHCKDM_06087,AHCKDM_06088,AHCKDM_06089,AHCKDM_06090,AHCKDM_06091,AHCKDM_06092
GCF_053209605.1	Flagellum	GCF_053209605.1_pC3_Flagellum_1	11	1.000	11.000	950	979	Flg_flgC,Flg_flgB,Flg_sctN_FLG,Flg_sctJ_FLG,Flg_fliE,Flg_sctQ_FLG,Flg_sctR_FLG,Flg_sctS_FLG,Flg_sctT_FLG,Flg_sctU_FLG,Flg_sctV_FLG	GFFINM_06764,GFFINM_06765,GFFINM_06778,GFFINM_06781,GFFINM_06782,GFFINM_06788,GFFINM_06789,GFFINM_06790,GFFINM_06791,GFFINM_06792,GFFINM_06793
GCF_053209605.1	T5cSS	GCF_053209605.1_pC3_T5cSS_2	1	1.000	1.000	164	164	T5cSS_PF03895	GFFINM_05977
GCF_053209605.1	T5cSS	GCF_053209605.1_pC3_T5cSS_3	1	1.000	1.000	182	182	T5cSS_PF03895	GFFINM_05995
GCF_053209605.1	T5cSS	GCF_053209605.1_pC3_T5cSS_4	1	1.000	1.000	301	301	T5cSS_PF03895	GFFINM_06114
GCF_053209605.1	T5cSS	GCF_053209605.1_pC3_T5cSS_5	1	1.000	1.000	909	909	T5cSS_PF03895	GFFINM_06723
GCF_053209605.1	T5cSS	GCF_053209605.1_pC3_T5cSS_6	1	1.000	1.000	924	924	T5cSS_PF03895	GFFINM_06738
GCF_053209605.1	Tad	GCF_053209605.1_pC3_Tad_7	13	0.750	8.000	267	281	Tad_flp,Tad_flp,Tad_flp,Tad_tadV,Tad_rcpC,Tad_rcpA,Tad_tadG,Tad_tadE,Tad_tadE,Tad_tadZ,Tad_tadA,Tad_tadB,Tad_tadC	GFFINM_06080,GFFINM_06081,GFFINM_06082,GFFINM_06083,GFFINM_06085,GFFINM_06086,GFFINM_06088,GFFINM_06089,GFFINM_06090,GFFINM_06091,GFFINM_06092,GFFINM_06093,GFFINM_06094
GCF_905400185.1	Flagellum	GCF_905400185.1_pC3_Flagellum_1	11	1.000	11.000	990	1018	Flg_flgC,Flg_flgB,Flg_sctN_FLG,Flg_sctJ_FLG,Flg_fliE,Flg_sctQ_FLG,Flg_sctR_FLG,Flg_sctS_FLG,Flg_sctT_FLG,Flg_sctU_FLG,Flg_sctV_FLG	DKPOPA_06998,DKPOPA_06999,DKPOPA_07012,DKPOPA_07015,DKPOPA_07016,DKPOPA_07021,DKPOPA_07022,DKPOPA_07023,DKPOPA_07024,DKPOPA_07025,DKPOPA_07026
GCF_905400185.1	T5cSS	GCF_905400185.1_pC3_T5cSS_2	1	1.000	1.000	80	80	T5cSS_PF03895	DKPOPA_06087
GCF_905400185.1	T5cSS	GCF_905400185.1_pC3_T5cSS_3	1	1.000	1.000	341	341	T5cSS_PF03895	DKPOPA_06348
GCF_905400185.1	T5cSS	GCF_905400185.1_pC3_T5cSS_4	1	1.000	1.000	365	365	T5cSS_PF03895	DKPOPA_06372
GCF_905400185.1	T5cSS	GCF_905400185.1_pC3_T5cSS_5	1	1.000	1.000	477	477	T5cSS_PF03895	DKPOPA_06484
GCF_905400185.1	T5cSS	GCF_905400185.1_pC3_T5cSS_6	1	1.000	1.000	950	950	T5cSS_PF03895	DKPOPA_06958
GCF_905400185.1	T5cSS	GCF_905400185.1_pC3_T5cSS_7	1	1.000	1.000	965	965	T5cSS_PF03895	DKPOPA_06973
GCF_905400185.1	Tad	GCF_905400185.1_pC3_Tad_8	13	0.750	8.000	443	457	Tad_flp,Tad_flp,Tad_flp,Tad_tadV,Tad_rcpC,Tad_rcpA,Tad_tadG,Tad_tadE,Tad_tadE,Tad_tadZ,Tad_tadA,Tad_tadB,Tad_tadC	DKPOPA_06450,DKPOPA_06451,DKPOPA_06452,DKPOPA_06453,DKPOPA_06455,DKPOPA_06456,DKPOPA_06458,DKPOPA_06459,DKPOPA_06460,DKPOPA_06461,DKPOPA_06462,DKPOPA_06463,DKPOPA_06464
MF6	Flagellum	MF6_pC3_Flagellum_1	11	1.000	11.000	831	859	Flg_flgC,Flg_flgB,Flg_sctN_FLG,Flg_sctJ_FLG,Flg_fliE,Flg_sctQ_FLG,Flg_sctR_FLG,Flg_sctS_FLG,Flg_sctT_FLG,Flg_sctU_FLG,Flg_sctV_FLG	CFFIHE_04189,CFFIHE_04190,CFFIHE_04203,CFFIHE_04206,CFFIHE_04207,CFFIHE_04212,CFFIHE_04213,CFFIHE_04214,CFFIHE_04215,CFFIHE_04216,CFFIHE_04217
MF6	T5cSS	MF6_pC3_T5cSS_2	1	1.000	1.000	198	198	T5cSS_PF03895	CFFIHE_03555
MF6	T5cSS	MF6_pC3_T5cSS_3	1	1.000	1.000	222	222	T5cSS_PF03895	CFFIHE_03579
MF6	T5cSS	MF6_pC3_T5cSS_4	1	1.000	1.000	325	325	T5cSS_PF03895	CFFIHE_03682
MF6	T5cSS	MF6_pC3_T5cSS_5	1	1.000	1.000	790	790	T5cSS_PF03895	CFFIHE_04148
MF6	T5cSS	MF6_pC3_T5cSS_6	1	1.000	1.000	805	805	T5cSS_PF03895	CFFIHE_04163
MF6	Tad	MF6_pC3_Tad_7	13	0.750	8.000	291	305	Tad_flp,Tad_flp,Tad_flp,Tad_tadV,Tad_rcpC,Tad_rcpA,Tad_tadG,Tad_tadE,Tad_tadE,Tad_tadZ,Tad_tadA,Tad_tadB,Tad_tadC	CFFIHE_03648,CFFIHE_03649,CFFIHE_03650,CFFIHE_03651,CFFIHE_03653,CFFIHE_03654,CFFIHE_03656,CFFIHE_03657,CFFIHE_03658,CFFIHE_03659,CFFIHE_03660,CFFIHE_03661,CFFIHE_03662
MF7	Flagellum	MF7_c2_Flagellum_1/c2	11	1.000	11.000	102	130	Flg_sctV_FLG,Flg_sctU_FLG,Flg_sctT_FLG,Flg_sctS_FLG,Flg_sctR_FLG,Flg_sctQ_FLG,Flg_fliE,Flg_sctJ_FLG,Flg_sctN_FLG,Flg_flgB,Flg_flgC	EFEKAH_00103,EFEKAH_00104,EFEKAH_00105,EFEKAH_00106,EFEKAH_00107,EFEKAH_00108,EFEKAH_00113,EFEKAH_00114,EFEKAH_00117,EFEKAH_00130,EFEKAH_00131
MF7	T5cSS	MF7_c1_T5cSS_1/c1	1	1.000	1.000	384	384	T5cSS_PF03895	EFEKAH_07421
MF7	T5cSS	MF7_c1_T5cSS_2/c1	1	1.000	1.000	486	486	T5cSS_PF03895	EFEKAH_07523
MF7	T5cSS	MF7_c1_T5cSS_3/c1	1	1.000	1.000	510	510	T5cSS_PF03895	EFEKAH_07547
MF7	T5cSS	MF7_c2_T5cSS_2/c2	1	1.000	1.000	156	156	T5cSS_PF03895	EFEKAH_00157
MF7	T5cSS	MF7_c2_T5cSS_3/c2	1	1.000	1.000	171	171	T5cSS_PF03895	EFEKAH_00172
MF7	Tad	MF7_c1_Tad_4/c1	13	0.750	8.000	404	418	Tad_tadC,Tad_tadB,Tad_tadA,Tad_tadZ,Tad_tadE,Tad_tadE,Tad_tadG,Tad_rcpA,Tad_rcpC,Tad_tadV,Tad_flp,Tad_flp,Tad_flp	EFEKAH_07441,EFEKAH_07442,EFEKAH_07443,EFEKAH_07444,EFEKAH_07445,EFEKAH_07446,EFEKAH_07447,EFEKAH_07449,EFEKAH_07450,EFEKAH_07452,EFEKAH_07453,EFEKAH_07454,EFEKAH_07455
