accession	contig	length	rank	n_contigs
GCF_000203955.1	NC_008542.1	3483902	1	4
GCF_000203955.1	NC_008543.1	2998664	2	4
GCF_000203955.1	NC_008544.1	1055417	3	4
GCF_000203955.1	NC_008545.1	164857	4	4
GCF_000236065.1	NC_016589.1	3131280	1	6
GCF_000236065.1	NC_016626.1	1951047	2	6
GCF_000236065.1	NC_016625.1	1773019	3	6
GCF_000236065.1	NC_016590.1	1569570	4	6
GCF_000236065.1	NC_016591.1	356263	5	6
GCF_000236065.1	NC_016592.1	115232	6	6
GCF_000236215.2	NZ_HG938370.1	3572953	1	3
GCF_000236215.2	NZ_HG938371.1	3102677	2	3
GCF_000236215.2	NZ_HG938372.1	1039263	3	3
GCF_000260515.1	NC_017831.1	4092668	1	2
GCF_000260515.1	NC_017832.1	3138747	2	2
GCF_000262695.1	NC_017920.1	3145156	1	4
GCF_000262695.1	NC_017921.1	2356985	2	4
GCF_000262695.1	NC_017922.1	1082410	3	4
GCF_000262695.1	NC_017923.1	45361	4	4
GCF_000292915.1	NC_018513.1	3463655	1	2
GCF_000292915.1	NC_018514.1	3003666	2	2
GCF_000294635.1	NC_018527.1	4001777	1	2
GCF_000294635.1	NC_018529.1	3153284	2	2
GCF_000300095.1	NC_018695.1	4152217	1	3
GCF_000300095.1	NC_018672.1	2713495	2	3
GCF_000300095.1	NC_018696.1	785419	3	3
GCF_000385525.1	NC_021173.1	3967794	1	2
GCF_000385525.1	NC_021174.1	2763585	2	2
GCF_000402035.1	NC_021287.1	3013410	1	5
GCF_000402035.1	NC_021294.1	1465356	2	5
GCF_000402035.1	NC_021289.1	1275199	3	5
GCF_000402035.1	NC_021288.1	900830	4	5
GCF_000402035.1	NC_021295.1	309692	5	5
GCF_000439695.1	NC_021884.1	4054155	1	2
GCF_000439695.1	NC_021877.1	3373917	2	2
GCF_000494855.1	NC_022659.1	3997089	1	2
GCF_000494855.1	NC_022658.1	3340068	2	2
GCF_000511895.1	NZ_CP004001.1	4029451	1	2
GCF_000511895.1	NZ_CP004002.1	3361913	2	2
GCF_000511915.1	NZ_CP004003.1	4067895	1	2
GCF_000511915.1	NZ_CP004004.1	3245956	2	2
GCF_000520895.1	NZ_CP004023.1	4067942	1	2
GCF_000520895.1	NZ_CP004024.1	3248143	2	2
GCF_000521645.1	NZ_CP004042.1	4067985	1	2
GCF_000521645.1	NZ_CP004043.1	3245118	2	2
GCF_000522545.2	NZ_CP012746.1	3575012	1	3
GCF_000522545.2	NZ_CP012747.1	3352623	2	3
GCF_000522545.2	NZ_CP012748.1	2555069	3	3
GCF_000567905.1	NZ_CP004089.1	3827433	1	2
GCF_000567905.1	NZ_CP004090.1	2940942	2	2
GCF_000567925.1	NZ_CP004097.1	3662415	1	2
GCF_000567925.1	NZ_CP004098.1	2914718	2	2
GCF_000567945.1	NZ_CP004117.1	3799595	1	2
GCF_000567945.1	NZ_CP004118.1	2852101	2	2
GCF_000583835.1	NZ_CP004368.1	4059501	1	2
GCF_000583835.1	NZ_CP004369.1	3391010	2	2
GCF_000701165.1	NZ_CP013730.1	3790084	1	3
GCF_000701165.1	NZ_CP013731.1	3400736	2	3
GCF_000701165.1	NZ_CP013732.1	1290392	3	3
GCF_000705535.2	NZ_CP072520.1	3561262	1	3
GCF_000705535.2	NZ_CP072521.1	3012498	2	3
GCF_000705535.2	NZ_CP072522.1	1448576	3	3
GCF_000706745.1	NZ_CP004383.1	3862646	1	2
GCF_000706745.1	NZ_CP004384.1	2821713	2	2
GCF_000755725.1	NZ_CP007783.1	3668832	1	3
GCF_000755725.1	NZ_CP007784.1	3209624	2	3
GCF_000755725.1	NZ_CP007782.1	1166794	3	3
GCF_000755765.1	NZ_CP009209.1	4056147	1	2
GCF_000755765.1	NZ_CP009210.1	3386014	2	2
GCF_000755785.1	NZ_CP009148.1	3510187	1	2
GCF_000755785.1	NZ_CP009147.1	2325354	2	2
GCF_000755805.1	NZ_CP007787.1	3760231	1	3
GCF_000755805.1	NZ_CP007786.1	3206581	2	3
GCF_000755805.1	NZ_CP007785.1	1180302	3	3
GCF_000755825.1	NZ_CP009128.1	4058409	1	2
GCF_000755825.1	NZ_CP009127.1	3214293	2	2
GCF_000755845.1	NZ_CP008711.1	3501048	1	2
GCF_000755845.1	NZ_CP008710.1	2146721	2	2
GCF_000755865.1	NZ_CP008704.1	3531732	1	2
GCF_000755865.1	NZ_CP008705.1	2093560	2	2
GCF_000755885.1	NZ_CP008723.1	3533325	1	2
GCF_000755885.1	NZ_CP008722.1	2096906	2	2
GCF_000755905.1	NZ_CP008894.1	3984054	1	2
GCF_000755905.1	NZ_CP008893.1	3194122	2	2
GCF_000755925.1	NZ_CP008911.1	4017692	1	2
GCF_000755925.1	NZ_CP008912.1	3200711	2	2
GCF_000755945.1	NZ_CP008892.1	3925545	1	2
GCF_000755945.1	NZ_CP008891.1	3146583	2	2
GCF_000755965.1	NZ_CP008909.1	4054219	1	2
GCF_000755965.1	NZ_CP008910.1	3236215	2	2
GCF_000755985.1	NZ_CP008726.1	4192008	1	2
GCF_000755985.1	NZ_CP008727.1	3121665	2	2
GCF_000756005.1	NZ_CP008730.1	3603686	1	3
GCF_000756005.1	NZ_CP008729.1	2541526	2	3
GCF_000756005.1	NZ_CP008728.1	1136655	3	3
GCF_000756025.1	NZ_CP008732.1	3553363	1	2
GCF_000756025.1	NZ_CP008731.1	2321567	2	2
GCF_000756045.1	NZ_CP008760.1	4868129	1	3
GCF_000756045.1	NZ_CP008762.1	3363006	2	3
GCF_000756045.1	NZ_CP008761.1	1471816	3	3
GCF_000756065.1	NZ_CP008784.1	4060827	1	2
GCF_000756065.1	NZ_CP008783.1	3236977	2	2
GCF_000756085.1	NZ_CP008834.1	4092738	1	2
GCF_000756085.1	NZ_CP008835.1	3138647	2	2
GCF_000756125.1	NZ_CP008781.1	3985223	1	2
GCF_000756125.1	NZ_CP008782.1	3100174	2	2
GCF_000756145.1	NZ_CP008758.1	3984293	1	2
GCF_000756145.1	NZ_CP008759.1	3102140	2	2
GCF_000756165.1	NZ_CP008780.1	4019546	1	2
GCF_000756165.1	NZ_CP008779.1	3008404	2	2
GCF_000756185.1	NZ_CP008777.1	4021786	1	2
GCF_000756185.1	NZ_CP008778.1	3244818	2	2
GCF_000757015.2	NZ_CP009585.1	3976798	1	2
GCF_000757015.2	NZ_CP009586.1	3225565	2	2
GCF_000757035.2	NZ_CP009899.1	4140573	1	2
GCF_000757035.2	NZ_CP009898.1	3184745	2	2
GCF_000762285.1	NZ_CP007802.1	3476239	1	2
GCF_000762285.1	NZ_CP007801.1	2351417	2	2
GCF_000764575.1	NZ_CP004377.1	3955135	1	2
GCF_000764575.1	NZ_CP004378.1	3248948	2	2
GCF_000764595.1	NZ_CP004385.1	3916324	1	2
GCF_000764595.1	NZ_CP004386.1	2823176	2	2
GCF_000764955.1	NZ_CP007781.1	3241886	1	3
GCF_000764955.1	NZ_CP007780.1	2375865	2	3
GCF_000764955.1	NZ_CP007779.1	994670	3	3
GCF_000765375.1	NZ_CP004381.1	3805980	1	2
GCF_000765375.1	NZ_CP004382.1	2870750	2	2
GCF_000770395.1	NZ_CP009235.1	4031107	1	2
GCF_000770395.1	NZ_CP009234.1	3194326	2	2
GCF_000770455.1	NZ_CP009151.1	4008750	1	2
GCF_000770455.1	NZ_CP009150.1	3256009	2	2
GCF_000770495.1	NZ_CP009161.1	4110442	1	2
GCF_000770495.1	NZ_CP009160.1	3227179	2	2
GCF_000770515.1	NZ_CP009162.1	3969389	1	2
GCF_000770515.1	NZ_CP009163.1	3327069	2	2
GCF_000770535.1	NZ_CP009165.1	4008865	1	2
GCF_000770535.1	NZ_CP009164.1	3263576	2	2
GCF_000770565.1	NZ_CP009157.1	4228716	1	4
GCF_000770565.1	NZ_CP009156.1	3267160	2	4
GCF_000770565.1	NZ_CP009155.1	271168	3	4
GCF_000770565.1	NZ_CP009154.1	47098	4	4
GCF_000808035.2	NZ_CP008914.2	3762666	1	2
GCF_000808035.2	NZ_CP008915.2	2966450	2	2
GCF_000828875.1	NZ_AP014576.1	3090091	1	6
GCF_000828875.1	NZ_AP014577.1	1787110	2	6
GCF_000828875.1	NZ_AP014578.1	1680600	3	6
GCF_000828875.1	NZ_AP014579.1	1438033	4	6
GCF_000828875.1	NZ_AP014580.1	495745	5	6
GCF_000828875.1	NZ_AP014581.1	194177	6	6
GCF_000835205.1	NZ_CP002580.1	4163767	1	2
GCF_000835205.1	NZ_CP002581.1	3732771	2	2
GCF_000953095.1	NZ_LK936442.1	4044293	1	2
GCF_000953095.1	NZ_LK936443.1	3117372	2	2
GCF_000954175.1	NZ_CP010973.1	4006427	1	2
GCF_000954175.1	NZ_CP010974.1	3039355	2	2
GCF_000959125.1	NZ_CP004379.1	4092218	1	2
GCF_000959125.1	NZ_CP004380.1	3145454	2	2
GCF_000959145.1	NZ_CP009298.1	4055060	1	2
GCF_000959145.1	NZ_CP009297.1	3216446	2	2
GCF_000959165.1	NZ_CP009337.1	3458247	1	2
GCF_000959165.1	NZ_CP009338.1	2284094	2	2
GCF_000959185.1	NZ_CP009474.1	4021787	1	2
GCF_000959185.1	NZ_CP009473.1	3108026	2	2
GCF_000959205.1	NZ_CP009485.1	4088931	1	2
GCF_000959205.1	NZ_CP009484.1	3267445	2	2
GCF_000959225.1	NZ_CP009478.1	4240604	1	2
GCF_000959225.1	NZ_CP009477.1	3205965	2	2
GCF_000959245.1	NZ_CP009488.1	3546310	1	3
GCF_000959245.1	NZ_CP009486.1	2722556	2	3
GCF_000959245.1	NZ_CP009487.1	920205	3	3
GCF_000959265.1	NZ_CP009535.1	4121652	1	2
GCF_000959265.1	NZ_CP009536.1	3260260	2	2
GCF_000959285.1	NZ_CP009538.1	4074547	1	2
GCF_000959285.1	NZ_CP009537.1	3173067	2	2
GCF_000959305.1	NZ_CP009545.1	3915257	1	2
GCF_000959305.1	NZ_CP009546.1	3127457	2	2
GCF_000959325.1	NZ_CP009549.1	4067533	1	3
GCF_000959325.1	NZ_CP009548.1	2913181	2	3
GCF_000959325.1	NZ_CP009547.1	305110	3	3
GCF_000959345.1	NZ_CP009551.1	4185347	1	2
GCF_000959345.1	NZ_CP009550.1	3190204	2	2
GCF_000959365.1	NZ_CP009555.1	4132035	1	2
GCF_000959365.1	NZ_CP009556.1	3002987	2	2
GCF_000959405.1	NZ_CP009587.1	3559874	1	2
GCF_000959405.1	NZ_CP009588.1	2353260	2	2
GCF_000959425.1	NZ_CP009601.1	3808029	1	2
GCF_000959425.1	NZ_CP009602.1	2914772	2	2
GCF_000959445.1	NZ_CP009631.1	3317416	1	4
GCF_000959445.1	NZ_CP009630.1	2262093	2	4
GCF_000959445.1	NZ_CP009632.1	1248367	3	4
GCF_000959445.1	NZ_CP009629.1	102620	4	4
GCF_000959465.1	NZ_CP009642.1	3560434	1	2
GCF_000959465.1	NZ_CP009643.1	2126012	2	2
GCF_000959485.1	NZ_CP009707.1	3550623	1	2
GCF_000959485.1	NZ_CP009708.1	1858539	2	2
GCF_000959505.1	NZ_CP009795.1	3406596	1	3
GCF_000959505.1	NZ_CP009793.1	2168075	2	3
GCF_000959505.1	NZ_CP009794.1	834424	3	3
GCF_000959525.1	NZ_CP009832.1	3428264	1	3
GCF_000959525.1	NZ_CP009831.1	2344193	2	3
GCF_000959525.1	NZ_CP009830.1	550289	3	3
GCF_000959545.1	NZ_CP009798.1	3556555	1	4
GCF_000959545.1	NZ_CP009799.1	2646970	2	4
GCF_000959545.1	NZ_CP009800.1	1281472	3	4
GCF_000959545.1	NZ_CP009797.1	43581	4	4
GCF_000959605.1	NZ_CP010017.1	3896053	1	3
GCF_000959605.1	NZ_CP010018.1	2897757	2	3
GCF_000959605.1	NZ_CP010016.1	326388	3	3
GCF_000959625.1	NZ_CP010065.1	3542936	1	2
GCF_000959625.1	NZ_CP010066.1	2237503	2	2
GCF_000959725.1	NZ_CP009323.1	4668573	1	5
GCF_000959725.1	NZ_CP009322.1	3927513	2	5
GCF_000959725.1	NZ_CP009321.1	213090	3	5
GCF_000959725.1	NZ_CP009320.1	63573	4	5
GCF_000959725.1	NZ_CP009319.1	26710	5	5
GCF_000960995.1	NZ_CP009435.1	3659771	1	4
GCF_000960995.1	NZ_CP009434.1	2820414	2	4
GCF_000960995.1	NZ_CP009433.1	196020	3	4
GCF_000960995.1	NZ_CP009432.1	144522	4	4
GCF_000961515.1	NZ_CP010026.1	4463161	1	4
GCF_000961515.1	NZ_CP010027.1	3508455	2	4
GCF_000961515.1	NZ_CP010025.1	650149	3	4
GCF_000961515.1	NZ_CP010024.1	437218	4	4
GCF_000974835.2	NZ_CP011301.1	6419376	1	1
GCF_001028665.1	NZ_CP011503.1	3584103	1	4
GCF_001028665.1	NZ_CP011504.1	3214754	2	4
GCF_001028665.1	NZ_CP011505.1	1049005	3	4
GCF_001028665.1	NZ_CP011506.1	113484	4	4
GCF_001029145.1	NZ_CP009743.1	3522585	1	3
GCF_001029145.1	NZ_CP009744.1	3358952	2	3
GCF_001029145.1	NZ_CP009745.1	1627712	3	3
GCF_001277875.1	NZ_CP012515.1	4038504	1	2
GCF_001277875.1	NZ_CP012516.1	3228004	2	2
GCF_001277895.1	NZ_CP012517.1	4038845	1	2
GCF_001277895.1	NZ_CP012518.1	3227965	2	2
GCF_001277975.1	NZ_CP012576.1	4028032	1	2
GCF_001277975.1	NZ_CP012577.1	3156645	2	2
GCF_001293045.1	NZ_CP012192.1	4081670	1	2
GCF_001293045.1	NZ_CP012193.1	3124497	2	2
GCF_001318245.1	NZ_CP012041.1	4112209	1	2
GCF_001318245.1	NZ_CP012042.1	3147816	2	2
GCF_001411495.1	NZ_CP012981.1	3791734	1	4
GCF_001411495.1	NZ_CP012982.1	3408190	2	4
GCF_001411495.1	NZ_CP012983.1	1196214	3	4
GCF_001411495.1	NZ_CP012984.1	209807	4	4
GCF_001411805.1	NZ_CP007212.1	4140040	1	3
GCF_001411805.1	NZ_CP007213.1	3743649	2	3
GCF_001411805.1	NZ_CP007214.1	197362	3	3
GCF_001449005.1	NZ_CP013102.1	3688127	1	4
GCF_001449005.1	NZ_CP013103.1	2890272	2	4
GCF_001449005.1	NZ_CP013104.1	2011268	3	4
GCF_001449005.1	NZ_CP013105.1	442452	4	4
GCF_001484665.1	NZ_CP011917.1	3822749	1	4
GCF_001484665.1	NZ_CP011918.1	3086109	2	4
GCF_001484665.1	NZ_CP011919.1	989585	3	4
GCF_001484665.1	NZ_CP011920.1	191945	4	4
GCF_001513745.1	NZ_CP013380.1	4069152	1	3
GCF_001513745.1	NZ_CP013382.1	2913543	2	3
GCF_001513745.1	NZ_CP013381.1	305114	3	3
GCF_001522105.2	NZ_CP013357.1	4192894	1	2
GCF_001522105.2	NZ_CP013356.1	3126684	2	2
GCF_001522135.2	NZ_CP013358.1	4131753	1	2
GCF_001522135.2	NZ_CP013359.1	3003039	2	2
GCF_001522585.2	NZ_CP013373.1	3427375	1	3
GCF_001522585.2	NZ_CP013372.1	2801147	2	3
GCF_001522585.2	NZ_CP013374.1	851421	3	3
GCF_001522635.2	NZ_CP013389.1	4439942	1	2
GCF_001522635.2	NZ_CP013388.1	2917588	2	2
GCF_001523745.2	NZ_CP013386.1	3838800	1	2
GCF_001523745.2	NZ_CP013387.1	2752114	2	2
GCF_001523915.2	NZ_CP013384.1	3445340	1	3
GCF_001523915.2	NZ_CP013383.1	2709855	2	3
GCF_001523915.2	NZ_CP013385.1	974331	3	3
GCF_001524445.2	NZ_CP013417.1	4228278	1	3
GCF_001524445.2	NZ_CP013418.1	2824254	2	3
GCF_001524445.2	NZ_CP013419.1	375023	3	3
GCF_001524625.2	NZ_CP013424.1	4077888	1	3
GCF_001524625.2	NZ_CP013425.1	2934072	2	3
GCF_001524625.2	NZ_CP013423.1	69213	3	3
GCF_001524645.2	NZ_CP013427.1	3467548	1	4
GCF_001524645.2	NZ_CP013428.1	2473077	2	4
GCF_001524645.2	NZ_CP013429.1	1059546	3	4
GCF_001524645.2	NZ_CP013426.1	249331	4	4
GCF_001532025.2	NZ_CP013457.1	4081657	1	2
GCF_001532025.2	NZ_CP013458.1	2832141	2	2
GCF_001557535.2	NZ_CP014306.1	3397021	1	8
GCF_001557535.2	NZ_CP014315.1	1623425	2	8
GCF_001557535.2	NZ_CP014307.1	1611937	3	8
GCF_001557535.2	NZ_CP014309.1	793876	4	8
GCF_001557535.2	NZ_CP014308.1	793818	5	8
GCF_001557535.2	NZ_CP014310.1	601076	6	8
GCF_001557535.2	NZ_CP014311.1	184640	7	8
GCF_001557535.2	NZ_CP014312.1	49551	8	8
GCF_001577465.1	NZ_CP014505.1	3260450	1	8
GCF_001577465.1	NZ_CP014506.1	1696029	2	8
GCF_001577465.1	NZ_CP014507.1	1495500	3	8
GCF_001577465.1	NZ_CP014508.1	286935	4	8
GCF_001577465.1	NZ_CP014509.1	62715	5	8
GCF_001577465.1	NZ_CP014510.1	52585	6	8
GCF_001577465.1	NZ_CP014511.1	20973	7	8
GCF_001577465.1	NZ_CP014512.1	6086	8	8
GCF_001606115.1	NZ_CP015033.1	3526250	1	4
GCF_001606115.1	NZ_CP015034.1	3107451	2	4
GCF_001606115.1	NZ_CP015035.1	1271875	3	4
GCF_001606115.1	NZ_CP015032.1	244120	4	4
GCF_001606135.1	NZ_CP015036.1	7459003	1	3
GCF_001606135.1	NZ_CP015037.1	1072666	2	3
GCF_001606135.1	NZ_CP015038.1	199812	3	3
GCF_001611015.1	NZ_CP013347.1	3694000	1	3
GCF_001611015.1	NZ_CP013348.1	3049409	2	3
GCF_001611015.1	NZ_CP013349.1	2576584	3	3
GCF_001634365.1	NZ_CP014578.1	4646070	1	5
GCF_001634365.1	NZ_CP014579.1	3497621	2	5
GCF_001634365.1	NZ_CP014580.1	271008	3	5
GCF_001634365.1	NZ_CP014581.1	137323	4	5
GCF_001634365.1	NZ_CP014582.1	22868	5	5
GCF_001695715.1	NZ_CP016638.1	4061776	1	2
GCF_001695715.1	NZ_CP016639.1	3256300	2	2
GCF_001695735.1	NZ_CP016636.1	4059297	1	2
GCF_001695735.1	NZ_CP016637.1	3254339	2	2
GCF_001718295.1	NZ_CP013360.1	3762719	1	2
GCF_001718295.1	NZ_CP013361.1	2966282	2	2
GCF_001718315.1	NZ_CP013362.1	3333368	1	3
GCF_001718315.1	NZ_CP013363.1	2619120	2	3
GCF_001718315.1	NZ_CP013364.1	905345	3	3
GCF_001718335.1	NZ_CP013366.1	3421021	1	3
GCF_001718335.1	NZ_CP013365.1	2466714	2	3
GCF_001718335.1	NZ_CP013367.1	1014635	3	3
GCF_001718355.1	NZ_CP013370.1	3724327	1	4
GCF_001718355.1	NZ_CP013371.1	3052802	2	4
GCF_001718355.1	NZ_CP013368.1	925790	3	4
GCF_001718355.1	NZ_CP013369.1	258679	4	4
GCF_001718395.1	NZ_CP013375.1	3728457	1	2
GCF_001718395.1	NZ_CP013376.1	3608925	2	2
GCF_001718415.1	NZ_CP013378.1	4849929	1	3
GCF_001718415.1	NZ_CP013377.1	2995708	2	3
GCF_001718415.1	NZ_CP013379.1	111152	3	3
GCF_001718495.1	NZ_CP013393.1	3257130	1	3
GCF_001718495.1	NZ_CP013394.1	2428798	2	3
GCF_001718495.1	NZ_CP013395.1	1129355	3	3
GCF_001718515.1	NZ_CP013397.1	3461321	1	2
GCF_001718515.1	NZ_CP013396.1	2869430	2	2
GCF_001718535.1	NZ_CP013398.1	3505262	1	3
GCF_001718535.1	NZ_CP013400.1	3050136	2	3
GCF_001718535.1	NZ_CP013399.1	1093546	3	3
GCF_001718555.1	NZ_CP013401.1	3556612	1	3
GCF_001718555.1	NZ_CP013403.1	2967116	2	3
GCF_001718555.1	NZ_CP013402.1	900512	3	3
GCF_001718575.1	NZ_CP013404.1	3756401	1	3
GCF_001718575.1	NZ_CP013406.1	3386917	2	3
GCF_001718575.1	NZ_CP013405.1	1211521	3	3
GCF_001718595.1	NZ_CP013407.1	3917337	1	2
GCF_001718595.1	NZ_CP013408.1	2822193	2	2
GCF_001718615.1	NZ_CP013409.1	3827782	1	2
GCF_001718615.1	NZ_CP013410.1	2940149	2	2
GCF_001718635.1	NZ_CP013411.1	3897156	1	3
GCF_001718635.1	NZ_CP013413.1	2895326	2	3
GCF_001718635.1	NZ_CP013412.1	157775	3	3
GCF_001718655.1	NZ_CP013414.1	3935154	1	3
GCF_001718655.1	NZ_CP013416.1	3000610	2	3
GCF_001718655.1	NZ_CP013415.1	299296	3	3
GCF_001718695.1	NZ_CP013420.1	3268347	1	3
GCF_001718695.1	NZ_CP013422.1	2186651	2	3
GCF_001718695.1	NZ_CP013421.1	1229847	3	3
GCF_001718755.1	NZ_CP013430.1	3525707	1	3
GCF_001718755.1	NZ_CP013431.1	2533520	2	3
GCF_001718755.1	NZ_CP013432.1	561709	3	3
GCF_001718775.1	NZ_CP013433.1	5577538	1	2
GCF_001718775.1	NZ_CP013434.1	1257529	2	2
GCF_001718795.1	NZ_CP013435.1	3331737	1	4
GCF_001718795.1	NZ_CP013438.1	2339576	2	4
GCF_001718795.1	NZ_CP013437.1	897684	3	4
GCF_001718795.1	NZ_CP013436.1	45481	4	4
GCF_001718815.1	NZ_CP013439.1	3308896	1	3
