query	accession	organism	architecture	pC3_present	n_hits_any	n_hits_tier1	best_tier	best_pident	best_qcovs	best_bitscore	best_evalue	best_contig	best_contig_len	best_contig_rank	best_subject_len	best_start	best_end
CT354_CFFIHE_03684	GCF_000756145.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000756165.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000756185.1	Burkholderia pseudomallei 576	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000757015.2	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000757035.2	Burkholderia pseudomallei Pasteur 52237	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000762285.1	Burkholderia mallei NCTC 10247	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000764575.1	Burkholderia pseudomallei NAU35A-3	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000764595.1	Burkholderia thailandensis MSMB59	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000764955.1	Burkholderia cenocepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000765375.1	Burkholderia thailandensis E254	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000770395.1	Burkholderia pseudomallei MSHR62	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000770455.1	Burkholderia pseudomallei B03	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000770495.1	Burkholderia pseudomallei TSV 48	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000770515.1	Burkholderia pseudomallei K42	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000770535.1	Burkholderia pseudomallei A79A	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000770565.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000808035.2	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000828875.1	Caballeronia cordobensis	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_000835205.1	Burkholderia plantarii	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000953095.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000954175.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959125.1	Burkholderia pseudomallei 1026b	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959145.1	Burkholderia pseudomallei 406e	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959165.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959185.1	Burkholderia pseudomallei MSHR840	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959205.1	Burkholderia pseudomallei MSHR491	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959225.1	Burkholderia pseudomallei MSHR2543	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959245.1	Burkholderia ubonensis MSMB22	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959265.1	Burkholderia pseudomallei 7894	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959285.1	Burkholderia pseudomallei K96243	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959305.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959325.1	Burkholderia humptydooensis	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959345.1	Burkholderia pseudomallei PB08298010	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959365.1	Burkholderia oklahomensis C6786	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959405.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959425.1	Burkholderia thailandensis 2002721643	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959445.1	Burkholderia vietnamiensis LMG 10929	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000959465.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959485.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959505.1	Burkholderia dolosa AU0158	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000959525.1	Burkholderia multivorans ATCC BAA-247	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000959545.1	Burkholderia ambifaria AMMD	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000959605.1	Burkholderia thailandensis 34	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959625.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000959725.1	Burkholderia gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000960995.1	Burkholderia glumae LMG 2196 = ATCC 33617	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000961515.1	Paraburkholderia fungorum	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_000974835.2	Burkholderia cepacia	1_large	False	0	0											
CT354_CFFIHE_03684	GCF_001028665.1	Burkholderia pyrrocinia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001029145.1	Burkholderia contaminans	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001277875.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001277895.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001277975.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001293045.1	Burkholderia sp. HB1	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001318245.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001411495.1	Burkholderia cepacia ATCC 25416	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001411805.1	Burkholderia plantarii	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001449005.1	Paraburkholderia caribensis	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_001484665.1	Burkholderia cenocepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001513745.1	Burkholderia humptydooensis	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_001522105.2	Burkholderia oklahomensis EO147	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001522135.2	Burkholderia oklahomensis C6786	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001522585.2	Burkholderia sp. NRF60-BP8	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001522635.2	Burkholderia mayonis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001523745.2	Burkholderia mayonis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001523915.2	Burkholderia sp. LA-2-3-30-S1-D2	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001524445.2	Burkholderia savannae	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_001524625.2	Burkholderia savannae	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001524645.2	Burkholderia sp. MSMB0856	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001532025.2	Burkholderia sp. MSMB617WGS	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001557535.2	Burkholderia sp. PAMC 26561	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_001577465.1	Burkholderia sp. PAMC 28687	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_001606115.1	Burkholderia cenocepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001606135.1	Burkholderia cenocepacia	2_large	True	0	0											
CT354_CFFIHE_03684	GCF_001611015.1	Paraburkholderia caribensis	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_001634365.1	Paraburkholderia phytofirmans OLGA172	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001695715.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001695735.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718295.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718315.1	Burkholderia diffusa	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718335.1	Burkholderia territorii	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718355.1	Burkholderia ubonensis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718395.1	Burkholderia cepacia	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718415.1	Burkholderia pseudomultivorans	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718495.1	Burkholderia vietnamiensis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718515.1	Burkholderia cenocepacia	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718535.1	Burkholderia seminalis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718555.1	Burkholderia metallica	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718575.1	Burkholderia lata	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718595.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718615.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718635.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718655.1	Burkholderia ubonensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718695.1	Burkholderia ubonensis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718755.1	Burkholderia multivorans	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718775.1	Burkholderia vietnamiensis	2_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718795.1	Burkholderia latens	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718815.1	Burkholderia vietnamiensis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718835.1	Burkholderia cepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718855.1	Burkholderia ubonensis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718875.1	Burkholderia singularis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001718895.1	Burkholderia cenocepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718915.1	Burkholderia vietnamiensis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718955.1	Burkholderia stagnalis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718975.1	Burkholderia ubonensis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001718995.1	Burkholderia multivorans	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001729545.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001742165.1	Burkholderia stabilis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_001865575.2	Paraburkholderia sprentiae WSM5005	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_001885195.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001887555.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001887575.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001922345.1	Paraburkholderia sp. SOS3	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001975065.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001975085.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001975105.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001975125.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001975145.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001980585.2	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_001999785.1	Burkholderia cenocepacia	1_large	False	0	0											
CT354_CFFIHE_03684	GCF_001999825.1	Burkholderia cenocepacia	2_large	True	0	0											
CT354_CFFIHE_03684	GCF_001999885.1	Burkholderia cenocepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_002007585.1	Burkholderia cenocepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_002097715.1	Burkholderia ubonensis subsp. mesacidophila	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_002110945.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002110965.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111005.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111025.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111045.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111085.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111105.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111125.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111145.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111165.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111205.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111225.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111245.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111265.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111285.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111305.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111325.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111345.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111365.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002111385.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002208175.1	Burkholderia gladioli pv. gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002209085.2	Burkholderia cepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_002278075.1	Paraburkholderia aromaticivorans	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_002345985.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346005.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346025.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346045.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346065.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346085.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346105.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346125.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346145.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346165.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346185.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002346205.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002356275.1	Burkholderia stabilis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_002386205.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002393425.1	Burkholderia gladioli pv. gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002407525.2	Burkholderia cepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_002843645.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002860065.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_002902925.1	Paraburkholderia terrae	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_002902945.1	Paraburkholderia caribensis	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_002902965.1	Paraburkholderia hospita	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_003019945.1	Burkholderia vietnamiensis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_003019965.1	Burkholderia multivorans	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_003020025.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003020185.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003076415.1	Burkholderia cenocepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_003233675.1	Burkholderia sp. JP2-270	4+_large	True	0	0											
CT354_CFFIHE_03684	GCF_003286395.1	Paraburkholderia dokdonensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003330745.1	Paraburkholderia caledonica	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_003330765.1	Burkholderia pyrrocinia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_003330785.1	Paraburkholderia graminis	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_003330805.1	Paraburkholderia hospita	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_003330825.1	Paraburkholderia terricola	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003366075.1	Burkholderia sp. IDO3	4+_large	True	0	0											
CT354_CFFIHE_03684	GCF_003368325.1	Paraburkholderia caffeinilytica	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003445415.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003546465.1	Burkholderia cepacia ATCC 25416	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_003547015.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003547035.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003547055.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003568605.1	Burkholderia thailandensis E264	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003606245.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003613595.1	Burkholderia gladioli pv. gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003614815.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003614835.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003704285.1	Burkholderia contaminans	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_003711145.1	Burkholderia lata	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_003713105.1	Burkholderia gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003798245.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_003798265.1	Burkholderia pseudomallei	2_large	False	0	0											
