accession	msa_md5
GCF_003614815.1	84f7c473423b96e20bedfeab7ecb949b
GCF_003614835.1	3ec70c1df6d9ba5c2204437b1e0b6439
GCF_003704285.1	88c749ad6d70f7d7593d2f21c139d094
GCF_003711145.1	5bfcc66f3a12c006fe983f34bd848405
GCF_003713105.1	9b1248bb3f942742dc88c8ca71c3e177
GCF_003798245.1	370a3d0348fa2f07cf816d516d6924c7
GCF_003798265.1	370a3d0348fa2f07cf816d516d6924c7
GCF_003798365.1	370a3d0348fa2f07cf816d516d6924c7
GCF_003812365.1	f4ed7505a418fd617da5fb2980d93891
GCF_003812585.1	395db495223235148541a3e40d835350
GCF_003812965.1	76ff5a881af9368a713126a0a7bfbef6
GCF_003813045.1	31e3150e9d48f60ef25f5d9636cdf018
GCF_003852635.1	c0f4b2ace1657f86f8544725f20c0fae
GCF_003933015.1	98fa18088a2a70e0b1cf0d9d64a556eb
GCF_003933025.1	b4af732db07f21798c2fcff3b10928fa
GCF_003933035.1	0399fd22f115411ddaf111a6756752ff
GCF_003933045.1	aad8b3d1c0d9c3638f6c5f5c490a9b36
GCF_003966315.1	bc88458bd3e92eb5bda2f32189a44c2a
GCF_004323015.1	059a6c8094068b04fdbb12812677034e
GCF_004323035.1	14cc562f44773c36bcb15dd722df9ba5
GCF_004348055.1	de14931c48eabf116d86cc807f7ede89
GCF_004348075.1	10217b77b65d790310a1938e0160565f
GCF_004367665.1	041e377af46f41484c322e25e3c2318c
GCF_004367685.1	14cc562f44773c36bcb15dd722df9ba5
GCF_004367705.1	dae9089e54c8651ebb3d4fedc8ad8f7e
GCF_004367725.1	041e377af46f41484c322e25e3c2318c
GCF_004524855.1	7a760b9df08619cabbb8b2197e97a50b
GCF_004526325.1	041e377af46f41484c322e25e3c2318c
GCF_004842085.1	072c22b46b2aeefcace5cba1c676fb28
GCF_005280735.1	f2f9d36b08720c9f9bb1adb5bc1ee6a3
GCF_005853645.1	6195a5852c13592f99190071c745ebc9
GCF_005862325.1	3477a3602c9f400fccb35ad833ac13b8
GCF_005937855.2	304881ebd98afd236adf6335bc8a1e21
GCF_006542565.1	14cc562f44773c36bcb15dd722df9ba5
GCF_006542585.1	fb5d4af9d25ad183178892b18b583b4c
GCF_007556815.1	8cd77e2349a8af8290ea706567153936
GCF_007724625.1	388bfdd7de279a9936758714ff6dcf45
GCF_008693485.1	5cbdb5d028ca987d1c94a969c463ae4c
GCF_008693525.1	5cbdb5d028ca987d1c94a969c463ae4c
GCF_008728255.1	370a3d0348fa2f07cf816d516d6924c7
GCF_008728275.1	40e6d40c35ea35571eb1629cabce763b
GCF_008728295.1	370a3d0348fa2f07cf816d516d6924c7
GCF_008728315.1	370a3d0348fa2f07cf816d516d6924c7
GCF_008728335.1	370a3d0348fa2f07cf816d516d6924c7
GCF_008728355.1	370a3d0348fa2f07cf816d516d6924c7
GCF_008728375.1	370a3d0348fa2f07cf816d516d6924c7
GCF_009191525.1	0342e9d41bb62662f88eb9f62b3110c3
GCF_009578005.1	6ea5a68e580a32aa460062567020416e
GCF_009586235.1	843f78c1175596906207fc01d5fc25cf
GCF_009730035.1	04b3d15d79d68324310f45b7582c663b
GCF_009730175.1	6c10bb9e7fa3882533efa56bc1dac36c
GCF_009730195.1	7fe78cb3356f51b3c285fcdfef27825c
GCF_009749345.1	6b14b70a0ca10691af8f9154f2c55978
GCF_009755625.1	0342e9d41bb62662f88eb9f62b3110c3
GCF_009789655.1	043c3049d48740d3351370c1ef9a7e04
GCF_009789675.1	8391e77248123dcefd99c4884ddeab53
GCF_009857095.1	700dd4ef6daecc01a8a5ea3644fefb65
GCF_009931375.1	46a020f8cb7a21a296dbd22b15df4c80
GCF_009938265.1	3bb3fbaf47e4bc003a5590b6bb28a9cc
GCF_011039955.1	0dacdd03ed0e80ec5e45509c061063bb
GCF_011493005.1	0dedb753e9aa187da66dcef3b98a6a15
GCF_011578485.1	3ec70c1df6d9ba5c2204437b1e0b6439
GCF_012272655.1	b85b02e465ec6dbe32b3ce982d6ed549
GCF_012273415.1	64d6baf8869d720dafbf3ed384712c3d
GCF_012689525.1	9133398c3efd7e8a008ed00509e9f335
GCF_012974245.1	14fd44e451e05570f14b500a0ca86ada
GCF_013122645.1	8b3913ade7fbb1e34664ef109933f2a9
GCF_013307145.1	5a846a02329b38e733f8f256189b5069
GCF_013307165.1	a38c93f942d62dc788761d189ff10e59
GCF_013349105.1	79c579d2902c299735a5c95e4abfca87
GCF_013378095.1	c5367c36c838010fa223b497339d4170
GCF_013390345.1	17ef694917910f1e75476348c456f1e8
GCF_013426895.1	eb22e0bc616a0150ad8dc79f270e9625
GCF_013426915.1	f319a6be0ea34c89b737e4847b284b23
GCF_013822785.1	ec5a537042359f697a9275f54af8bfcd
GCF_014171495.1	09f6f5526fcf76039ef6dc8d7c1dfaff
GCF_014211915.1	27dea1d74b73a4f4fe65fbef50cd5357
GCF_014263355.1	d952d18da499d9d86de6448a8a38c7e9
GCF_014357995.1	986e997794ca0adefa059ba4267962d6
GCF_014854795.1	3eb44bbf0fd36f82e70ff38916c78df5
GCF_016458785.1	925b530ec1bd601de7a3cf31d0c8c50f
GCF_016458805.1	a66c0c2712e28861286c84d4b99c1cd6
GCF_016698705.1	9c7534a7417874c8b5af5620a532e7f4
GCF_016774495.1	68c9fb70a1f6933394837cbd729ba97a
GCF_016864355.1	370a3d0348fa2f07cf816d516d6924c7
GCF_016899425.1	1c10a04bf4b39ee6381c8a3a9be8e730
GCF_016899445.1	6d5ee4baed54b23d5b238a821295f970
GCF_017165175.1	d9e7e1fe5c623426bdd96b1125c029e2
GCF_017165195.1	e4ac8ae5785f953198e64cfea9e95b97
GCF_017165475.1	e4ac8ae5785f953198e64cfea9e95b97
GCF_017165495.1	e4ac8ae5785f953198e64cfea9e95b97
GCF_017165515.1	e4ac8ae5785f953198e64cfea9e95b97
GCF_017165535.1	e4ac8ae5785f953198e64cfea9e95b97
GCF_017165555.1	d9e7e1fe5c623426bdd96b1125c029e2
GCF_017220215.1	212363e76d1742bac6f800ad8b90a77a
GCF_017301875.1	f14e6e4a42658150f5b458eb3bb4641c
GCF_017301895.1	04b3d15d79d68324310f45b7582c663b
GCF_017301905.1	04b3d15d79d68324310f45b7582c663b
GCF_017378155.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_017378195.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_017378235.1	14cc562f44773c36bcb15dd722df9ba5
GCF_017378275.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_017378315.2	b53ac695254c1b625adcc43dc5e80c13
GCF_017378355.1	99d548bcb28fbc1dcfe706ea871040db
GCF_017378435.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_017514945.1	17f6937b9dc77ee1cdd62e8c8d234573
GCF_017742755.1	c6c75a0e36dafcbdbf6bcca6db7f0b51
GCF_017815595.1	2df5f1147c438a8eebcc632c67aef4f8
GCF_017815615.1	163ffdfe144f978d379f78d517c7448e
GCF_017858835.1	1f94bd28327f2acd402a189bd005106c
GCF_018223765.1	51e75aad641d869319102c56a52828d2
GCF_018223785.1	8eb062e4172de3b525bce5b94ca6c982
GCF_018223805.1	d1209525e0139878a3a67d53f9273fd1
GCF_018228345.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_018228385.1	1e6c6e1589ac503d497b024e0a10034a
GCF_018228525.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_018228545.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_018228565.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_018228585.1	370a3d0348fa2f07cf816d516d6924c7
GCF_018228605.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_018228625.1	a8f2fddc2cf47eae770b85e2ff734313
GCF_018274335.1	3ec70c1df6d9ba5c2204437b1e0b6439
GCF_018408855.1	b3bb55222e5d715b34446f9985e943c9
GCF_018417535.1	b933bf04791c93306a8082e774905bd7
GCF_018417615.1	124b2d1b472f5990837f95df8e571fa1
GCF_018771365.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_019428685.1	6c48fea4f534c118e6fcd04485800ec7
GCF_019843765.1	a3f221d8f5f098c7bfdd88d3ca70f339
GCF_019915365.1	38d75781f998960f5c2ff7e2053aff23
GCF_020544345.1	f5b0c568ca3b4becb3f5087f76dc7ade
GCF_020809565.1	31e3150e9d48f60ef25f5d9636cdf018
GCF_020843905.1	132857e5aab6577e57f163529b311a63
GCF_020843925.1	9c03c816a2e20d63aa6a718fceba8a4b
GCF_020843945.1	306d57ef0ef7cbdf2b8120fa3fe4429d
GCF_020843965.1	306d57ef0ef7cbdf2b8120fa3fe4429d
GCF_020843985.1	1ed94c4dfcfee2c1fa21b5818ac01f4f
GCF_021344035.2	6e40eca71cd0ddbf24b730c03bdbfaf7
GCF_022213445.1	554664a630a5dce4c7933b320a03cb98
GCF_022533485.1	0342e9d41bb62662f88eb9f62b3110c3
GCF_022809715.1	d4fc1bd404b1ec4a6ff6192465df7b95
GCF_022870505.1	521fc844e8b20283078e2a41d47c6a53
GCF_022878925.1	cf986ac00c627c5c2f1caab1de687559
GCF_022879555.1	633020201465b927d3434ccefba93b1e
GCF_022879575.1	7a3476e3f2bdcf3fd7ef6a8162071a96
GCF_022879595.1	1c4c85b17d63812baba94102768259af
GCF_022879615.1	76240f826e4ebcd52658332260d181e3
GCF_022879815.1	b94f7b5c456c8c8a8ca5d3b2ff2113c8
GCF_023053515.1	0aa7d5a8b8391ed3a2a148af408882c8
GCF_023170545.1	47412244e9bf08104664398599d1ae91
GCF_023373625.1	51ec3c4eddc2df0e77b8e80ac09e0d95
GCF_023373645.1	51ec3c4eddc2df0e77b8e80ac09e0d95
GCF_023373665.1	d145110393282c1b698f4e9065ff7f29
GCF_023373685.1	d145110393282c1b698f4e9065ff7f29
GCF_023373705.1	d8e7a3fb071eaf418aadd286621ad895
GCF_023373725.1	2d73c0fa13a2928de3189f79638597bc
GCF_023374315.1	d145110393282c1b698f4e9065ff7f29
GCF_023374335.1	986e997794ca0adefa059ba4267962d6
GCF_023374355.1	d8e7a3fb071eaf418aadd286621ad895
GCF_023374375.1	86b7ab82d1fbd83ab21dfb3a87dcf953
GCF_023374395.1	d145110393282c1b698f4e9065ff7f29
GCF_023374415.1	86b7ab82d1fbd83ab21dfb3a87dcf953
GCF_023374435.1	04b3d15d79d68324310f45b7582c663b
GCF_023374455.1	83ba754e6a1c5f695b8d6b6fd45ae1b2
GCF_023374475.1	3299975d384139a8f22f3c30b58b284f
GCF_023374495.1	d8e7a3fb071eaf418aadd286621ad895
GCF_023374515.1	b6ea1f5fa0449172eda64386f5eff6e6
GCF_023374535.1	b6ea1f5fa0449172eda64386f5eff6e6
GCF_023374555.1	4d6e99992742d4a3c4826226c742f3bb
GCF_023374575.1	b6ea1f5fa0449172eda64386f5eff6e6
GCF_023374595.1	86b7ab82d1fbd83ab21dfb3a87dcf953
GCF_023374615.1	83ba754e6a1c5f695b8d6b6fd45ae1b2
GCF_023374635.1	7305cf5155b20594d8fe12811514fda9
GCF_023374655.1	b6ea1f5fa0449172eda64386f5eff6e6
GCF_023374675.1	3299975d384139a8f22f3c30b58b284f
GCF_023374695.1	d8e7a3fb071eaf418aadd286621ad895
GCF_023374715.1	3299975d384139a8f22f3c30b58b284f
GCF_023374735.1	d8e7a3fb071eaf418aadd286621ad895
GCF_023374755.1	d145110393282c1b698f4e9065ff7f29
GCF_023374775.1	4d6e99992742d4a3c4826226c742f3bb
GCF_023374795.1	8568d86ad70e0de393935bc8d319c9c4
GCF_023374815.1	d145110393282c1b698f4e9065ff7f29
GCF_023374835.1	986e997794ca0adefa059ba4267962d6
GCF_023374855.1	986e997794ca0adefa059ba4267962d6
GCF_023374875.1	a16d196690ca56c44c805d5e351998f2
GCF_023374895.1	d8e7a3fb071eaf418aadd286621ad895
GCF_023383415.1	83ba754e6a1c5f695b8d6b6fd45ae1b2
GCF_023383425.1	d8e7a3fb071eaf418aadd286621ad895
GCF_023383465.1	ba785df215a129f2a0d9cd269a3dc9de
