accession	contig	size_rank	length	cds	ribosomal_proteins	core_markers	n_core_markers	replicon_type
GCA_048918525.1	CP183180.1	1	4163892	3745	50	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_048918525.1	CP183179.1	2	3834718	3289	2		0	secondary_large
GCA_048918525.1	CP183178.1	3	178386	134	0		0	small_plasmid
GCA_048918525.1	CP183181.1	4	54767	62	0		0	small_plasmid
GCA_051027405.1	CP186318.1	1	4560590	4036	54	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCA_051027405.1	CP186319.1	2	3705923	3282	1		0	secondary_large
GCA_051027405.1	CP186320.1	3	48732	57	0		0	small_plasmid
GCA_055387565.1	AP040305.1	1	4080545	3493	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_055387565.1	AP040306.1	2	2879483	2244	1		0	secondary_large
GCA_056494915.1	CP195753.1	1	4274904	3835	18	ftsZ;recA	2	secondary_large
GCA_056494915.1	CP195752.1	2	3150938	2895	35	dnaA;dnaN;gyrB;rpoB;rpoC	5	chromosome1
GCA_056494915.1	CP195755.1	3	967717	946	0		0	secondary_large
GCA_056494915.1	CP195754.1	4	509237	643	0		0	secondary_large
GCA_059696275.1	AP040121.1	1	3228657	2905	1		0	chromosome1
GCA_964417475.2	OZ259869.1	1	4123479	3513	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_964417475.2	OZ259870.1	2	3240568	2547	1		0	secondary_large
GCA_965199415.1	OZ241173.1	1	4090989	3628	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_965199415.1	OZ241172.1	2	3221869	2647	1		0	secondary_large
GCA_965199775.1	OZ241381.1	1	4100456	3509	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_965199775.1	OZ241382.1	2	2884388	2296	1		0	secondary_large
GCA_965217235.1	OZ244256.1	1	3451707	3226	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_965217235.1	OZ244257.1	2	2228287	1899	1		0	secondary_large
GCA_965217245.1	OZ244258.1	1	3340722	3083	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_965217245.1	OZ244259.1	2	2139739	1793	1		0	secondary_large
GCA_980298765.1	OZ412837.1	1	3910731	3412	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_980298765.1	OZ412838.1	2	3093861	2503	1		0	secondary_large
GCF_000009485.1	NC_011000.1	1	3870082	3556	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000009485.1	NC_011001.1	2	3217062	2882	1		0	secondary_large
GCF_000009485.1	NC_011002.1	3	875977	773	1		0	secondary_large
GCF_000009485.1	NC_011003.1	4	92661	97	0		0	small_plasmid
GCF_000010545.1	NC_010804.1	1	3448421	3176	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000010545.1	NC_010805.1	2	2473162	2174	1		0	secondary_large
GCF_000010545.1	NC_010801.1	3	919805	857	1		0	secondary_large
GCF_000010545.1	NC_010802.1	4	167422	165	0		0	small_plasmid
GCF_000011545.1	NC_006350.1	1	4074542	3475	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000011545.1	NC_006351.1	2	3173005	2458	1		0	secondary_large
GCF_000011705.1	NC_006348.1	1	3510148	3093	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000011705.1	NC_006349.2	2	2325379	1897	1		0	secondary_large
GCF_000012365.1	NC_007651.1	1	3809201	3281	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000012365.1	NC_007650.1	2	2914771	2362	1		0	secondary_large
GCF_000012785.1	NC_007434.1	1	4126292	3544	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000012785.1	NC_007435.1	2	3181762	2418	1		0	secondary_large
GCF_000012945.1	NC_007510.1	1	3694126	3322	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000012945.1	NC_007511.1	2	3587082	3204	1		0	secondary_large
GCF_000012945.1	NC_007509.1	3	1395069	1186	0		0	secondary_large
GCF_000013645.1	NC_007951.1	1	4895836	4414	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_000013645.1	NC_007952.1	2	3363523	2968	1		0	secondary_large
GCF_000013645.1	NC_007953.1	3	1471779	1322	0		0	secondary_large
GCF_000015465.1	NC_008785.1	1	3497479	3071	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000015465.1	NC_008784.1	2	1734922	1408	1		0	secondary_large
GCF_000015605.1	NC_008836.1	1	3458208	3052	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000015605.1	NC_008835.1	2	2284095	1855	1		0	secondary_large
GCF_000015625.1	NC_009080.1	1	3495687	3088	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000015625.1	NC_009079.1	2	2352693	1920	1		0	secondary_large
GCF_000015905.1	NC_009074.1	1	3912947	3319	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000015905.1	NC_009075.1	2	3127456	2465	1		0	secondary_large
GCF_000015925.1	NC_009076.1	1	3988455	3377	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000015925.1	NC_009078.1	2	3100794	2367	1		0	secondary_large
GCF_000016205.1	NC_009256.1	1	3652814	3322	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000016205.1	NC_009255.1	2	2411759	2103	1		0	secondary_large
GCF_000016205.1	NC_009254.1	3	1241007	1111	0		0	secondary_large
GCF_000016205.1	NC_009230.1	4	397868	414	0		0	secondary_large
GCF_000016205.1	NC_009227.1	5	265616	270	0		0	small_plasmid
GCF_000016205.1	NC_009229.1	6	226679	251	0		0	small_plasmid
GCF_000016205.1	NC_009228.1	7	107231	117	0		0	small_plasmid
GCF_000016205.1	NC_009226.1	8	88096	121	0		0	small_plasmid
GCF_000018505.1	NC_010084.1	1	3448466	3172	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000018505.1	NC_010086.1	2	2472928	2171	1		0	secondary_large
GCF_000018505.1	NC_010087.1	3	919806	855	1		0	secondary_large
GCF_000018505.1	NC_010070.1	4	167422	166	0		0	small_plasmid
GCF_000019505.1	NC_010508.1	1	3532883	3202	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000019505.1	NC_010515.1	2	3213911	2844	1		0	secondary_large
GCF_000019505.1	NC_010512.1	3	1224595	1073	1		0	secondary_large
GCF_000019925.1	NC_010551.1	1	3443583	3083	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000019925.1	NC_010552.1	2	2769414	2402	1		0	secondary_large
GCF_000019925.1	NC_010557.1	3	1127947	978	1		0	secondary_large
GCF_000019925.1	NC_010553.1	4	301592	286	0		0	secondary_large
GCF_000020045.1	NC_010622.1	1	3479187	3112	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000020045.1	NC_010623.1	2	2697374	2436	1		0	secondary_large
GCF_000020045.1	NC_010625.1	3	1904893	1707	0		0	secondary_large
GCF_000020045.1	NC_010627.1	4	595108	556	0		0	secondary_large
GCF_000020125.1	NC_010681.1	1	4467537	3951	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000020125.1	NC_010676.1	2	3625999	3224	1		0	secondary_large
GCF_000020125.1	NC_010679.1	3	121122	162	0		0	small_plasmid
GCF_000022645.2	NC_012724.2	1	3906507	3617	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000022645.2	NC_012721.2	2	2827333	2268	1		0	secondary_large
GCF_000022645.2	NC_012718.1	3	141792	119	0		0	small_plasmid
GCF_000022645.2	NC_012720.2	4	141067	139	0		0	small_plasmid
GCF_000022645.2	NC_012725.2	5	134346	131	0		0	small_plasmid
GCF_000022645.2	NC_012723.1	6	133591	138	0		0	small_plasmid
GCF_000092885.1	NC_014117.1	1	3518940	3159	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000092885.1	NC_014118.1	2	2593966	2331	1		0	secondary_large
GCF_000092885.1	NC_014119.1	3	1282816	1183	0		0	secondary_large
GCF_000092885.1	NC_014120.1	4	489136	485	0		0	secondary_large
GCF_000194745.1	NC_015381.1	1	4413616	3859	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000194745.1	NC_015376.1	2	3700833	3082	2		0	secondary_large
GCF_000194745.1	NC_015383.1	3	403586	340	0	ftsZ	1	secondary_large
GCF_000194745.1	NC_015382.1	4	276215	220	0		0	small_plasmid
GCF_000194745.1	NC_015377.1	5	129399	114	0		0	small_plasmid
GCF_000194745.1	NC_015378.1	6	128650	128	0		0	small_plasmid
GCF_000198775.1	NC_014722.1	1	2755309	2508	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000198775.1	NC_014718.1	2	822304	655	1		0	secondary_large
GCF_000198775.1	NC_014723.1	3	172525	170	0		0	small_plasmid
GCF_000203915.1	NC_008390.1	1	3556545	3209	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000203915.1	NC_008391.1	2	2646969	2334	1		0	secondary_large
GCF_000203915.1	NC_008392.1	3	1281472	1016	1		0	secondary_large
GCF_000203915.1	NC_008385.1	4	43581	47	0		0	small_plasmid
GCF_000203955.1	NC_008542.1	1	3483902	3135	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000203955.1	NC_008543.1	2	2998664	2676	1		0	secondary_large
GCF_000203955.1	NC_008544.1	3	1055417	919	1		0	secondary_large
GCF_000203955.1	NC_008545.1	4	164857	164	0		0	small_plasmid
GCF_000236065.1	NC_016589.1	1	3131280	2895	55	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000236065.1	NC_016626.1	2	1951047	1775	0		0	secondary_large
GCF_000236065.1	NC_016625.1	3	1773019	1651	0		0	secondary_large
GCF_000236065.1	NC_016590.1	4	1569570	1408	0		0	secondary_large
GCF_000236065.1	NC_016591.1	5	356263	393	0		0	secondary_large
GCF_000236065.1	NC_016592.1	6	115232	100	0		0	small_plasmid
GCF_000236215.2	NZ_HG938370.1	1	3572953	3262	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000236215.2	NZ_HG938371.1	2	3102677	2709	1		0	secondary_large
GCF_000236215.2	NZ_HG938372.1	3	1039263	896	0		0	secondary_large
GCF_000260515.1	NC_017831.1	1	4092668	3527	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000260515.1	NC_017832.1	2	3138747	2423	1		0	secondary_large
GCF_000262695.1	NC_017920.1	1	3145156	2815	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000262695.1	NC_017921.1	2	2356985	2035	1		0	secondary_large
GCF_000262695.1	NC_017922.1	3	1082410	890	0		0	secondary_large
GCF_000262695.1	NC_017923.1	4	45361	60	0		0	small_plasmid
GCF_000292915.1	NC_018513.1	1	3463655	3138	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000292915.1	NC_018514.1	2	3003666	2706	1		0	secondary_large
GCF_000294635.1	NC_018527.1	1	4001777	3407	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000294635.1	NC_018529.1	2	3153284	2455	1		0	secondary_large
GCF_000300095.1	NC_018695.1	1	4152217	3655	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000300095.1	NC_018672.1	2	2713495	2385	1		0	secondary_large
GCF_000300095.1	NC_018696.1	3	785419	730	0		0	secondary_large
GCF_000385525.1	NC_021173.1	1	3967794	3536	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000385525.1	NC_021174.1	2	2763585	2253	1		0	secondary_large
GCF_000402035.1	NC_021287.1	1	3013410	2743	54	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000402035.1	NC_021294.1	2	1465356	1356	0		0	secondary_large
GCF_000402035.1	NC_021289.1	3	1275199	1168	0		0	secondary_large
GCF_000402035.1	NC_021288.1	4	900830	791	0		0	secondary_large
GCF_000402035.1	NC_021295.1	5	309692	270	0		0	secondary_large
GCF_000439695.1	NC_021884.1	1	4054155	3479	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000439695.1	NC_021877.1	2	3373917	2642	1		0	secondary_large
GCF_000494855.1	NC_022659.1	1	3997089	3392	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000494855.1	NC_022658.1	2	3340068	2681	1		0	secondary_large
GCF_000511895.1	NZ_CP004001.1	1	4029451	3436	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000511895.1	NZ_CP004002.1	2	3361913	2693	1		0	secondary_large
GCF_000511915.1	NZ_CP004003.1	1	4067895	3479	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000511915.1	NZ_CP004004.1	2	3245956	2523	1		0	secondary_large
GCF_000520895.1	NZ_CP004023.1	1	4067942	3474	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000520895.1	NZ_CP004024.1	2	3248143	2519	1		0	secondary_large
GCF_000521645.1	NZ_CP004042.1	1	4067985	3472	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000521645.1	NZ_CP004043.1	2	3245118	2521	1		0	secondary_large
GCF_000522545.2	NZ_CP012746.1	1	3575012	3140	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000522545.2	NZ_CP012747.1	2	3352623	2950	1		0	secondary_large
GCF_000522545.2	NZ_CP012748.1	3	2555069	2233	0		0	secondary_large
GCF_000567905.1	NZ_CP004089.1	1	3827433	3305	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000567905.1	NZ_CP004090.1	2	2940942	2340	1		0	secondary_large
GCF_000567925.1	NZ_CP004097.1	1	3662415	3193	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000567925.1	NZ_CP004098.1	2	2914718	2361	1		0	secondary_large
GCF_000567945.1	NZ_CP004117.1	1	3799595	3321	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000567945.1	NZ_CP004118.1	2	2852101	2296	1	ftsZ	1	secondary_large
GCF_000583835.1	NZ_CP004368.1	1	4059501	3506	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000583835.1	NZ_CP004369.1	2	3391010	2656	1		0	secondary_large
GCF_000701165.1	NZ_CP013730.1	1	3790084	3481	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000701165.1	NZ_CP013731.1	2	3400736	3010	1		0	secondary_large
GCF_000701165.1	NZ_CP013732.1	3	1290392	1061	0		0	secondary_large
GCF_000705535.2	NZ_CP072520.1	1	3561262	3210	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000705535.2	NZ_CP072521.1	2	3012498	2668	2		0	secondary_large
GCF_000705535.2	NZ_CP072522.1	3	1448576	1248	0		0	secondary_large
GCF_000706745.1	NZ_CP004383.1	1	3862646	3398	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000706745.1	NZ_CP004384.1	2	2821713	2252	1		0	secondary_large
GCF_000755725.1	NZ_CP007783.1	1	3668832	3310	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755725.1	NZ_CP007784.1	2	3209624	2836	1		0	secondary_large
GCF_000755725.1	NZ_CP007782.1	3	1166794	935	0		0	secondary_large
GCF_000755765.1	NZ_CP009209.1	1	4056147	3487	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755765.1	NZ_CP009210.1	2	3386014	2657	1		0	secondary_large
GCF_000755785.1	NZ_CP009148.1	1	3510187	3113	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755785.1	NZ_CP009147.1	2	2325354	1908	1		0	secondary_large
GCF_000755805.1	NZ_CP007787.1	1	3760231	3450	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755805.1	NZ_CP007786.1	2	3206581	2868	1		0	secondary_large
GCF_000755805.1	NZ_CP007785.1	3	1180302	1023	1		0	secondary_large
GCF_000755825.1	NZ_CP009128.1	1	4058409	3459	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755825.1	NZ_CP009127.1	2	3214293	2474	1		0	secondary_large
GCF_000755845.1	NZ_CP008711.1	1	3501048	3109	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755845.1	NZ_CP008710.1	2	2146721	1760	1		0	secondary_large
GCF_000755865.1	NZ_CP008704.1	1	3531732	3155	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755865.1	NZ_CP008705.1	2	2093560	1724	1		0	secondary_large
GCF_000755885.1	NZ_CP008723.1	1	3533325	3152	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755885.1	NZ_CP008722.1	2	2096906	1730	1		0	secondary_large
GCF_000755905.1	NZ_CP008894.1	1	3984054	3396	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755905.1	NZ_CP008893.1	2	3194122	2432	1		0	secondary_large
GCF_000755925.1	NZ_CP008911.1	1	4017692	3393	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755925.1	NZ_CP008912.1	2	3200711	2455	1		0	secondary_large
GCF_000755945.1	NZ_CP008892.1	1	3925545	3346	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755945.1	NZ_CP008891.1	2	3146583	2419	1		0	secondary_large
GCF_000755965.1	NZ_CP008909.1	1	4054219	3489	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755965.1	NZ_CP008910.1	2	3236215	2501	1		0	secondary_large
GCF_000755985.1	NZ_CP008726.1	1	4192008	3696	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000755985.1	NZ_CP008727.1	2	3121665	2625	1		0	secondary_large
GCF_000756005.1	NZ_CP008730.1	1	3603686	3301	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000756005.1	NZ_CP008729.1	2	2541526	2167	1		0	secondary_large
GCF_000756005.1	NZ_CP008728.1	3	1136655	1058	1		0	secondary_large
GCF_000756025.1	NZ_CP008732.1	1	3553363	3152	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000756025.1	NZ_CP008731.1	2	2321567	1906	1		0	secondary_large
GCF_000756045.1	NZ_CP008760.1	1	4868129	4386	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_000756045.1	NZ_CP008762.1	2	3363006	2967	1		0	secondary_large
GCF_000756045.1	NZ_CP008761.1	3	1471816	1327	0		0	secondary_large
GCF_000756065.1	NZ_CP008784.1	1	4060827	3494	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000756065.1	NZ_CP008783.1	2	3236977	2504	1		0	secondary_large
GCF_000756085.1	NZ_CP008834.1	1	4092738	3531	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000756085.1	NZ_CP008835.1	2	3138647	2423	1		0	secondary_large
GCF_000756125.1	NZ_CP008781.1	1	3985223	3376	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000756125.1	NZ_CP008782.1	2	3100174	2366	1		0	secondary_large
GCF_000756145.1	NZ_CP008758.1	1	3984293	3380	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000756145.1	NZ_CP008759.1	2	3102140	2372	1		0	secondary_large
GCF_000756165.1	NZ_CP008780.1	1	4019546	3432	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000756165.1	NZ_CP008779.1	2	3008404	2361	1		0	secondary_large
GCF_000756185.1	NZ_CP008777.1	1	4021786	3423	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000756185.1	NZ_CP008778.1	2	3244818	2520	1		0	secondary_large
GCF_000757015.2	NZ_CP009585.1	1	3976798	3381	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000757015.2	NZ_CP009586.1	2	3225565	2482	1		0	secondary_large
GCF_000757035.2	NZ_CP009899.1	1	4140573	3569	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000757035.2	NZ_CP009898.1	2	3184745	2435	1		0	secondary_large
GCF_000762285.1	NZ_CP007802.1	1	3476239	3083	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000762285.1	NZ_CP007801.1	2	2351417	1923	1		0	secondary_large
GCF_000764575.1	NZ_CP004377.1	1	3955135	3346	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000764575.1	NZ_CP004378.1	2	3248948	2546	1		0	secondary_large
GCF_000764595.1	NZ_CP004385.1	1	3916324	3486	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000764595.1	NZ_CP004386.1	2	2823176	2258	1		0	secondary_large
GCF_000764955.1	NZ_CP007781.1	1	3241886	2932	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000764955.1	NZ_CP007780.1	2	2375865	2011	1		0	secondary_large
GCF_000764955.1	NZ_CP007779.1	3	994670	837	0		0	secondary_large
GCF_000765375.1	NZ_CP004381.1	1	3805980	3303	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000765375.1	NZ_CP004382.1	2	2870750	2306	1		0	secondary_large
GCF_000770395.1	NZ_CP009235.1	1	4031107	3451	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000770395.1	NZ_CP009234.1	2	3194326	2456	1		0	secondary_large
GCF_000770455.1	NZ_CP009151.1	1	4008750	3416	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000770455.1	NZ_CP009150.1	2	3256009	2557	1		0	secondary_large
GCF_000770495.1	NZ_CP009161.1	1	4110442	3545	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000770495.1	NZ_CP009160.1	2	3227179	2497	1		0	secondary_large
GCF_000770515.1	NZ_CP009162.1	1	3969389	3409	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000770515.1	NZ_CP009163.1	2	3327069	2585	1		0	secondary_large
GCF_000770535.1	NZ_CP009165.1	1	4008865	3418	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000770535.1	NZ_CP009164.1	2	3263576	2557	1		0	secondary_large
GCF_000770565.1	NZ_CP009157.1	1	4228716	3670	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000770565.1	NZ_CP009156.1	2	3267160	2558	1		0	secondary_large
GCF_000770565.1	NZ_CP009155.1	3	271168	279	0		0	small_plasmid
GCF_000770565.1	NZ_CP009154.1	4	47098	61	0		0	small_plasmid
GCF_000808035.2	NZ_CP008914.2	1	3762666	3309	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000808035.2	NZ_CP008915.2	2	2966450	2395	2		0	secondary_large
GCF_000828875.1	NZ_AP014576.1	1	3090091	2856	55	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_000828875.1	NZ_AP014577.1	2	1787110	1688	0		0	secondary_large
GCF_000828875.1	NZ_AP014578.1	3	1680600	1551	0		0	secondary_large
GCF_000828875.1	NZ_AP014579.1	4	1438033	1342	0		0	secondary_large
