locus	accession	best_contig_rank	best_contig_len
MF6_002734	GCF_000755805.1	1	3760231
MF6_002734	GCF_000755825.1	1	4058409
MF6_002734	GCF_000755845.1	1	3501048
MF6_002734	GCF_000755865.1	1	3531732
MF6_002734	GCF_000755885.1	1	3533325
MF6_002734	GCF_000755905.1	1	3984054
MF6_002734	GCF_000755925.1	1	4017692
MF6_002734	GCF_000755945.1	1	3925545
MF6_002734	GCF_000755965.1	1	4054219
MF6_002734	GCF_000755985.1	1	4192008
MF6_002734	GCF_000756005.1	2	2541526
MF6_002734	GCF_000756025.1	1	3553363
MF6_002734	GCF_000756065.1	1	4060827
MF6_002734	GCF_000756085.1	1	4092738
MF6_002734	GCF_000756125.1	1	3985223
MF6_002734	GCF_000756145.1	1	3984293
MF6_002734	GCF_000756165.1	1	4019546
MF6_002734	GCF_000756185.1	1	4021786
MF6_002734	GCF_000757015.2	1	3976798
MF6_002734	GCF_000757035.2	1	4140573
MF6_002734	GCF_000762285.1	1	3476239
MF6_002734	GCF_000764575.1	1	3955135
MF6_002734	GCF_000764595.1	1	3916324
MF6_002734	GCF_000764955.1	1	3241886
MF6_002734	GCF_000765375.1	1	3805980
MF6_002734	GCF_000770395.1	1	4031107
MF6_002734	GCF_000770455.1	1	4008750
MF6_002734	GCF_000770495.1	1	4110442
MF6_002734	GCF_000770515.1	1	3969389
MF6_002734	GCF_000770535.1	1	4008865
MF6_002734	GCF_000770565.1	1	4228716
MF6_002734	GCF_000808035.2	1	3762666
MF6_002734	GCF_000835205.1	1	4163767
MF6_002734	GCF_000953095.1	1	4044293
MF6_002734	GCF_000954175.1	1	4006427
MF6_002734	GCF_000959125.1	1	4092218
MF6_002734	GCF_000959145.1	1	4055060
MF6_002734	GCF_000959165.1	1	3458247
MF6_002734	GCF_000959185.1	1	4021787
MF6_002734	GCF_000959205.1	1	4088931
MF6_002734	GCF_000959225.1	1	4240604
MF6_002734	GCF_000959245.1	1	3546310
MF6_002734	GCF_000959265.1	1	4121652
MF6_002734	GCF_000959285.1	1	4074547
MF6_002734	GCF_000959305.1	1	3915257
MF6_002734	GCF_000959325.1	1	4067533
MF6_002734	GCF_000959345.1	1	4185347
MF6_002734	GCF_000959365.1	1	4132035
MF6_002734	GCF_000959405.1	1	3559874
MF6_002734	GCF_000959425.1	1	3808029
MF6_002734	GCF_000959445.1	1	3317416
MF6_002734	GCF_000959465.1	1	3560434
MF6_002734	GCF_000959485.1	1	3550623
MF6_002734	GCF_000959505.1	1	3406596
MF6_002734	GCF_000959525.1	1	3428264
MF6_002734	GCF_000959545.1	1	3556555
MF6_002734	GCF_000959605.1	1	3896053
MF6_002734	GCF_000959625.1	1	3542936
MF6_002734	GCF_000959725.1	1	4668573
MF6_002734	GCF_000960995.1	1	3659771
MF6_002734	GCF_000974835.2	1	6419376
MF6_002734	GCF_001028665.1	1	3584103
MF6_002734	GCF_001029145.1	2	3358952
MF6_002734	GCF_001277875.1	1	4038504
MF6_002734	GCF_001277895.1	1	4038845
MF6_002734	GCF_001277975.1	1	4028032
MF6_002734	GCF_001318245.1	1	4112209
MF6_002734	GCF_001411495.1	1	3791734
MF6_002734	GCF_001411805.1	1	4140040
MF6_002734	GCF_001484665.1	1	3822749
MF6_002734	GCF_001513745.1	1	4069152
MF6_002734	GCF_001522105.2	1	4192894
MF6_002734	GCF_001522135.2	1	4131753
MF6_002734	GCF_001522585.2	1	3427375
MF6_002734	GCF_001522635.2	1	4439942
MF6_002734	GCF_001523745.2	1	3838800
MF6_002734	GCF_001523915.2	1	3445340
MF6_002734	GCF_001524445.2	1	4228278
MF6_002734	GCF_001524625.2	1	4077888
MF6_002734	GCF_001524645.2	1	3467548
MF6_002734	GCF_001532025.2	1	4081657
MF6_002734	GCF_001557535.2	1	3397021
MF6_002734	GCF_001606115.1	1	3526250
MF6_002734	GCF_001606135.1	1	7459003
MF6_002734	GCF_001695715.1	1	4061776
MF6_002734	GCF_001695735.1	1	4059297
MF6_002734	GCF_001718295.1	1	3762719
MF6_002734	GCF_001718315.1	1	3333368
MF6_002734	GCF_001718335.1	1	3421021
MF6_002734	GCF_001718355.1	1	3724327
MF6_002734	GCF_001718395.1	1	3728457
MF6_002734	GCF_001718415.1	1	4849929
MF6_002734	GCF_001718495.1	1	3257130
MF6_002734	GCF_001718515.1	1	3461321
MF6_002734	GCF_001718535.1	1	3505262
MF6_002734	GCF_001718555.1	1	3556612
MF6_002734	GCF_001718575.1	1	3756401
MF6_002734	GCF_001718595.1	1	3917337
MF6_002734	GCF_001718615.1	1	3827782
MF6_002734	GCF_001718635.1	1	3897156
MF6_002734	GCF_001718655.1	1	3935154
MF6_002734	GCF_001718695.1	1	3268347
MF6_002734	GCF_001718755.1	1	3525707
MF6_002734	GCF_001718775.1	1	5577538
MF6_002734	GCF_001718795.1	1	3331737
MF6_002734	GCF_001718815.1	1	3308896
MF6_002734	GCF_001718835.1	1	3750729
MF6_002734	GCF_001718855.1	1	3756926
MF6_002734	GCF_001718875.1	1	3663220
MF6_002734	GCF_001718895.1	1	3588848
MF6_002734	GCF_001718915.1	1	3322910
MF6_002734	GCF_001718955.1	1	3703595
MF6_002734	GCF_001718975.1	1	3531036
MF6_002734	GCF_001718995.1	2	2493865
MF6_002734	GCF_001729545.1	1	3553991
MF6_002734	GCF_001742165.1	1	3886092
MF6_002734	GCF_001885195.1	1	4090973
MF6_002734	GCF_001887555.1	1	4054259
MF6_002734	GCF_001887575.1	1	4054192
MF6_002734	GCF_001975065.1	1	3976360
MF6_002734	GCF_001975085.1	1	4050877
MF6_002734	GCF_001975105.1	1	4067698
MF6_002734	GCF_001975125.1	1	4056633
MF6_002734	GCF_001975145.1	1	4056707
MF6_002734	GCF_001980585.2	1	3880126
MF6_002734	GCF_001999785.1	1	7499459
MF6_002734	GCF_001999825.1	1	6339862
MF6_002734	GCF_001999885.1	1	3668000
MF6_002734	GCF_002007585.1	1	3511146
MF6_002734	GCF_002097715.1	1	3737663
MF6_002734	GCF_002110945.1	1	4195298
MF6_002734	GCF_002110965.1	1	4224888
MF6_002734	GCF_002111005.1	1	4062516
MF6_002734	GCF_002111025.1	1	4077823
MF6_002734	GCF_002111045.1	1	4056450
MF6_002734	GCF_002111085.1	1	4121819
MF6_002734	GCF_002111105.1	1	4149750
MF6_002734	GCF_002111125.1	1	4032598
MF6_002734	GCF_002111145.1	1	4047168
MF6_002734	GCF_002111165.1	1	4099199
MF6_002734	GCF_002111205.1	1	4191510
MF6_002734	GCF_002111225.1	1	4012048
MF6_002734	GCF_002111245.1	1	4062501
MF6_002734	GCF_002111265.1	1	4077668
MF6_002734	GCF_002111285.1	1	4191431
MF6_002734	GCF_002111305.1	1	4121864
MF6_002734	GCF_002111325.1	1	4027562
MF6_002734	GCF_002111345.1	1	4046807
MF6_002734	GCF_002111365.1	1	4135235
MF6_002734	GCF_002111385.1	1	4177999
MF6_002734	GCF_002208175.1	1	4668350
MF6_002734	GCF_002209085.2	1	3779906
MF6_002734	GCF_002345985.1	1	3471563
MF6_002734	GCF_002346005.1	1	3623703
MF6_002734	GCF_002346025.1	1	3471484
MF6_002734	GCF_002346045.1	1	3510109
MF6_002734	GCF_002346065.1	1	3558404
MF6_002734	GCF_002346085.1	1	3625848
MF6_002734	GCF_002346105.1	1	3512356
MF6_002734	GCF_002346125.1	1	3507358
MF6_002734	GCF_002346145.1	1	3578566
MF6_002734	GCF_002346165.1	1	3573819
MF6_002734	GCF_002346185.1	1	3045954
MF6_002734	GCF_002346205.1	1	3510032
MF6_002734	GCF_002356275.1	1	3625611
MF6_002734	GCF_002386205.1	1	3967822
MF6_002734	GCF_002393425.1	1	4209407
MF6_002734	GCF_002407525.2	1	3779890
MF6_002734	GCF_002843645.1	1	4019555
MF6_002734	GCF_002860065.1	1	4091945
MF6_002734	GCF_003019945.1	1	3317400
MF6_002734	GCF_003019965.1	1	3428385
MF6_002734	GCF_003020025.1	1	3819771
MF6_002734	GCF_003020185.1	1	3827809
MF6_002734	GCF_003076415.1	1	3497405
MF6_002734	GCF_003233675.1	1	3723585
MF6_002734	GCF_003330765.1	1	3619008
MF6_002734	GCF_003366075.1	1	3591606
MF6_002734	GCF_003445415.1	1	4033039
MF6_002734	GCF_003546465.1	1	3779447
MF6_002734	GCF_003547015.1	1	4066496
MF6_002734	GCF_003547035.1	1	3987008
MF6_002734	GCF_003547055.1	1	4013273
MF6_002734	GCF_003568605.1	1	3986340
MF6_002734	GCF_003606245.1	1	4075641
MF6_002734	GCF_003613595.1	1	4668533
MF6_002734	GCF_003614815.1	1	3862564
MF6_002734	GCF_003614835.1	1	3801254
MF6_002734	GCF_003704285.1	1	3617292
MF6_002734	GCF_003711145.1	1	3927314
MF6_002734	GCF_003713105.1	1	4171651
MF6_002734	GCF_003798245.1	1	4098323
MF6_002734	GCF_003798265.1	1	4007610
MF6_002734	GCF_003798365.1	1	4003948
MF6_002734	GCF_003812365.1	1	3356899
MF6_002734	GCF_003812585.1	1	3239301
MF6_002734	GCF_003812965.1	1	3705094
MF6_002734	GCF_003813045.1	1	3406611
MF6_002734	GCF_003966315.1	1	3645818
MF6_002734	GCF_004323015.1	1	3859639
MF6_002734	GCF_004323035.1	1	3852886
MF6_002734	GCF_004348055.1	1	3854943
MF6_002734	GCF_004348075.1	1	3850633
MF6_002734	GCF_004367665.1	1	3842045
MF6_002734	GCF_004367685.1	1	3855598
MF6_002734	GCF_004367705.1	1	3847660
MF6_002734	GCF_004367725.1	1	3842655
MF6_002734	GCF_004526325.1	1	3866281
MF6_002734	GCF_004842085.1	1	3800466
MF6_002734	GCF_005853645.1	1	4017865
MF6_002734	GCF_005862325.1	1	3987244
MF6_002734	GCF_005937855.2	1	3530666
MF6_002734	GCF_006094315.1	1	3781435
MF6_002734	GCF_007556815.1	1	4485011
MF6_002734	GCF_007724625.1	1	3904889
MF6_002734	GCF_008693485.1	1	3559578
MF6_002734	GCF_008693525.1	1	3559579
MF6_002734	GCF_008728255.1	1	3932929
MF6_002734	GCF_008728275.1	1	3932431
MF6_002734	GCF_008728295.1	1	3934903
MF6_002734	GCF_008728315.1	1	3931933
MF6_002734	GCF_008728335.1	1	3933419
MF6_002734	GCF_008728355.1	1	3931555
MF6_002734	GCF_008728375.1	1	3933317
MF6_002734	GCF_009191525.1	1	3618903
MF6_002734	GCF_009578005.1	1	3712850
MF6_002734	GCF_009586235.1	1	3688624
MF6_002734	GCF_009730035.1	1	3422468
MF6_002734	GCF_009730175.1	1	3350628
MF6_002734	GCF_009730195.1	1	3432204
MF6_002734	GCF_009749345.1	1	4009467
MF6_002734	GCF_009755625.1	1	3643456
MF6_002734	GCF_009857095.1	1	3629551
MF6_002734	GCF_009931375.1	1	3537953
MF6_002734	GCF_011039955.1	1	3989243
MF6_002734	GCF_011493005.1	1	4010354
MF6_002734	GCF_011578485.1	1	3725540
MF6_002734	GCF_012974245.1	1	3611155
MF6_002734	GCF_013122645.1	1	3532897
MF6_002734	GCF_013307145.1	1	3601960
MF6_002734	GCF_013307165.1	1	3596519
MF6_002734	GCF_013822785.1	1	3233781
MF6_002734	GCF_014211915.1	1	3507573
MF6_002734	GCF_014263355.1	1	4272194
MF6_002734	GCF_014357995.1	1	3673077
MF6_002734	GCF_014854795.1	1	3683734
MF6_002734	GCF_016026055.1	1	3659799
MF6_002734	GCF_016027435.1	1	4192837
MF6_002734	GCF_016027455.1	1	4068027
MF6_002734	GCF_016127755.1	1	3556545
MF6_002734	GCF_016458785.1	1	3480598
MF6_002734	GCF_016458805.1	1	3464850
MF6_002734	GCF_016598875.1	1	3659785
MF6_002734	GCF_016698705.1	1	4180205
MF6_002734	GCF_016774495.1	1	3830943
MF6_002734	GCF_016864355.1	1	4166395
MF6_002734	GCF_016889205.1	1	3406606
MF6_002734	GCF_016899425.1	1	3563380
MF6_002734	GCF_016899445.1	1	3538138
MF6_002734	GCF_017165175.1	1	3416863
MF6_002734	GCF_017165195.1	1	3330593
MF6_002734	GCF_017165475.1	1	3329413
MF6_002734	GCF_017165495.1	1	3328426
MF6_002734	GCF_017165515.1	1	3328959
MF6_002734	GCF_017165535.1	1	3329349
MF6_002734	GCF_017165555.1	1	3328147
MF6_002734	GCF_017378155.1	1	4046673
MF6_002734	GCF_017378195.1	1	4117487
MF6_002734	GCF_017378235.1	1	3924767
MF6_002734	GCF_017378275.1	1	4071067
MF6_002734	GCF_017378315.2	1	4071728
MF6_002734	GCF_017378355.1	1	4049558
MF6_002734	GCF_017378435.1	1	4044757
MF6_002734	GCF_017514945.1	1	3942398
MF6_002734	GCF_017815595.1	1	3230902
MF6_002734	GCF_017815615.1	1	3328387
MF6_002734	GCF_017858835.1	1	3761157
MF6_002734	GCF_018223765.1	1	3737356
MF6_002734	GCF_018223785.1	1	3844277
MF6_002734	GCF_018223805.1	1	3704668
MF6_002734	GCF_018228345.1	1	3947811
MF6_002734	GCF_018228385.1	1	3990066
MF6_002734	GCF_018228525.1	1	3995906
MF6_002734	GCF_018228545.1	1	3944884
MF6_002734	GCF_018228565.1	1	3945139
MF6_002734	GCF_018228585.1	1	3985679
MF6_002734	GCF_018228605.1	1	3985970
MF6_002734	GCF_018228625.1	1	3809848
MF6_002734	GCF_018417535.1	1	3911642
MF6_002734	GCF_018771365.1	1	4046877
MF6_002734	GCF_019915365.1	1	3770220
MF6_002734	GCF_019930785.1	1	3410295
MF6_002734	GCF_020099355.1	1	3317416
MF6_002734	GCF_020736245.1	1	3408891
MF6_002734	GCF_020843905.1	1	3458711
MF6_002734	GCF_020843925.1	1	3485251
MF6_002734	GCF_020843945.1	1	3516315
MF6_002734	GCF_020843965.1	1	3525632
MF6_002734	GCF_020843985.1	1	3493642
MF6_002734	GCF_021344035.2	2	3787680
MF6_002734	GCF_021484945.1	1	3739938
MF6_002734	GCF_021535065.1	1	3525059
MF6_002734	GCF_021899435.1	1	3810362
MF6_002734	GCF_022213445.1	1	3402659
MF6_002734	GCF_022533485.1	1	3627156
MF6_002734	GCF_022809715.1	1	3636047
MF6_002734	GCF_023053515.1	1	3808121
MF6_002734	GCF_023373625.1	1	3570861
MF6_002734	GCF_023373645.1	1	3570838
MF6_002734	GCF_023373665.1	1	3398546
MF6_002734	GCF_023373685.1	1	3398495
MF6_002734	GCF_023373725.1	1	3275779
MF6_002734	GCF_023374315.1	1	3359399
MF6_002734	GCF_023374335.1	1	3511327
MF6_002734	GCF_023374355.1	1	3398001
MF6_002734	GCF_023374375.1	1	3466987
MF6_002734	GCF_023374395.1	1	3360663
MF6_002734	GCF_023374415.1	1	3465544
MF6_002734	GCF_023374435.1	1	3484443
MF6_002734	GCF_023374455.1	1	3365308
MF6_002734	GCF_023374475.1	1	4997612
MF6_002734	GCF_023374495.1	1	3393740
MF6_002734	GCF_023374515.1	1	3374995
MF6_002734	GCF_023374535.1	1	3374577
MF6_002734	GCF_023374575.1	1	3569564
MF6_002734	GCF_023374595.1	1	3465546
MF6_002734	GCF_023374615.1	1	3365315
MF6_002734	GCF_023374635.1	1	3347122
MF6_002734	GCF_023374655.1	1	3378067
MF6_002734	GCF_023374675.1	1	3639129
MF6_002734	GCF_023374695.1	1	3383971
MF6_002734	GCF_023374715.1	1	3639150
MF6_002734	GCF_023374735.1	1	3414095
MF6_002734	GCF_023374755.1	1	3400005
MF6_002734	GCF_023374775.1	1	3488591
MF6_002734	GCF_023374795.1	1	3369738
MF6_002734	GCF_023374815.1	1	3440126
MF6_002734	GCF_023374835.1	1	3511529
MF6_002734	GCF_023374855.1	1	3511584
MF6_002734	GCF_023374875.1	1	3465547
MF6_002734	GCF_023374895.1	1	3372199
MF6_002734	GCF_023658595.1	1	4166767
MF6_002734	GCF_024022955.1	1	3746832
MF6_002734	GCF_024381035.2	1	3787783
MF6_002734	GCF_024600575.1	1	3611571
MF6_002734	GCF_024661975.1	1	3812061
MF6_002734	GCF_024662395.1	1	3738765
MF6_002734	GCF_024662415.1	1	3644544
MF6_002734	GCF_024662435.1	1	3791140
MF6_002734	GCF_024662455.1	1	3726678
MF6_002734	GCF_024662475.1	1	3912005
MF6_002734	GCF_024662615.1	1	3912005
MF6_002734	GCF_024662735.1	1	3912005
MF6_002734	GCF_024662895.1	1	3912005
MF6_002734	GCF_024663015.1	1	3673124
MF6_002734	GCF_024663135.1	1	3625957
MF6_002734	GCF_024663255.1	1	3738765
MF6_002734	GCF_024663375.1	1	3912005
MF6_002734	GCF_024663615.1	1	3912004
MF6_002734	GCF_024663775.1	1	3912005
MF6_002734	GCF_024663895.1	1	3912005
MF6_002734	GCF_024663975.1	1	3912006
MF6_002734	GCF_024663995.1	1	3912004
MF6_002734	GCF_024664015.1	1	3690419
MF6_002734	GCF_024664035.1	1	3912006
MF6_002734	GCF_024664055.1	1	3827400
MF6_002734	GCF_024664075.1	1	3779053
MF6_002734	GCF_024664095.1	1	3702773
MF6_002734	GCF_024664115.1	1	3734736
MF6_002734	GCF_024664135.1	1	3593726
MF6_002734	GCF_024664155.1	1	3912005
MF6_002734	GCF_024664175.1	1	3912005
MF6_002734	GCF_024664195.1	1	3764216
MF6_002734	GCF_024664215.1	1	3625957
MF6_002734	GCF_024664235.1	1	3651865
MF6_002734	GCF_024664255.1	1	3775023
MF6_002734	GCF_024664275.1	1	6490471
MF6_002734	GCF_024730645.1	1	3561162
MF6_002734	GCF_024732225.1	1	3713209
MF6_002734	GCF_024760585.1	1	4105390
MF6_002734	GCF_024760605.1	1	3742794
MF6_002734	GCF_024760625.1	1	3815313
MF6_002734	GCF_024760645.1	1	6450182
MF6_002734	GCF_025244785.1	1	4167159
MF6_002734	GCF_025560745.1	1	3696988
MF6_002734	GCF_025643495.1	1	3495006
MF6_002734	GCF_025643515.1	1	3846952
MF6_002734	GCF_025643555.1	1	3417441
MF6_002734	GCF_025643575.1	1	3777894
MF6_002734	GCF_026315005.1	1	4070995
MF6_002734	GCF_026315025.1	1	4018017
MF6_002734	GCF_026315045.1	1	4018161
MF6_002734	GCF_026651625.1	1	4282277
MF6_002734	GCF_026651975.1	1	3912007
MF6_002734	GCF_026651995.1	1	3912007
MF6_002734	GCF_026652015.1	1	3912007
MF6_002734	GCF_026683835.2	1	3490225
MF6_002734	GCF_026683855.2	1	3556328
MF6_002734	GCF_026683875.2	1	3555659
MF6_002734	GCF_026958255.1	1	3495354
MF6_002734	GCF_028201395.1	1	3880899
MF6_002734	GCF_028462305.2	1	3708767
MF6_002734	GCF_028657905.1	1	3899588
MF6_002734	GCF_029536165.1	1	3926784
MF6_002734	GCF_029590335.1	1	3799460
MF6_002734	GCF_029633645.1	1	3531688
MF6_002734	GCF_029633805.1	1	3730746
MF6_002734	GCF_029633825.1	1	3816246
MF6_002734	GCF_029910195.1	1	4252710
MF6_002734	GCF_029962485.1	1	3544176
MF6_002734	GCF_030078435.1	1	3314184
MF6_002734	GCF_030297195.1	1	3958117
MF6_002734	GCF_030297215.1	1	4060923
MF6_002734	GCF_030297235.1	1	4050793
MF6_002734	GCF_030297255.1	1	3937683
MF6_002734	GCF_030297275.1	1	4035111
MF6_002734	GCF_030297295.1	1	3997477
MF6_002734	GCF_030297315.1	1	3937533
MF6_002734	GCF_030297335.1	1	4104708
MF6_002734	GCF_030297355.1	1	3957973
MF6_002734	GCF_030316055.1	1	3124405
MF6_002734	GCF_030316075.1	1	3128458
MF6_002734	GCF_030374675.1	1	3584230
MF6_002734	GCF_030505635.1	2	3417499
MF6_002734	GCF_030644525.1	1	4199852
MF6_002734	GCF_030848725.1	1	3298494
MF6_002734	GCF_033675275.1	1	3920696
MF6_002734	GCF_033675305.1	1	3823994
MF6_002734	GCF_033675325.1	1	3848587
MF6_002734	GCF_033870355.1	2	2668693
MF6_002734	GCF_033870375.1	1	3558661
MF6_002734	GCF_033870395.1	1	5822796
MF6_002734	GCF_033956065.1	1	3510110
MF6_002734	GCF_034424375.1	1	6677280
MF6_002734	GCF_035621555.1	1	3804194
MF6_002734	GCF_036352035.1	1	3512161
MF6_002734	GCF_036362805.1	1	3363426
MF6_002734	GCF_036837415.1	1	4358639
MF6_002734	GCF_036839165.1	1	4358648
MF6_002734	GCF_037055255.1	1	3779152
MF6_002734	GCF_037101275.1	1	3445782
MF6_002734	GCF_038452255.1	1	3727794
MF6_002734	GCF_038723655.1	1	3651544
MF6_002734	GCF_038782865.1	1	4682183
MF6_002734	GCF_038983115.1	1	3964337
MF6_002734	GCF_038983225.1	1	3964321
MF6_002734	GCF_039728355.1	1	3780142
MF6_002734	GCF_039848545.1	1	3664175
MF6_002734	GCF_040215475.1	1	3637183
MF6_002734	GCF_040735455.1	1	3533168
MF6_002734	GCF_040761425.1	1	3809753
MF6_002734	GCF_041070875.1	1	3600495
MF6_002734	GCF_041205585.2	1	3538567
MF6_002734	GCF_042604585.1	1	4159160
MF6_002734	GCF_042604595.1	1	4218485
MF6_002734	GCF_043193125.1	1	3564602
MF6_002734	GCF_044057485.1	1	3612598
MF6_002734	GCF_044501195.1	1	3704100
MF6_002734	GCF_045345775.1	1	3559746
MF6_002734	GCF_045862465.1	1	4563288
MF6_002734	GCF_045925845.1	1	3687230
MF6_002734	GCF_046773525.1	1	3764863
MF6_002734	GCF_047127275.1	1	3731061
MF6_002734	GCF_047497155.1	1	4330113
MF6_002734	GCF_047497165.1	1	4232728
MF6_002734	GCF_047902435.1	1	3790643
MF6_002734	GCF_048565175.1	1	4218311
MF6_002734	GCF_048565265.1	1	3718748
MF6_002734	GCF_048627025.1	1	3646165
MF6_002734	GCF_048688115.1	1	3929948
MF6_002734	GCF_048917655.1	1	4163677
MF6_002734	GCF_048917665.1	1	4163896
MF6_002734	GCF_048917685.1	1	4163675
MF6_002734	GCF_049487195.1	1	3615827
MF6_002734	GCF_049913365.1	1	3535213
MF6_002734	GCF_049942845.1	1	3524452
MF6_002734	GCF_050320195.1	1	4015981
MF6_002734	GCF_050613125.1	1	4217528
MF6_002734	GCF_050613135.1	1	3636339
MF6_002734	GCF_050632305.1	1	3611118
MF6_002734	GCF_050632315.1	1	3611832
MF6_002734	GCF_050632325.1	1	3756401
MF6_002734	GCF_050632335.1	1	3611822
MF6_002734	GCF_050632345.1	1	3611841
MF6_002734	GCF_050632355.1	1	3636668
MF6_002734	GCF_050813845.1	1	4012682
MF6_002734	GCF_050920555.1	1	4316582
MF6_002734	GCF_051355645.1	1	3694126
MF6_002734	GCF_051560065.1	1	4021247
MF6_002734	GCF_051560085.1	1	3971785
MF6_002734	GCF_051560105.1	1	4052639
MF6_002734	GCF_051560125.1	1	4045573
MF6_002734	GCF_051560145.1	1	4024493
MF6_002734	GCF_052222725.1	1	4234222
MF6_002734	GCF_052854005.1	1	4058535
MF6_002734	GCF_052854015.1	1	4142467
MF6_002734	GCF_052854305.1	1	4063971
MF6_002734	GCF_052854315.1	1	4263701
MF6_002734	GCF_052854605.1	1	4051624
MF6_002734	GCF_052854615.1	1	4051444
MF6_002734	GCF_052854885.1	1	4087561
MF6_002734	GCF_052854895.1	1	3971349
MF6_002734	GCF_052855305.1	1	4088868
MF6_002734	GCF_052855315.1	1	4051722
MF6_002734	GCF_052855605.1	1	4038557
MF6_002734	GCF_052855615.1	1	4007748
MF6_002734	GCF_052855985.1	1	4007637
MF6_002734	GCF_052856205.1	1	3906615
MF6_002734	GCF_052857015.1	1	3951380
MF6_002734	GCF_052857225.1	1	3976171
MF6_002734	GCF_052857935.1	1	4009207
MF6_002734	GCF_052858145.1	1	4080232
MF6_002734	GCF_052858685.1	1	4091997
MF6_002734	GCF_052858755.1	1	4092017
MF6_002734	GCF_053038975.1	1	3504123
MF6_002734	GCF_053153985.1	1	3292540
MF6_002734	GCF_053209605.1	1	3503982
MF6_002734	GCF_053348855.1	1	3580165
MF6_002734	GCF_053470105.1	1	4292444
MF6_002734	GCF_053470145.1	1	4292446
MF6_002734	GCF_054073385.1	1	3615813
MF6_002734	GCF_054073395.1	1	3667483
MF6_002734	GCF_054166185.1	1	3551557
MF6_002734	GCF_054187845.1	1	4134938
MF6_002734	GCF_054558305.1	1	3623305
MF6_002734	GCF_054955335.1	1	6953363
MF6_002734	GCF_055386035.1	1	4393699
MF6_002734	GCF_055387925.1	1	3545820
MF6_002734	GCF_055397665.1	1	3557849
MF6_002734	GCF_055397955.1	1	4287547
MF6_002734	GCF_055810255.1	1	3725482
MF6_002734	GCF_056640905.1	1	3550458
MF6_002734	GCF_056783395.1	1	3680772
MF6_002734	GCF_057005415.2	1	3768457
MF6_002734	GCF_057369595.1	1	3577940
MF6_002734	GCF_057439935.1	1	3577940
MF6_002734	GCF_058448765.1	1	4208177
MF6_002734	GCF_059089405.1	1	3634232
MF6_002734	GCF_902141795.1	1	3987008
MF6_002734	GCF_902141815.1	1	4066496
MF6_002734	GCF_902141835.1	1	4013273
MF6_002734	GCF_904865725.1	1	3799937
MF6_002734	GCF_905400185.1	1	3575181
MF6_002734	GCF_939576165.1	1	5647473
MF6_002734	GCF_964264985.1	1	3585571
MF6_002734	GCF_964264995.1	1	3689806
MF6_002734	GCF_964265005.1	1	3689843
MF6_002734	GCF_964265015.1	1	3945256
MF6_002734	GCF_964265025.1	1	3917836
MF6_002734	GCF_965118185.1	1	4117855
