protein	genome	locus_tag	any_signature	interpro_entry	n_databases
GCF_016899425.1|KEDGBJ_05981	GCF_016899425.1	KEDGBJ_05981	True	True	10
GCF_016899425.1|KEDGBJ_05982	GCF_016899425.1	KEDGBJ_05982	True	True	10
GCF_016899425.1|KEDGBJ_05984	GCF_016899425.1	KEDGBJ_05984	True	True	6
GCF_016899425.1|KEDGBJ_05985	GCF_016899425.1	KEDGBJ_05985	True	True	3
GCF_016899425.1|KEDGBJ_05986	GCF_016899425.1	KEDGBJ_05986	True	True	5
GCF_016899425.1|KEDGBJ_05987	GCF_016899425.1	KEDGBJ_05987	True	True	4
GCF_016899425.1|KEDGBJ_05988	GCF_016899425.1	KEDGBJ_05988	True	True	9
GCF_016899425.1|KEDGBJ_05989	GCF_016899425.1	KEDGBJ_05989	True	True	5
GCF_016899425.1|KEDGBJ_05990	GCF_016899425.1	KEDGBJ_05990	True	True	7
GCF_016899425.1|KEDGBJ_05991	GCF_016899425.1	KEDGBJ_05991	True	True	8
GCF_016899425.1|KEDGBJ_05992	GCF_016899425.1	KEDGBJ_05992	True	True	5
GCF_016899425.1|KEDGBJ_05993	GCF_016899425.1	KEDGBJ_05993	True	False	3
GCF_016899425.1|KEDGBJ_05994	GCF_016899425.1	KEDGBJ_05994	True	False	1
GCF_016899425.1|KEDGBJ_05995	GCF_016899425.1	KEDGBJ_05995	True	True	6
GCF_016899425.1|KEDGBJ_05996	GCF_016899425.1	KEDGBJ_05996	True	True	6
GCF_016899425.1|KEDGBJ_05997	GCF_016899425.1	KEDGBJ_05997	True	True	2
GCF_016899425.1|KEDGBJ_05998	GCF_016899425.1	KEDGBJ_05998	True	True	7
GCF_016899425.1|KEDGBJ_05999	GCF_016899425.1	KEDGBJ_05999	True	True	11
GCF_016899425.1|KEDGBJ_06000	GCF_016899425.1	KEDGBJ_06000	True	True	8
GCF_016899425.1|KEDGBJ_06002	GCF_016899425.1	KEDGBJ_06002	True	True	4
GCF_016899425.1|KEDGBJ_06003	GCF_016899425.1	KEDGBJ_06003	True	True	5
GCF_016899425.1|KEDGBJ_06005	GCF_016899425.1	KEDGBJ_06005	True	True	10
GCF_016899425.1|KEDGBJ_06006	GCF_016899425.1	KEDGBJ_06006	True	True	11
GCF_016899425.1|KEDGBJ_06008	GCF_016899425.1	KEDGBJ_06008	False	False	1
GCF_016899425.1|KEDGBJ_06009	GCF_016899425.1	KEDGBJ_06009	True	True	6
GCF_016899425.1|KEDGBJ_06010	GCF_016899425.1	KEDGBJ_06010	True	True	7
GCF_016899425.1|KEDGBJ_06011	GCF_016899425.1	KEDGBJ_06011	True	True	4
GCF_016899425.1|KEDGBJ_06012	GCF_016899425.1	KEDGBJ_06012	True	True	4
GCF_016899425.1|KEDGBJ_06013	GCF_016899425.1	KEDGBJ_06013	True	True	7
GCF_016899425.1|KEDGBJ_06014	GCF_016899425.1	KEDGBJ_06014	True	True	8
GCF_016899425.1|KEDGBJ_06015	GCF_016899425.1	KEDGBJ_06015	True	True	2
GCF_016899425.1|KEDGBJ_06016	GCF_016899425.1	KEDGBJ_06016	True	True	7
GCF_016899425.1|KEDGBJ_06017	GCF_016899425.1	KEDGBJ_06017	True	True	3
GCF_016899425.1|KEDGBJ_06018	GCF_016899425.1	KEDGBJ_06018	True	True	6
GCF_016899425.1|KEDGBJ_06019	GCF_016899425.1	KEDGBJ_06019	True	True	10
GCF_016899425.1|KEDGBJ_06020	GCF_016899425.1	KEDGBJ_06020	True	True	7
GCF_016899425.1|KEDGBJ_06021	GCF_016899425.1	KEDGBJ_06021	True	True	6
GCF_016899425.1|KEDGBJ_06023	GCF_016899425.1	KEDGBJ_06023	True	True	5
GCF_016899425.1|KEDGBJ_06024	GCF_016899425.1	KEDGBJ_06024	True	True	6
GCF_016899425.1|KEDGBJ_06027	GCF_016899425.1	KEDGBJ_06027	True	True	5
GCF_016899425.1|KEDGBJ_06028	GCF_016899425.1	KEDGBJ_06028	True	True	2
GCF_016899425.1|KEDGBJ_06029	GCF_016899425.1	KEDGBJ_06029	True	True	2
GCF_016899425.1|KEDGBJ_06032	GCF_016899425.1	KEDGBJ_06032	True	True	7
GCF_016899425.1|KEDGBJ_06033	GCF_016899425.1	KEDGBJ_06033	False	False	1
GCF_016899425.1|KEDGBJ_06035	GCF_016899425.1	KEDGBJ_06035	True	True	4
GCF_016899425.1|KEDGBJ_06036	GCF_016899425.1	KEDGBJ_06036	True	True	6
GCF_016899425.1|KEDGBJ_06037	GCF_016899425.1	KEDGBJ_06037	True	True	3
GCF_016899425.1|KEDGBJ_06039	GCF_016899425.1	KEDGBJ_06039	True	True	7
GCF_016899425.1|KEDGBJ_06040	GCF_016899425.1	KEDGBJ_06040	True	True	5
GCF_016899425.1|KEDGBJ_06041	GCF_016899425.1	KEDGBJ_06041	True	True	4
GCF_016899425.1|KEDGBJ_06042	GCF_016899425.1	KEDGBJ_06042	True	True	5
GCF_016899425.1|KEDGBJ_06043	GCF_016899425.1	KEDGBJ_06043	True	True	1
GCF_016899425.1|KEDGBJ_06044	GCF_016899425.1	KEDGBJ_06044	True	True	1
GCF_016899425.1|KEDGBJ_06045	GCF_016899425.1	KEDGBJ_06045	True	True	7
GCF_016899425.1|KEDGBJ_06046	GCF_016899425.1	KEDGBJ_06046	True	True	6
GCF_016899425.1|KEDGBJ_06047	GCF_016899425.1	KEDGBJ_06047	True	True	6
GCF_016899425.1|KEDGBJ_06048	GCF_016899425.1	KEDGBJ_06048	True	True	6
GCF_016899425.1|KEDGBJ_06049	GCF_016899425.1	KEDGBJ_06049	True	True	9
GCF_016899425.1|KEDGBJ_06050	GCF_016899425.1	KEDGBJ_06050	True	True	10
GCF_016899425.1|KEDGBJ_06051	GCF_016899425.1	KEDGBJ_06051	True	True	3
GCF_016899425.1|KEDGBJ_06052	GCF_016899425.1	KEDGBJ_06052	True	True	7
GCF_016899425.1|KEDGBJ_06053	GCF_016899425.1	KEDGBJ_06053	True	True	5
GCF_016899425.1|KEDGBJ_06054	GCF_016899425.1	KEDGBJ_06054	True	True	10
GCF_016899425.1|KEDGBJ_06055	GCF_016899425.1	KEDGBJ_06055	True	True	5
GCF_016899425.1|KEDGBJ_06056	GCF_016899425.1	KEDGBJ_06056	True	True	7
GCF_016899425.1|KEDGBJ_06057	GCF_016899425.1	KEDGBJ_06057	True	True	6
GCF_016899425.1|KEDGBJ_06058	GCF_016899425.1	KEDGBJ_06058	True	True	9
GCF_016899425.1|KEDGBJ_06059	GCF_016899425.1	KEDGBJ_06059	True	True	9
GCF_016899425.1|KEDGBJ_06060	GCF_016899425.1	KEDGBJ_06060	True	True	6
GCF_016899425.1|KEDGBJ_06061	GCF_016899425.1	KEDGBJ_06061	True	True	7
GCF_016899425.1|KEDGBJ_06064	GCF_016899425.1	KEDGBJ_06064	True	True	3
GCF_016899425.1|KEDGBJ_06065	GCF_016899425.1	KEDGBJ_06065	True	True	6
GCF_016899425.1|KEDGBJ_06071	GCF_016899425.1	KEDGBJ_06071	False	False	1
GCF_016899425.1|KEDGBJ_06072	GCF_016899425.1	KEDGBJ_06072	True	True	1
GCF_016899425.1|KEDGBJ_06073	GCF_016899425.1	KEDGBJ_06073	True	True	7
GCF_016899425.1|KEDGBJ_06074	GCF_016899425.1	KEDGBJ_06074	True	True	5
GCF_016899425.1|KEDGBJ_06075	GCF_016899425.1	KEDGBJ_06075	True	True	6
GCF_016899425.1|KEDGBJ_06076	GCF_016899425.1	KEDGBJ_06076	True	False	2
GCF_016899425.1|KEDGBJ_06077	GCF_016899425.1	KEDGBJ_06077	True	True	7
GCF_016899425.1|KEDGBJ_06078	GCF_016899425.1	KEDGBJ_06078	True	True	9
GCF_016899425.1|KEDGBJ_06079	GCF_016899425.1	KEDGBJ_06079	True	True	10
GCF_016899425.1|KEDGBJ_06080	GCF_016899425.1	KEDGBJ_06080	True	True	9
GCF_016899425.1|KEDGBJ_06081	GCF_016899425.1	KEDGBJ_06081	True	True	4
GCF_016899425.1|KEDGBJ_06082	GCF_016899425.1	KEDGBJ_06082	True	True	5
GCF_016899425.1|KEDGBJ_06083	GCF_016899425.1	KEDGBJ_06083	True	True	4
GCF_016899425.1|KEDGBJ_06084	GCF_016899425.1	KEDGBJ_06084	True	True	2
GCF_016899425.1|KEDGBJ_06085	GCF_016899425.1	KEDGBJ_06085	True	True	6
GCF_016899425.1|KEDGBJ_06086	GCF_016899425.1	KEDGBJ_06086	True	True	2
GCF_016899425.1|KEDGBJ_06087	GCF_016899425.1	KEDGBJ_06087	True	True	5
GCF_016899425.1|KEDGBJ_06088	GCF_016899425.1	KEDGBJ_06088	True	True	6
GCF_016899425.1|KEDGBJ_06089	GCF_016899425.1	KEDGBJ_06089	True	True	5
GCF_016899425.1|KEDGBJ_06091	GCF_016899425.1	KEDGBJ_06091	True	True	5
GCF_016899425.1|KEDGBJ_06092	GCF_016899425.1	KEDGBJ_06092	True	True	4
GCF_016899425.1|KEDGBJ_06093	GCF_016899425.1	KEDGBJ_06093	True	True	1
GCF_016899425.1|KEDGBJ_06094	GCF_016899425.1	KEDGBJ_06094	True	True	2
GCF_016899425.1|KEDGBJ_06095	GCF_016899425.1	KEDGBJ_06095	True	True	9
GCF_016899425.1|KEDGBJ_06096	GCF_016899425.1	KEDGBJ_06096	True	True	4
GCF_016899425.1|KEDGBJ_06097	GCF_016899425.1	KEDGBJ_06097	True	True	7
GCF_016899425.1|KEDGBJ_06099	GCF_016899425.1	KEDGBJ_06099	True	True	9
GCF_016899425.1|KEDGBJ_06100	GCF_016899425.1	KEDGBJ_06100	True	True	5
GCF_016899425.1|KEDGBJ_06101	GCF_016899425.1	KEDGBJ_06101	True	True	6
GCF_016899425.1|KEDGBJ_06102	GCF_016899425.1	KEDGBJ_06102	True	True	6
GCF_016899425.1|KEDGBJ_06103	GCF_016899425.1	KEDGBJ_06103	True	True	5
GCF_016899425.1|KEDGBJ_06104	GCF_016899425.1	KEDGBJ_06104	False	False	1
GCF_016899425.1|KEDGBJ_06105	GCF_016899425.1	KEDGBJ_06105	True	True	6
GCF_016899425.1|KEDGBJ_06106	GCF_016899425.1	KEDGBJ_06106	True	True	3
GCF_016899425.1|KEDGBJ_06107	GCF_016899425.1	KEDGBJ_06107	True	True	2
GCF_016899425.1|KEDGBJ_06108	GCF_016899425.1	KEDGBJ_06108	True	True	2
GCF_016899425.1|KEDGBJ_06109	GCF_016899425.1	KEDGBJ_06109	True	True	6
GCF_016899425.1|KEDGBJ_06110	GCF_016899425.1	KEDGBJ_06110	True	True	7
GCF_016899425.1|KEDGBJ_06111	GCF_016899425.1	KEDGBJ_06111	True	True	1
GCF_016899425.1|KEDGBJ_06112	GCF_016899425.1	KEDGBJ_06112	True	True	4
GCF_016899425.1|KEDGBJ_06113	GCF_016899425.1	KEDGBJ_06113	True	True	6
GCF_016899425.1|KEDGBJ_06114	GCF_016899425.1	KEDGBJ_06114	True	True	7
GCF_016899425.1|KEDGBJ_06115	GCF_016899425.1	KEDGBJ_06115	True	True	8
GCF_016899425.1|KEDGBJ_06117	GCF_016899425.1	KEDGBJ_06117	True	True	6
GCF_016899425.1|KEDGBJ_06118	GCF_016899425.1	KEDGBJ_06118	True	True	7
GCF_016899425.1|KEDGBJ_06119	GCF_016899425.1	KEDGBJ_06119	True	True	7
GCF_016899425.1|KEDGBJ_06120	GCF_016899425.1	KEDGBJ_06120	True	True	10
GCF_016899425.1|KEDGBJ_06121	GCF_016899425.1	KEDGBJ_06121	True	True	9
GCF_016899425.1|KEDGBJ_06122	GCF_016899425.1	KEDGBJ_06122	False	False	2
GCF_016899425.1|KEDGBJ_06123	GCF_016899425.1	KEDGBJ_06123	True	True	3
GCF_016899425.1|KEDGBJ_06124	GCF_016899425.1	KEDGBJ_06124	True	True	6
GCF_016899425.1|KEDGBJ_06125	GCF_016899425.1	KEDGBJ_06125	True	True	7
GCF_016899425.1|KEDGBJ_06127	GCF_016899425.1	KEDGBJ_06127	True	True	6
GCF_016899425.1|KEDGBJ_06128	GCF_016899425.1	KEDGBJ_06128	True	True	4
GCF_016899425.1|KEDGBJ_06129	GCF_016899425.1	KEDGBJ_06129	True	True	8
GCF_016899425.1|KEDGBJ_06130	GCF_016899425.1	KEDGBJ_06130	True	True	4
GCF_016899425.1|KEDGBJ_06131	GCF_016899425.1	KEDGBJ_06131	True	True	1
GCF_016899425.1|KEDGBJ_06132	GCF_016899425.1	KEDGBJ_06132	True	True	7
GCF_016899425.1|KEDGBJ_06133	GCF_016899425.1	KEDGBJ_06133	True	True	5
GCF_016899425.1|KEDGBJ_06134	GCF_016899425.1	KEDGBJ_06134	True	True	6
GCF_016899425.1|KEDGBJ_06135	GCF_016899425.1	KEDGBJ_06135	True	True	7
GCF_016899425.1|KEDGBJ_06136	GCF_016899425.1	KEDGBJ_06136	True	True	6
GCF_016899425.1|KEDGBJ_06137	GCF_016899425.1	KEDGBJ_06137	True	True	1
GCF_016899425.1|KEDGBJ_06138	GCF_016899425.1	KEDGBJ_06138	True	True	2
GCF_016899425.1|KEDGBJ_06139	GCF_016899425.1	KEDGBJ_06139	True	True	7
GCF_016899425.1|KEDGBJ_06140	GCF_016899425.1	KEDGBJ_06140	True	True	8
GCF_016899425.1|KEDGBJ_06141	GCF_016899425.1	KEDGBJ_06141	True	True	8
GCF_016899425.1|KEDGBJ_06142	GCF_016899425.1	KEDGBJ_06142	True	True	7
GCF_016899425.1|KEDGBJ_06143	GCF_016899425.1	KEDGBJ_06143	True	True	6
GCF_016899425.1|KEDGBJ_06144	GCF_016899425.1	KEDGBJ_06144	True	True	7
GCF_016899425.1|KEDGBJ_06145	GCF_016899425.1	KEDGBJ_06145	True	True	8
GCF_016899425.1|KEDGBJ_06146	GCF_016899425.1	KEDGBJ_06146	True	True	7
GCF_016899425.1|KEDGBJ_06147	GCF_016899425.1	KEDGBJ_06147	True	True	9
GCF_016899425.1|KEDGBJ_06148	GCF_016899425.1	KEDGBJ_06148	True	True	6
GCF_016899425.1|KEDGBJ_06149	GCF_016899425.1	KEDGBJ_06149	True	True	7
GCF_016899425.1|KEDGBJ_06150	GCF_016899425.1	KEDGBJ_06150	True	True	4
GCF_016899425.1|KEDGBJ_06151	GCF_016899425.1	KEDGBJ_06151	True	True	8
GCF_016899425.1|KEDGBJ_06152	GCF_016899425.1	KEDGBJ_06152	True	True	9
GCF_016899425.1|KEDGBJ_06153	GCF_016899425.1	KEDGBJ_06153	True	True	5
GCF_016899425.1|KEDGBJ_06154	GCF_016899425.1	KEDGBJ_06154	True	True	6
GCF_016899425.1|KEDGBJ_06155	GCF_016899425.1	KEDGBJ_06155	True	True	2
GCF_016899425.1|KEDGBJ_06156	GCF_016899425.1	KEDGBJ_06156	True	True	6
GCF_016899425.1|KEDGBJ_06157	GCF_016899425.1	KEDGBJ_06157	True	True	7
GCF_016899425.1|KEDGBJ_06158	GCF_016899425.1	KEDGBJ_06158	True	True	7
GCF_016899425.1|KEDGBJ_06159	GCF_016899425.1	KEDGBJ_06159	False	False	2
GCF_016899425.1|KEDGBJ_06160	GCF_016899425.1	KEDGBJ_06160	True	True	6
GCF_016899425.1|KEDGBJ_06161	GCF_016899425.1	KEDGBJ_06161	True	True	3
GCF_016899425.1|KEDGBJ_06162	GCF_016899425.1	KEDGBJ_06162	True	True	6
GCF_016899425.1|KEDGBJ_06163	GCF_016899425.1	KEDGBJ_06163	False	False	1
GCF_016899425.1|KEDGBJ_06165	GCF_016899425.1	KEDGBJ_06165	True	True	6
GCF_016899425.1|KEDGBJ_06166	GCF_016899425.1	KEDGBJ_06166	True	True	8
GCF_016899425.1|KEDGBJ_06167	GCF_016899425.1	KEDGBJ_06167	True	True	6
GCF_016899425.1|KEDGBJ_06168	GCF_016899425.1	KEDGBJ_06168	True	True	5
GCF_016899425.1|KEDGBJ_06169	GCF_016899425.1	KEDGBJ_06169	True	True	5
GCF_016899425.1|KEDGBJ_06170	GCF_016899425.1	KEDGBJ_06170	True	True	2
GCF_016899425.1|KEDGBJ_06171	GCF_016899425.1	KEDGBJ_06171	True	True	2
GCF_016899425.1|KEDGBJ_06172	GCF_016899425.1	KEDGBJ_06172	False	False	1
GCF_016899425.1|KEDGBJ_06173	GCF_016899425.1	KEDGBJ_06173	True	True	8
GCF_016899425.1|KEDGBJ_06174	GCF_016899425.1	KEDGBJ_06174	True	True	6
GCF_016899425.1|KEDGBJ_06175	GCF_016899425.1	KEDGBJ_06175	True	True	7
GCF_016899425.1|KEDGBJ_06176	GCF_016899425.1	KEDGBJ_06176	True	True	5
GCF_016899425.1|KEDGBJ_06177	GCF_016899425.1	KEDGBJ_06177	True	True	3
GCF_016899425.1|KEDGBJ_06178	GCF_016899425.1	KEDGBJ_06178	True	True	8
GCF_016899425.1|KEDGBJ_06179	GCF_016899425.1	KEDGBJ_06179	True	True	10
GCF_016899425.1|KEDGBJ_06180	GCF_016899425.1	KEDGBJ_06180	True	True	7
GCF_016899425.1|KEDGBJ_06181	GCF_016899425.1	KEDGBJ_06181	True	True	7
GCF_016899425.1|KEDGBJ_06182	GCF_016899425.1	KEDGBJ_06182	False	False	1
GCF_016899425.1|KEDGBJ_06183	GCF_016899425.1	KEDGBJ_06183	True	True	2
GCF_016899425.1|KEDGBJ_06184	GCF_016899425.1	KEDGBJ_06184	True	True	5
GCF_016899425.1|KEDGBJ_06185	GCF_016899425.1	KEDGBJ_06185	True	True	6
GCF_016899425.1|KEDGBJ_06186	GCF_016899425.1	KEDGBJ_06186	True	True	7
GCF_016899425.1|KEDGBJ_06187	GCF_016899425.1	KEDGBJ_06187	True	True	8
GCF_016899425.1|KEDGBJ_06188	GCF_016899425.1	KEDGBJ_06188	True	True	10
GCF_016899425.1|KEDGBJ_06189	GCF_016899425.1	KEDGBJ_06189	True	True	5
GCF_016899425.1|KEDGBJ_06190	GCF_016899425.1	KEDGBJ_06190	True	True	10
GCF_016899425.1|KEDGBJ_06191	GCF_016899425.1	KEDGBJ_06191	True	True	6
GCF_016899425.1|KEDGBJ_06192	GCF_016899425.1	KEDGBJ_06192	True	True	6
GCF_016899425.1|KEDGBJ_06193	GCF_016899425.1	KEDGBJ_06193	True	True	8
GCF_016899425.1|KEDGBJ_06194	GCF_016899425.1	KEDGBJ_06194	True	True	3
GCF_016899425.1|KEDGBJ_06196	GCF_016899425.1	KEDGBJ_06196	True	True	3
GCF_016899425.1|KEDGBJ_06197	GCF_016899425.1	KEDGBJ_06197	True	True	8
GCF_016899425.1|KEDGBJ_06199	GCF_016899425.1	KEDGBJ_06199	True	True	6
GCF_016899425.1|KEDGBJ_06200	GCF_016899425.1	KEDGBJ_06200	True	True	3
GCF_016899425.1|KEDGBJ_06201	GCF_016899425.1	KEDGBJ_06201	True	True	4
GCF_016899425.1|KEDGBJ_06202	GCF_016899425.1	KEDGBJ_06202	True	True	8
GCF_016899425.1|KEDGBJ_06203	GCF_016899425.1	KEDGBJ_06203	True	True	8
GCF_016899425.1|KEDGBJ_06204	GCF_016899425.1	KEDGBJ_06204	True	True	7
GCF_016899425.1|KEDGBJ_06205	GCF_016899425.1	KEDGBJ_06205	True	True	2
GCF_016899425.1|KEDGBJ_06206	GCF_016899425.1	KEDGBJ_06206	True	True	4
GCF_016899425.1|KEDGBJ_06208	GCF_016899425.1	KEDGBJ_06208	False	False	2
GCF_016899425.1|KEDGBJ_06209	GCF_016899425.1	KEDGBJ_06209	True	True	4
GCF_016899425.1|KEDGBJ_06210	GCF_016899425.1	KEDGBJ_06210	True	True	3
GCF_016899425.1|KEDGBJ_06211	GCF_016899425.1	KEDGBJ_06211	True	True	1
GCF_016899425.1|KEDGBJ_06213	GCF_016899425.1	KEDGBJ_06213	True	True	6
GCF_016899425.1|KEDGBJ_06214	GCF_016899425.1	KEDGBJ_06214	False	False	1
GCF_016899425.1|KEDGBJ_06215	GCF_016899425.1	KEDGBJ_06215	True	True	2
GCF_016899425.1|KEDGBJ_06216	GCF_016899425.1	KEDGBJ_06216	True	True	5
GCF_016899425.1|KEDGBJ_06217	GCF_016899425.1	KEDGBJ_06217	True	True	3
GCF_016899425.1|KEDGBJ_06218	GCF_016899425.1	KEDGBJ_06218	True	True	8
GCF_016899425.1|KEDGBJ_06219	GCF_016899425.1	KEDGBJ_06219	True	True	7
GCF_016899425.1|KEDGBJ_06220	GCF_016899425.1	KEDGBJ_06220	True	True	7
GCF_016899425.1|KEDGBJ_06221	GCF_016899425.1	KEDGBJ_06221	True	True	3
GCF_016899425.1|KEDGBJ_06222	GCF_016899425.1	KEDGBJ_06222	True	True	4
GCF_016899425.1|KEDGBJ_06223	GCF_016899425.1	KEDGBJ_06223	True	True	7
GCF_016899425.1|KEDGBJ_06224	GCF_016899425.1	KEDGBJ_06224	True	True	8
GCF_016899425.1|KEDGBJ_06225	GCF_016899425.1	KEDGBJ_06225	True	True	7
GCF_016899425.1|KEDGBJ_06226	GCF_016899425.1	KEDGBJ_06226	True	True	6
GCF_016899425.1|KEDGBJ_06227	GCF_016899425.1	KEDGBJ_06227	True	True	7
GCF_016899425.1|KEDGBJ_06228	GCF_016899425.1	KEDGBJ_06228	True	True	6
GCF_016899425.1|KEDGBJ_06231	GCF_016899425.1	KEDGBJ_06231	True	True	6
GCF_016899425.1|KEDGBJ_06232	GCF_016899425.1	KEDGBJ_06232	True	True	10
GCF_016899425.1|KEDGBJ_06233	GCF_016899425.1	KEDGBJ_06233	True	True	3
GCF_016899425.1|KEDGBJ_06235	GCF_016899425.1	KEDGBJ_06235	True	True	5
GCF_016899425.1|KEDGBJ_06236	GCF_016899425.1	KEDGBJ_06236	True	True	7
GCF_016899425.1|KEDGBJ_06237	GCF_016899425.1	KEDGBJ_06237	True	True	5
GCF_016899425.1|KEDGBJ_06238	GCF_016899425.1	KEDGBJ_06238	True	True	3
GCF_016899425.1|KEDGBJ_06239	GCF_016899425.1	KEDGBJ_06239	True	True	7
GCF_016899425.1|KEDGBJ_06240	GCF_016899425.1	KEDGBJ_06240	True	True	4
GCF_016899425.1|KEDGBJ_06241	GCF_016899425.1	KEDGBJ_06241	True	True	7
GCF_016899425.1|KEDGBJ_06242	GCF_016899425.1	KEDGBJ_06242	True	True	5
GCF_016899425.1|KEDGBJ_06243	GCF_016899425.1	KEDGBJ_06243	True	True	4
GCF_016899425.1|KEDGBJ_06245	GCF_016899425.1	KEDGBJ_06245	True	True	3
GCF_016899425.1|KEDGBJ_06246	GCF_016899425.1	KEDGBJ_06246	True	True	3
GCF_016899425.1|KEDGBJ_06247	GCF_016899425.1	KEDGBJ_06247	True	True	6
GCF_016899425.1|KEDGBJ_06248	GCF_016899425.1	KEDGBJ_06248	True	True	3
GCF_016899425.1|KEDGBJ_06249	GCF_016899425.1	KEDGBJ_06249	True	True	4
GCF_016899425.1|KEDGBJ_06250	GCF_016899425.1	KEDGBJ_06250	True	True	4
GCF_016899425.1|KEDGBJ_06251	GCF_016899425.1	KEDGBJ_06251	True	True	9
GCF_016899425.1|KEDGBJ_06252	GCF_016899425.1	KEDGBJ_06252	False	False	1
GCF_016899425.1|KEDGBJ_06253	GCF_016899425.1	KEDGBJ_06253	True	True	5
GCF_016899425.1|KEDGBJ_06255	GCF_016899425.1	KEDGBJ_06255	True	True	3
GCF_016899425.1|KEDGBJ_06256	GCF_016899425.1	KEDGBJ_06256	True	True	6
GCF_016899425.1|KEDGBJ_06257	GCF_016899425.1	KEDGBJ_06257	True	True	4
GCF_016899425.1|KEDGBJ_06258	GCF_016899425.1	KEDGBJ_06258	True	True	5
GCF_016899425.1|KEDGBJ_06259	GCF_016899425.1	KEDGBJ_06259	True	True	3
GCF_016899425.1|KEDGBJ_06260	GCF_016899425.1	KEDGBJ_06260	True	True	4
GCF_016899425.1|KEDGBJ_06261	GCF_016899425.1	KEDGBJ_06261	True	True	2
GCF_016899425.1|KEDGBJ_06262	GCF_016899425.1	KEDGBJ_06262	True	True	4
GCF_016899425.1|KEDGBJ_06263	GCF_016899425.1	KEDGBJ_06263	True	True	6
GCF_016899425.1|KEDGBJ_06264	GCF_016899425.1	KEDGBJ_06264	True	True	5
GCF_016899425.1|KEDGBJ_06265	GCF_016899425.1	KEDGBJ_06265	True	True	3
GCF_016899425.1|KEDGBJ_06266	GCF_016899425.1	KEDGBJ_06266	True	True	4
GCF_016899425.1|KEDGBJ_06267	GCF_016899425.1	KEDGBJ_06267	False	False	1
GCF_016899425.1|KEDGBJ_06269	GCF_016899425.1	KEDGBJ_06269	True	True	4
GCF_016899425.1|KEDGBJ_06271	GCF_016899425.1	KEDGBJ_06271	False	False	1
GCF_016899425.1|KEDGBJ_06272	GCF_016899425.1	KEDGBJ_06272	True	True	3
GCF_016899425.1|KEDGBJ_06273	GCF_016899425.1	KEDGBJ_06273	True	True	2
GCF_016899425.1|KEDGBJ_06274	GCF_016899425.1	KEDGBJ_06274	True	True	8
GCF_016899425.1|KEDGBJ_06275	GCF_016899425.1	KEDGBJ_06275	True	True	6
GCF_016899425.1|KEDGBJ_06276	GCF_016899425.1	KEDGBJ_06276	True	True	3
GCF_016899425.1|KEDGBJ_06277	GCF_016899425.1	KEDGBJ_06277	True	True	2
GCF_016899425.1|KEDGBJ_06278	GCF_016899425.1	KEDGBJ_06278	True	True	8
GCF_016899425.1|KEDGBJ_06279	GCF_016899425.1	KEDGBJ_06279	True	True	5
GCF_016899425.1|KEDGBJ_06280	GCF_016899425.1	KEDGBJ_06280	True	True	7
