gene_set	family	cog_id	cog_categories	kos	n_members	n_genomes	genomes	product
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06024				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Transcriptional regulator, XRE family
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06025				1	1	GCF_016899425.1	hypothetical protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06026				3	3	GCF_016899425.1;GCF_905400185.1;MF6	hypothetical protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06027				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Peptidase C39
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06028				3	3	GCF_016899425.1;GCF_905400185.1;MF6	RHS repeat protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06029				3	3	GCF_016899425.1;GCF_905400185.1;MF6	DUF1349 domain-containing protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06030				3	3	GCF_016899425.1;GCF_905400185.1;MF6	hypothetical protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06031				3	3	GCF_016899425.1;GCF_905400185.1;MF6	hypothetical protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06032				3	3	GCF_016899425.1;GCF_905400185.1;MF6	H-NS histone family protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06033				3	3	GCF_016899425.1;GCF_905400185.1;MF6	hypothetical protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06034				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Zinc-ribbon domain-containing protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06035				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Knr4/Smi1-like domain-containing protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06036				3	3	GCF_016899425.1;GCF_905400185.1;MF6	DUF6531 domain-containing protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06037				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Cytoplasmic protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06038				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Transmembrane protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06039				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Ankyrin-repeat exported protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06040			11904	3	3	GCF_016899425.1;GCF_905400185.1;MF6	Gp5/Type VI secretion system Vgr protein OB-fold domain-containing protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06041			11896	3	3	GCF_016899425.1;GCF_905400185.1;MF6	type VI secretion system baseplate subunit TssF
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06042				6	3	GCF_016899425.1;GCF_905400185.1;MF6	DDE-type integrase/transposase/recombinase
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06043				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Transposase
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06044				3	3	GCF_016899425.1;GCF_905400185.1;MF6	hypothetical protein
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06045	COG0229	O		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	peptide-methionine (R)-S-oxide reductase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06047				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Peptide methionine sulfoxide reductase MsrA
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06048	COG5749	H	22895	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Carbazole 1,9a-dioxygenase, terminal oxygenase component CarAa
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06049			01489	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	cytidine deaminase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06050	COG0213	F		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	thymidine phosphorylase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06051	COG1972	F		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Nucleoside permease
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06052	COG0044	F		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	dihydropyrimidinase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06053				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Nitrate reductase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06054	COG1146	F		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06055	COG0493	ER		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	dihydrouracil dehydrogenase (NAD(+))
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06056	COG0624	E		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Amidase, hydantoinase/carbamoylase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06057	COG1309	K		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Transcriptional regulator, TetR family
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06058	COG0183	I		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Acetyl-CoA C-acyltransferase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06059	COG1028	I		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	3-hydroxyacyl-CoA dehydrogenase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06060				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	AMP-dependent synthetase and ligase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06061	COG2207	K		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Transcriptional regulator, AraC family
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06062				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	SMI1/KNR4 family protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06063				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Integral membrane protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06064				3	3	GCF_016899425.1;GCF_905400185.1;MF6	DUF4440 domain-containing protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06065				3	3	GCF_016899425.1;GCF_905400185.1;MF6	GNAT family N-acetyltransferase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06071				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	ATPase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06072				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	DUF429 domain-containing protein
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06073	COG0317	TK		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06074	COG4717	S		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Uncharacterized protein YhaN AAA domain-containing protein
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06075	COG0420	L		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	DNA repair exonuclease
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06076				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Lipoprotein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06077				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Carrier domain-containing protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06078				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Carrier domain-containing protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06079				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	SDR family NAD(P)-dependent oxidoreductase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06080				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	AMP-binding enzyme family protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06081				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Long-chain-fatty-acid--CoA ligase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06082				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Iron-containing redox enzyme family protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06083				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Carrier domain-containing protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06085				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Cysteine synthase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06086				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GNAT family N-acetyltransferase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06087				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Amidohydrolase-related domain-containing protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06088			00428	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Cytochrome-c peroxidase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06089				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	RidA family protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06090				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Porin
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06091				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Outer membrane lipoprotein-sorting protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06092				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	ThiJ/PfpI family protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06093				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	FixH family protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06094				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	ABC transporter permease
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06095				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	ABC transporter ATP-binding protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06096				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	thioesterase II family protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06097				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	FAD-binding PCMH-type domain-containing protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06098				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	hypothetical protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06099				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Helix-turn-helix transcriptional regulator
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06100				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Multidrug-efflux transporter
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06101				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Cysteine synthase family protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06103				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Ornithine cyclodeaminase family protein
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06104				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Late embryogenesis abundant protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06105	COG0405	E		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Gamma-glutamyltransferase 1
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06107	COG5654	V		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	RES domain-containing protein
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06108	COG5642	V		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Antitoxin
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06109				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	HD domain-containing protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06110			13633	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	AraC family transcriptional regulator
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06111				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Purine-nucleoside phosphorylase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06112				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Carboxymethylenebutenolidase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06113	COG1538	M		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Multidrug transporter
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06114	COG0841	V		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Efflux pump membrane transporter
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06117				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	HTH lysR-type domain-containing protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06118				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	AraC family transcriptional regulator
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06119				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Transcriptional regulator, LysR family
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06120	COG0104	F	01939	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	adenylosuccinate synthase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06121	COG0583	K	03566	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Transcriptional regulator
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06122				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Purine nucleoside phosphorylase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06123	COG5527	X		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	(5' truncated) Initiator Rep protein WH1 domain-containing protein
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06124	COG1475	D	03497	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Chromosome partitioning protein ParB
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_06125	COG1192	DN	03496	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Chromosome partitioning protein
