accession	cluster_id	cluster_size	is_representative
GCF_048565265.1	219	1	True
GCF_048627025.1	220	1	True
GCF_048688115.1	3	26	False
GCF_048917655.1	9	8	False
GCF_048917665.1	9	8	False
GCF_048917685.1	9	8	False
GCF_049177125.1	221	1	True
GCF_049487195.1	222	1	True
GCF_049913365.1	55	2	True
GCF_049942845.1	55	2	False
GCF_050320195.1	0	233	False
GCF_050430075.1	51	2	False
GCF_050500075.1	46	2	False
GCF_050613125.1	21	4	False
GCF_050613135.1	223	1	True
GCF_050627075.1	29	3	False
GCF_050627395.1	29	3	False
GCF_050632305.1	24	4	True
GCF_050632315.1	24	4	False
GCF_050632325.1	224	1	True
GCF_050632335.1	24	4	False
GCF_050632345.1	24	4	False
GCF_050632355.1	225	1	True
GCF_050813845.1	226	1	True
GCF_050858985.1	227	1	True
GCF_050920555.1	11	7	False
GCF_050955445.1	228	1	True
GCF_050990585.1	229	1	True
GCF_050990595.1	230	1	True
GCF_051027425.1	37	2	False
GCF_051124805.1	25	4	True
GCF_051125205.1	25	4	False
GCF_051125215.1	25	4	False
GCF_051125545.1	25	4	False
GCF_051355645.1	39	2	False
GCF_051560065.1	0	233	False
GCF_051560085.1	0	233	False
GCF_051560105.1	0	233	False
GCF_051560125.1	0	233	False
GCF_051560145.1	0	233	False
GCF_051615025.1	231	1	True
GCF_052222725.1	11	7	False
GCF_052854005.1	0	233	False
GCF_052854015.1	0	233	False
GCF_052854305.1	0	233	False
GCF_052854315.1	0	233	False
GCF_052854605.1	0	233	False
GCF_052854615.1	0	233	False
GCF_052854885.1	0	233	False
GCF_052854895.1	0	233	False
GCF_052855305.1	0	233	False
GCF_052855315.1	0	233	False
GCF_052855605.1	0	233	False
GCF_052855615.1	0	233	False
GCF_052855985.1	0	233	False
GCF_052856205.1	0	233	False
GCF_052857015.1	0	233	False
GCF_052857225.1	0	233	False
GCF_052857935.1	0	233	False
GCF_052858145.1	0	233	False
GCF_052858685.1	0	233	False
GCF_052858755.1	0	233	False
GCF_053038975.1	56	2	True
GCF_053153985.1	6	13	False
GCF_053209605.1	56	2	False
GCF_053348855.1	232	1	True
GCF_053470105.1	11	7	False
GCF_053470145.1	11	7	False
GCF_053760385.1	233	1	True
GCF_054073385.1	57	2	True
GCF_054073395.1	57	2	False
GCF_054166125.1	35	3	True
GCF_054166145.1	234	1	True
GCF_054166155.1	35	3	False
GCF_054166185.1	235	1	True
GCF_054166195.1	236	1	True
GCF_054166225.1	58	2	True
GCF_054166245.1	35	3	False
GCF_054166265.1	58	2	False
GCF_054187845.1	9	8	False
GCF_054558305.1	5	13	False
GCF_054955335.1	5	13	False
GCF_055386035.1	9	8	False
GCF_055387925.1	0	233	False
GCF_055391905.1	237	1	True
GCF_055397325.1	33	3	False
GCF_055397665.1	0	233	False
GCF_055397955.1	8	8	False
GCF_055810255.1	3	26	False
GCF_056270685.1	36	3	True
GCF_056591095.1	238	1	True
GCF_056640905.1	239	1	True
GCF_056783395.1	240	1	True
GCF_056847505.1	241	1	True
GCF_056867595.1	41	2	False
GCF_056868365.1	242	1	True
GCF_056868375.1	243	1	True
GCF_056880615.1	54	2	False
GCF_057005415.2	244	1	True
GCF_057369595.1	10	8	False
GCF_057439935.1	10	8	False
GCF_057587595.1	36	3	False
GCF_057612605.2	245	1	True
GCF_057748135.1	36	3	False
GCF_058448765.1	9	8	False
GCF_059089405.1	246	1	True
GCF_059622985.1	247	1	True
GCF_902141795.1	0	233	False
GCF_902141815.1	0	233	False
GCF_902141835.1	0	233	False
GCF_902459535.1	248	1	True
GCF_904865725.1	4	20	False
GCF_905400185.1	22	4	False
GCF_939576165.1	0	233	False
GCF_964026365.1	59	2	True
GCF_964261745.1	59	2	False
GCF_964264985.1	249	1	True
GCF_964264995.1	60	2	True
GCF_964265005.1	60	2	False
GCF_964265015.1	250	1	True
GCF_964265025.1	251	1	True
GCF_965118185.1	252	1	True
GCF_965199385.1	0	233	False
GCF_965199395.1	0	233	False
GCF_965199405.1	0	233	False
GCF_965199425.1	0	233	False
GCF_965199435.1	0	233	False
GCF_965199445.1	0	233	False
GCF_965199455.1	0	233	False
GCF_965199515.1	0	233	False
GCF_965199545.1	0	233	False
GCF_965199625.1	0	233	False
GCF_965199835.1	0	233	False
GCF_965199925.1	0	233	False
GCF_965201125.1	0	233	False
GCF_965202565.1	0	233	False
GCF_965211575.1	0	233	False
GCF_965211595.1	0	233	False
GCF_980295165.1	0	233	False
GCF_980300355.1	0	233	False
GCF_980300905.1	0	233	False
GCF_980300945.1	0	233	False
GCF_980300965.1	0	233	False
GCF_984667665.1	10	8	False
GCF_984667675.1	7	11	True
GCF_984667725.1	61	2	True
GCF_984667835.1	7	11	False
GCF_984667895.1	7	11	False
GCF_984667945.1	7	11	False
GCF_984667955.1	7	11	False
GCF_984667975.1	19	5	True
GCF_984668005.1	7	11	False
GCF_984668195.1	19	5	False
GCF_984668265.1	10	8	False
GCF_984668355.1	19	5	False
GCF_984668395.1	61	2	False
GCF_984668525.1	253	1	True
GCF_984669265.1	254	1	True
GCF_984669325.1	19	5	False
GCF_984669335.1	7	11	False
GCF_984669415.1	7	11	False
GCF_984669565.1	10	8	False
GCF_984669585.1	7	11	False
GCF_984669685.1	7	11	False
GCF_984669705.1	255	1	True
GCF_984671675.1	19	5	False
GCF_984671695.1	7	11	False
MF6	22	4	False
MF7	22	4	False
