accession	contig	length	secondary_rank	n_orthogroups	c3_content	c2_content	c3_score	replicon_class	is_c3
GCF_000260515.1	NC_017832.1	3138747	1	1384	0.0434	0.2512	-0.2078	other_megaplasmid	False
GCF_000262695.1	NC_017921.1	2356985	1	1665	0.0026	0.3634	-0.3609	chromosome2	False
GCF_000262695.1	NC_017922.1	1082410	2	644	0.2720	0.0085	0.2635	c3	True
GCF_000292915.1	NC_018514.1	3003666	1	2134	0.0051	0.4934	-0.4883	chromosome2	False
GCF_000294635.1	NC_018529.1	3153284	1	1379	0.0421	0.2523	-0.2102	other_megaplasmid	False
GCF_000300095.1	NC_018672.1	2713495	1	1655	0.0473	0.2575	-0.2103	other_megaplasmid	False
GCF_000300095.1	NC_018696.1	785419	2	137	0.0115	0.0093	0.0022	other_megaplasmid	False
GCF_000385525.1	NC_021174.1	2763585	1	1335	0.0243	0.2441	-0.2199	other_megaplasmid	False
GCF_000402035.1	NC_021294.1	1465356	1	757	0.0255	0.1316	-0.1061	other_megaplasmid	False
GCF_000402035.1	NC_021289.1	1275199	2	504	0.0102	0.0575	-0.0473	other_megaplasmid	False
GCF_000402035.1	NC_021288.1	900830	3	290	0.0268	0.0320	-0.0052	other_megaplasmid	False
GCF_000402035.1	NC_021295.1	309692	4	53	0.0064	0.0049	0.0015	other_megaplasmid	False
GCF_000439695.1	NC_021877.1	3373917	1	1427	0.0434	0.2540	-0.2105	other_megaplasmid	False
GCF_000494855.1	NC_022658.1	3340068	1	1391	0.0434	0.2510	-0.2075	other_megaplasmid	False
GCF_000511895.1	NZ_CP004002.1	3361913	1	1410	0.0421	0.2548	-0.2126	other_megaplasmid	False
GCF_000511915.1	NZ_CP004004.1	3245956	1	1395	0.0434	0.2529	-0.2095	other_megaplasmid	False
GCF_000520895.1	NZ_CP004024.1	3248143	1	1393	0.0434	0.2521	-0.2086	other_megaplasmid	False
GCF_000521645.1	NZ_CP004043.1	3245118	1	1398	0.0434	0.2529	-0.2095	other_megaplasmid	False
GCF_000522545.2	NZ_CP012747.1	3352623	1	1504	0.0460	0.2548	-0.2088	other_megaplasmid	False
GCF_000522545.2	NZ_CP012748.1	2555069	2	889	0.0485	0.0632	-0.0147	other_megaplasmid	False
GCF_000567905.1	NZ_CP004090.1	2940942	1	1316	0.0179	0.2510	-0.2331	other_megaplasmid	False
GCF_000567925.1	NZ_CP004098.1	2914718	1	1320	0.0179	0.2529	-0.2350	other_megaplasmid	False
GCF_000567945.1	NZ_CP004118.1	2852101	1	1291	0.0179	0.2460	-0.2282	other_megaplasmid	False
GCF_000583835.1	NZ_CP004369.1	3391010	1	1422	0.0421	0.2537	-0.2115	other_megaplasmid	False
GCF_000701165.1	NZ_CP013731.1	3400736	1	2703	0.0000	0.6453	-0.6453	chromosome2	False
GCF_000701165.1	NZ_CP013732.1	1290392	2	760	0.4789	0.0022	0.4767	c3	True
GCF_000705535.2	NZ_CP072521.1	3012498	1	2404	0.0077	0.5454	-0.5378	chromosome2	False
GCF_000705535.2	NZ_CP072522.1	1448576	2	923	0.4176	0.0082	0.4094	c3	True
GCF_000706745.1	NZ_CP004384.1	2821713	1	1293	0.0179	0.2477	-0.2298	other_megaplasmid	False
GCF_000755725.1	NZ_CP007784.1	3209624	1	2248	0.0153	0.5030	-0.4877	chromosome2	False
GCF_000755725.1	NZ_CP007782.1	1166794	2	702	0.3180	0.0257	0.2923	c3	True
GCF_000755765.1	NZ_CP009210.1	3386014	1	1429	0.0434	0.2551	-0.2116	other_megaplasmid	False
GCF_000755785.1	NZ_CP009147.1	2325354	1	1049	0.0192	0.2088	-0.1897	other_megaplasmid	False
GCF_000755805.1	NZ_CP007786.1	3206581	1	2497	0.0077	0.5632	-0.5556	chromosome2	False
GCF_000755805.1	NZ_CP007785.1	1180302	2	830	0.4368	0.0036	0.4332	c3	True
GCF_000755825.1	NZ_CP009127.1	3214293	1	1388	0.0447	0.2518	-0.2071	other_megaplasmid	False
GCF_000755845.1	NZ_CP008710.1	2146721	1	945	0.0179	0.1905	-0.1726	other_megaplasmid	False
GCF_000755865.1	NZ_CP008705.1	2093560	1	954	0.0179	0.1861	-0.1682	other_megaplasmid	False
GCF_000755885.1	NZ_CP008722.1	2096906	1	952	0.0179	0.1861	-0.1682	other_megaplasmid	False
GCF_000755905.1	NZ_CP008893.1	3194122	1	1395	0.0447	0.2521	-0.2074	other_megaplasmid	False
GCF_000755925.1	NZ_CP008912.1	3200711	1	1397	0.0434	0.2540	-0.2105	other_megaplasmid	False
GCF_000755945.1	NZ_CP008891.1	3146583	1	1389	0.0447	0.2521	-0.2074	other_megaplasmid	False
GCF_000755965.1	NZ_CP008910.1	3236215	1	1396	0.0434	0.2534	-0.2100	other_megaplasmid	False
GCF_000755985.1	NZ_CP008727.1	3121665	1	1435	0.0281	0.2644	-0.2363	other_megaplasmid	False
GCF_000756005.1	NZ_CP008729.1	2541526	1	1832	0.0051	0.4119	-0.4068	chromosome2	False
GCF_000756005.1	NZ_CP008728.1	1136655	2	626	0.2593	0.0088	0.2505	c3	True
GCF_000756025.1	NZ_CP008731.1	2321567	1	1046	0.0192	0.2077	-0.1886	other_megaplasmid	False
GCF_000756045.1	NZ_CP008762.1	3363006	1	1626	0.0204	0.2682	-0.2478	other_megaplasmid	False
GCF_000756045.1	NZ_CP008761.1	1471816	2	366	0.0294	0.0263	0.0031	other_megaplasmid	False
GCF_000756065.1	NZ_CP008783.1	3236977	1	1397	0.0434	0.2537	-0.2103	other_megaplasmid	False
GCF_000756085.1	NZ_CP008835.1	3138647	1	1384	0.0434	0.2512	-0.2078	other_megaplasmid	False
GCF_000756125.1	NZ_CP008782.1	3100174	1	1383	0.0421	0.2526	-0.2105	other_megaplasmid	False
GCF_000756145.1	NZ_CP008759.1	3102140	1	1380	0.0421	0.2523	-0.2102	other_megaplasmid	False
GCF_000756165.1	NZ_CP008779.1	3008404	1	1336	0.0396	0.2449	-0.2053	other_megaplasmid	False
GCF_000756185.1	NZ_CP008778.1	3244818	1	1398	0.0447	0.2512	-0.2065	other_megaplasmid	False
GCF_000757015.2	NZ_CP009586.1	3225565	1	1407	0.0434	0.2548	-0.2114	other_megaplasmid	False
GCF_000757035.2	NZ_CP009898.1	3184745	1	1385	0.0434	0.2521	-0.2086	other_megaplasmid	False
GCF_000762285.1	NZ_CP007801.1	2351417	1	1056	0.0192	0.2096	-0.1905	other_megaplasmid	False
GCF_000764575.1	NZ_CP004378.1	3248948	1	1403	0.0460	0.2545	-0.2085	other_megaplasmid	False
GCF_000764595.1	NZ_CP004386.1	2823176	1	1295	0.0179	0.2477	-0.2298	other_megaplasmid	False
GCF_000764955.1	NZ_CP007780.1	2375865	1	1810	0.0026	0.4070	-0.4044	chromosome2	False
GCF_000764955.1	NZ_CP007779.1	994670	2	704	0.3244	0.0077	0.3167	c3	True
GCF_000765375.1	NZ_CP004382.1	2870750	1	1309	0.0179	0.2496	-0.2317	other_megaplasmid	False
GCF_000770395.1	NZ_CP009234.1	3194326	1	1395	0.0434	0.2518	-0.2084	other_megaplasmid	False
GCF_000770455.1	NZ_CP009150.1	3256009	1	1392	0.0460	0.2512	-0.2053	other_megaplasmid	False
GCF_000770495.1	NZ_CP009160.1	3227179	1	1385	0.0409	0.2521	-0.2112	other_megaplasmid	False
GCF_000770515.1	NZ_CP009163.1	3327069	1	1391	0.0434	0.2515	-0.2081	other_megaplasmid	False
GCF_000770535.1	NZ_CP009164.1	3263576	1	1394	0.0460	0.2515	-0.2055	other_megaplasmid	False
GCF_000770565.1	NZ_CP009156.1	3267160	1	1390	0.0434	0.2507	-0.2073	other_megaplasmid	False
GCF_000808035.2	NZ_CP008915.2	2966450	1	1336	0.0179	0.2542	-0.2364	other_megaplasmid	False
GCF_000828875.1	NZ_AP014577.1	1787110	1	813	0.0281	0.1355	-0.1074	other_megaplasmid	False
GCF_000828875.1	NZ_AP014578.1	1680600	2	473	0.0281	0.0432	-0.0151	other_megaplasmid	False
GCF_000828875.1	NZ_AP014579.1	1438033	3	501	0.0498	0.0542	-0.0044	other_megaplasmid	False
GCF_000828875.1	NZ_AP014580.1	495745	4	83	0.0064	0.0036	0.0028	other_megaplasmid	False
GCF_000835205.1	NZ_CP002581.1	3732771	1	1576	0.0868	0.2504	-0.1636	other_megaplasmid	False
GCF_000953095.1	NZ_LK936443.1	3117372	1	1384	0.0447	0.2523	-0.2076	other_megaplasmid	False
GCF_000954175.1	NZ_CP010974.1	3039355	1	1366	0.0447	0.2471	-0.2024	other_megaplasmid	False
GCF_000959125.1	NZ_CP004380.1	3145454	1	1382	0.0434	0.2507	-0.2073	other_megaplasmid	False
GCF_000959145.1	NZ_CP009297.1	3216446	1	1390	0.0447	0.2526	-0.2079	other_megaplasmid	False
GCF_000959165.1	NZ_CP009338.1	2284094	1	1026	0.0166	0.2085	-0.1919	other_megaplasmid	False
GCF_000959185.1	NZ_CP009473.1	3108026	1	1388	0.0460	0.2512	-0.2053	other_megaplasmid	False
GCF_000959205.1	NZ_CP009484.1	3267445	1	1411	0.0434	0.2556	-0.2122	other_megaplasmid	False
GCF_000959225.1	NZ_CP009477.1	3205965	1	1398	0.0434	0.2518	-0.2084	other_megaplasmid	False
GCF_000959245.1	NZ_CP009486.1	2722556	1	1903	0.0089	0.3998	-0.3909	chromosome2	False
GCF_000959245.1	NZ_CP009487.1	920205	2	426	0.1469	0.0066	0.1403	other_megaplasmid	False
GCF_000959265.1	NZ_CP009536.1	3260260	1	1390	0.0447	0.2515	-0.2068	other_megaplasmid	False
GCF_000959285.1	NZ_CP009537.1	3173067	1	1397	0.0447	0.2540	-0.2093	other_megaplasmid	False
GCF_000959305.1	NZ_CP009546.1	3127457	1	1373	0.0447	0.2493	-0.2046	other_megaplasmid	False
GCF_000959325.1	NZ_CP009548.1	2913181	1	1368	0.0230	0.2493	-0.2263	other_megaplasmid	False
GCF_000959325.1	NZ_CP009547.1	305110	2	59	0.0077	0.0049	0.0027	other_megaplasmid	False
GCF_000959345.1	NZ_CP009550.1	3190204	1	1393	0.0434	0.2521	-0.2086	other_megaplasmid	False
GCF_000959365.1	NZ_CP009556.1	3002987	1	1440	0.0307	0.2660	-0.2354	other_megaplasmid	False
GCF_000959405.1	NZ_CP009588.1	2353260	1	1058	0.0192	0.2096	-0.1905	other_megaplasmid	False
GCF_000959425.1	NZ_CP009602.1	2914772	1	1323	0.0179	0.2534	-0.2355	other_megaplasmid	False
GCF_000959445.1	NZ_CP009630.1	2262093	1	1629	0.0026	0.3604	-0.3579	other_megaplasmid	False
GCF_000959445.1	NZ_CP009632.1	1248367	2	716	0.2925	0.0041	0.2884	c3	True
GCF_000959465.1	NZ_CP009643.1	2126012	1	978	0.0192	0.1921	-0.1730	other_megaplasmid	False
GCF_000959485.1	NZ_CP009708.1	1858539	1	873	0.0064	0.1877	-0.1814	other_megaplasmid	False
GCF_000959505.1	NZ_CP009793.1	2168075	1	1542	0.0013	0.3539	-0.3526	other_megaplasmid	False
GCF_000959505.1	NZ_CP009794.1	834424	2	538	0.2184	0.0044	0.2140	c3	True
GCF_000959525.1	NZ_CP009831.1	2344193	1	1785	0.0000	0.3903	-0.3903	chromosome2	False
GCF_000959525.1	NZ_CP009830.1	550289	2	431	0.2439	0.0016	0.2423	c3	True
GCF_000959545.1	NZ_CP009799.1	2646970	1	2108	0.0013	0.4817	-0.4804	chromosome2	False
GCF_000959545.1	NZ_CP009800.1	1281472	2	877	0.4049	0.0025	0.4024	c3	True
GCF_000959605.1	NZ_CP010018.1	2897757	1	1292	0.0179	0.2488	-0.2309	other_megaplasmid	False
GCF_000959605.1	NZ_CP010016.1	326388	2	54	0.0013	0.0033	-0.0020	other_megaplasmid	False
GCF_000959625.1	NZ_CP010066.1	2237503	1	989	0.0192	0.1946	-0.1754	other_megaplasmid	False
GCF_000959725.1	NZ_CP009322.1	3927513	1	1731	0.1303	0.2734	-0.1431	other_megaplasmid	False
GCF_000960995.1	NZ_CP009434.1	2820414	1	1295	0.0779	0.1990	-0.1211	other_megaplasmid	False
GCF_000961515.1	NZ_CP010027.1	3508455	1	1908	0.0383	0.3268	-0.2885	other_megaplasmid	False
GCF_000961515.1	NZ_CP010025.1	650149	2	148	0.0089	0.0112	-0.0023	other_megaplasmid	False
GCF_000961515.1	NZ_CP010024.1	437218	3	75	0.0038	0.0074	-0.0036	other_megaplasmid	False
GCF_001028665.1	NZ_CP011504.1	3214754	1	2451	0.0051	0.5624	-0.5573	chromosome2	False
GCF_001028665.1	NZ_CP011505.1	1049005	2	744	0.4291	0.0014	0.4278	c3	True
GCF_001029145.1	NZ_CP009743.1	3522585	1	1759	0.0128	0.3758	-0.3630	chromosome2	False
GCF_001029145.1	NZ_CP009745.1	1627712	2	1007	0.5172	0.0030	0.5142	c3	True
GCF_001277875.1	NZ_CP012516.1	3228004	1	1385	0.0460	0.2518	-0.2058	other_megaplasmid	False
GCF_001277895.1	NZ_CP012518.1	3227965	1	1376	0.0460	0.2507	-0.2047	other_megaplasmid	False
GCF_001277975.1	NZ_CP012577.1	3156645	1	1386	0.0434	0.2515	-0.2081	other_megaplasmid	False
GCF_001293045.1	NZ_CP012193.1	3124497	1	1772	0.0358	0.2715	-0.2357	other_megaplasmid	False
GCF_001318245.1	NZ_CP012042.1	3147816	1	1376	0.0447	0.2510	-0.2063	other_megaplasmid	False
GCF_001411495.1	NZ_CP012982.1	3408190	1	2709	0.0000	0.6308	-0.6308	chromosome2	False
GCF_001411495.1	NZ_CP012983.1	1196214	2	929	0.4981	0.0003	0.4978	c3	True
GCF_001411805.1	NZ_CP007213.1	3743649	1	1601	0.0894	0.2521	-0.1627	other_megaplasmid	False
GCF_001449005.1	NZ_CP013103.1	2890272	1	1520	0.0460	0.2551	-0.2091	other_megaplasmid	False
GCF_001449005.1	NZ_CP013104.1	2011268	2	801	0.0511	0.0498	0.0013	other_megaplasmid	False
GCF_001449005.1	NZ_CP013105.1	442452	3	71	0.0013	0.0066	-0.0053	other_megaplasmid	False
GCF_001484665.1	NZ_CP011918.1	3086109	1	2403	0.0013	0.5383	-0.5370	chromosome2	False
GCF_001484665.1	NZ_CP011919.1	989585	2	742	0.4215	0.0014	0.4201	c3	True
GCF_001513745.1	NZ_CP013382.1	2913543	1	1372	0.0230	0.2501	-0.2271	other_megaplasmid	False
GCF_001513745.1	NZ_CP013381.1	305114	2	59	0.0077	0.0049	0.0027	other_megaplasmid	False
GCF_001522105.2	NZ_CP013356.1	3126684	1	1442	0.0268	0.2655	-0.2386	other_megaplasmid	False
GCF_001522135.2	NZ_CP013359.1	3003039	1	1441	0.0307	0.2663	-0.2356	other_megaplasmid	False
GCF_001522585.2	NZ_CP013372.1	2801147	1	2185	0.0000	0.5055	-0.5055	chromosome2	False
GCF_001522585.2	NZ_CP013374.1	851421	2	665	0.3972	0.0008	0.3964	c3	True
GCF_001522635.2	NZ_CP013388.1	2917588	1	1345	0.0345	0.2496	-0.2151	other_megaplasmid	False
GCF_001523745.2	NZ_CP013387.1	2752114	1	1251	0.0217	0.2291	-0.2074	other_megaplasmid	False
GCF_001523915.2	NZ_CP013383.1	2709855	1	2045	0.0051	0.4770	-0.4719	chromosome2	False
GCF_001523915.2	NZ_CP013385.1	974331	2	668	0.2874	0.0022	0.2852	c3	True
GCF_001524445.2	NZ_CP013418.1	2824254	1	1310	0.0153	0.2471	-0.2318	other_megaplasmid	False
GCF_001524445.2	NZ_CP013419.1	375023	2	42	0.0038	0.0008	0.0030	other_megaplasmid	False
GCF_001524625.2	NZ_CP013425.1	2934072	1	1362	0.0166	0.2537	-0.2371	other_megaplasmid	False
GCF_001524645.2	NZ_CP013428.1	2473077	1	2011	0.0013	0.4803	-0.4790	chromosome2	False
GCF_001524645.2	NZ_CP013429.1	1059546	2	730	0.2963	0.0038	0.2925	c3	True
GCF_001532025.2	NZ_CP013458.1	2832141	1	1339	0.0140	0.2512	-0.2372	other_megaplasmid	False
GCF_001557535.2	NZ_CP014315.1	1623425	1	604	0.0255	0.0747	-0.0492	other_megaplasmid	False
GCF_001557535.2	NZ_CP014307.1	1611937	2	806	0.0217	0.1212	-0.0995	other_megaplasmid	False
GCF_001557535.2	NZ_CP014309.1	793876	3	125	0.0089	0.0137	-0.0047	other_megaplasmid	False
GCF_001557535.2	NZ_CP014308.1	793818	4	122	0.0089	0.0134	-0.0045	other_megaplasmid	False
GCF_001557535.2	NZ_CP014310.1	601076	5	109	0.0013	0.0104	-0.0091	other_megaplasmid	False
GCF_001577465.1	NZ_CP014506.1	1696029	1	632	0.0268	0.0777	-0.0509	other_megaplasmid	False
GCF_001577465.1	NZ_CP014507.1	1495500	2	772	0.0217	0.1199	-0.0982	other_megaplasmid	False
GCF_001606115.1	NZ_CP015034.1	3107451	1	2492	0.0026	0.5640	-0.5615	chromosome2	False
GCF_001606115.1	NZ_CP015035.1	1271875	2	856	0.4253	0.0071	0.4182	c3	True
GCF_001606135.1	NZ_CP015037.1	1072666	1	798	0.4202	0.0041	0.4161	c3	True
GCF_001611015.1	NZ_CP013348.1	3049409	1	1546	0.0460	0.2586	-0.2126	other_megaplasmid	False
GCF_001611015.1	NZ_CP013349.1	2576584	2	866	0.0562	0.0534	0.0028	other_megaplasmid	False
GCF_001634365.1	NZ_CP014579.1	3497621	1	1370	0.0473	0.2326	-0.1854	other_megaplasmid	False
GCF_001695715.1	NZ_CP016639.1	3256300	1	1391	0.0460	0.2499	-0.2039	other_megaplasmid	False
GCF_001695735.1	NZ_CP016637.1	3254339	1	1377	0.0460	0.2469	-0.2009	other_megaplasmid	False
GCF_001718295.1	NZ_CP013361.1	2966282	1	1337	0.0179	0.2540	-0.2361	other_megaplasmid	False
GCF_001718315.1	NZ_CP013363.1	2619120	1	1981	0.0013	0.4691	-0.4678	chromosome2	False
GCF_001718315.1	NZ_CP013364.1	905345	2	663	0.3001	0.0016	0.2985	c3	True
GCF_001718335.1	NZ_CP013365.1	2466714	1	1978	0.0038	0.4633	-0.4595	chromosome2	False
GCF_001718335.1	NZ_CP013367.1	1014635	2	689	0.2861	0.0005	0.2855	c3	True
GCF_001718355.1	NZ_CP013371.1	3052802	1	2134	0.0204	0.4477	-0.4273	chromosome2	False
GCF_001718355.1	NZ_CP013368.1	925790	2	455	0.1660	0.0077	0.1584	c3	True
GCF_001718395.1	NZ_CP013376.1	3608925	1	2841	0.0447	0.6366	-0.5919	chromosome2	False
GCF_001718415.1	NZ_CP013377.1	2995708	1	2242	0.0255	0.5014	-0.4758	chromosome2	False
GCF_001718495.1	NZ_CP013394.1	2428798	1	1672	0.0051	0.3582	-0.3531	other_megaplasmid	False
GCF_001718495.1	NZ_CP013395.1	1129355	2	674	0.2937	0.0025	0.2913	c3	True
GCF_001718515.1	NZ_CP013396.1	2869430	1	2277	0.0013	0.5342	-0.5329	chromosome2	False
GCF_001718535.1	NZ_CP013400.1	3050136	1	2413	0.0064	0.5479	-0.5415	chromosome2	False
GCF_001718535.1	NZ_CP013399.1	1093546	2	838	0.4100	0.0060	0.4039	c3	True
GCF_001718555.1	NZ_CP013403.1	2967116	1	2321	0.0089	0.5394	-0.5305	chromosome2	False
GCF_001718555.1	NZ_CP013402.1	900512	2	668	0.3934	0.0038	0.3895	c3	True
GCF_001718575.1	NZ_CP013406.1	3386917	1	2621	0.0013	0.6076	-0.6063	chromosome2	False
GCF_001718575.1	NZ_CP013405.1	1211521	2	865	0.4904	0.0022	0.4882	c3	True
GCF_001718595.1	NZ_CP013408.1	2822193	1	1297	0.0179	0.2479	-0.2301	other_megaplasmid	False
GCF_001718615.1	NZ_CP013410.1	2940149	1	1313	0.0179	0.2504	-0.2325	other_megaplasmid	False
GCF_001718635.1	NZ_CP013413.1	2895326	1	1294	0.0179	0.2488	-0.2309	other_megaplasmid	False
GCF_001718655.1	NZ_CP013416.1	3000610	1	2088	0.0153	0.4458	-0.4305	chromosome2	False
GCF_001718695.1	NZ_CP013422.1	2186651	1	1552	0.0026	0.3473	-0.3447	other_megaplasmid	False
GCF_001718695.1	NZ_CP013421.1	1229847	2	698	0.2746	0.0052	0.2694	c3	True
GCF_001718755.1	NZ_CP013431.1	2533520	1	1825	0.0013	0.3963	-0.3950	chromosome2	False
GCF_001718755.1	NZ_CP013432.1	561709	2	430	0.2465	0.0022	0.2443	c3	True
GCF_001718775.1	NZ_CP013434.1	1257529	1	713	0.2950	0.0047	0.2904	c3	True
