accession	strain	parent_accession	parent_strain	bioproject	bioproject_title	assembly_level	n_contigs	reason
GCF_905400425.1	R-75602	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	28	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400435.1	R-75600	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	38	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400445.1	R-75601	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	34	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400455.1	R-75714	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	30	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400465.1	R-75598	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	30	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400475.1	R-75722	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	34	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400485.1	R-75719	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	29	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400495.1	R-75721	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	29	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400505.1	R-75718	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	87	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400515.1	R-75716	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	85	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400525.1	R-75717	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	30	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400535.1	R-75723	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	34	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400545.1	R-75720	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	32	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400555.1	R-75724	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	29	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400565.1	R-75725	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	36	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400575.1	R-75726	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	29	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
