orthogroup	n_genomes	frac_on_c3
GCF_029536165.1|NZ_CP120509.1|IJJJNO_04287	54	0.9074
GCF_029536165.1|NZ_CP120509.1|IJJJNO_04343	131	0.2227
GCF_029633645.1|NZ_CP090633.1|KOLAIA_04659	112	0.0088
GCF_029910195.1|NZ_CP110394.1|AEIAGP_07535	133	0.0296
GCF_030297335.1|NZ_AP028087.1|FLPDKF_04499	27	0.8214
GCF_030374675.1|NZ_CP126320.1|IAEJEF_01385	41	0.0000
GCF_030374675.1|NZ_CP126320.1|IAEJEF_01412	60	0.0000
GCF_030848725.1|NZ_CP132923.1|DAFIMF_04872	95	0.0206
GCF_030848725.1|NZ_CP132923.1|DAFIMF_04894	123	0.3261
GCF_031585635.1|NZ_CP134196.1|EEDMGB_06020	21	0.0455
GCF_032806925.1|NZ_CP136512.1|HHDGBH_04892	12	0.4615
GCF_033391855.2|NZ_CM138822.1|KEADHF_01964	12	0.3333
GCF_033391855.2|NZ_CM138825.1|KEADHF_08516	50	0.9200
GCF_033870355.1|NZ_CP124605.1|FNHLBI_02710	11	0.0000
GCF_034424545.1|NZ_CP139971.1|MDHFGH_05349	16	0.4375
GCF_036362805.1|NZ_CP143590.1|PNOCOD_03227	54	0.0370
GCF_038050405.1|NZ_CP150901.1|PAEKDM_04363	89	0.7921
GCF_038050405.1|NZ_CP150901.1|PAEKDM_04406	13	0.2857
GCF_038050405.1|NZ_CP150901.1|PAEKDM_04444	110	0.9273
GCF_038723655.1|NZ_CP109822.1|PLNHJK_05499	99	0.0202
GCF_039852015.1|NZ_CP156627.1|LINCGO_04081	26	0.3077
GCF_039852015.1|NZ_CP156627.1|LINCGO_04116	13	0.0769
GCF_040361905.1|NZ_AP029616.1|ECPMPD_07970	120	0.0167
GCF_040361905.1|NZ_AP029616.1|ECPMPD_07987	64	0.0156
GCF_040761425.1|NZ_CP142889.1|ANFEBE_06989	100	0.8900
GCF_040761425.1|NZ_CP142889.1|ANFEBE_07012	56	1.0000
GCF_041070875.1|NZ_CP163501.1|KGJBHC_06907	29	0.3000
GCF_043193125.1|NZ_CP142982.1|DMHOIN_04753	131	0.0152
GCF_048565265.1|NZ_CP183462.1|OJJDKA_04465	108	0.0732
GCF_048627025.1|NZ_CP184470.1|CHIKBB_04047	95	1.0000
GCF_048917665.1|NZ_CP183170.1|JPPJFB_04650	94	0.9894
GCF_049913365.1|NZ_CP184382.1|JLBCGF_04080	17	0.6471
GCF_050430075.1|NZ_CP191272.1|KMOOAH_03752	87	0.6222
GCF_050990595.1|NZ_CP158828.1|NIBBDH_03997	52	0.6571
GCF_050990595.1|NZ_CP158830.1|NIBBDH_06557	13	0.5000
GCF_051124805.1|NZ_CP123188.1|ICMIHH_04520	116	0.0086
GCF_051124805.1|NZ_CP123188.1|ICMIHH_04526	119	0.0084
GCF_051124805.1|NZ_CP123188.1|ICMIHH_04543	117	0.0085
GCF_051124805.1|NZ_CP123188.1|ICMIHH_04568	15	0.0667
GCF_022879595.1|NZ_CP084268.1|AJMEPE_04393	108	0.2963
GCF_022879595.1|NZ_CP084268.1|AJMEPE_04433	13	0.1875
GCF_022879815.1|NZ_CP084286.1|DODOCL_04883	72	0.9452
GCF_023374375.1|NZ_CP090681.1|KBLDKK_04962	34	0.0556
GCF_024072595.1|NZ_CP099625.1|JCKLCH_05536	14	0.3571
GCF_024123895.1|NZ_CP099645.1|HAIOMA_05032	124	0.0323
GCF_024760585.1|NZ_CP033657.1|AMJOJE_04674	30	0.7333
GCF_024760585.1|NZ_CP033657.1|AMJOJE_04696	114	0.0259
GCF_025643515.1|NZ_CP102464.1|NCIJLD_06836	124	0.3351
GCF_025643515.1|NZ_CP102464.1|NCIJLD_06862	21	0.8571
GCF_026315005.1|NZ_CP111137.1|MEENHK_04825	129	0.0078
GCF_028473685.1|NZ_CP099395.1|GEMCOG_06790	96	0.0303
GCF_029536165.1|NZ_CP120509.1|IJJJNO_06129	13	0.0000
GCF_029633805.1|NZ_CP090636.1|IDAOHN_06269	132	0.0152
GCF_029910215.1|NZ_CP110396.1|AOJIKF_05553	38	0.5526
GCF_029962485.1|NZ_CP073638.1|GJHEFE_04763	19	0.0000
GCF_031356765.1|NZ_CP119874.1|JMMCCG_05054	14	0.0714
GCF_031585635.1|NZ_CP134197.1|EEDMGB_07026	117	0.0085
GCF_033391855.2|NZ_CM138825.1|KEADHF_08633	32	0.5000
GCF_033391855.2|NZ_CM138825.1|KEADHF_08648	34	0.4412
GCF_034047095.1|NZ_CP139164.1|FHPKOL_05285	90	0.0312
GCF_038050405.1|NZ_CP150901.1|PAEKDM_07021	65	0.0116
GCF_038452255.1|NZ_CP150851.1|FEMODJ_06835	11	0.4545
GCF_039621805.1|NZ_CP155075.1|MGLNLP_05446	11	0.0909
GCF_039621805.1|NZ_CP155075.1|MGLNLP_05447	15	0.0625
GCF_039621805.1|NZ_CP155075.1|MGLNLP_05473	36	0.8333
GCF_040761425.1|NZ_CP142885.1|ANFEBE_05276	23	1.0000
GCF_045345775.1|NZ_CP174277.1|OBMKLG_03448	15	0.0000
GCF_045925845.1|NZ_CP174522.1|HCEPFN_05025	115	0.0087
GCF_047497165.1|NZ_CP163164.1|CDDFIM_01777	121	0.0077
GCF_048627025.1|NZ_CP184469.1|CHIKBB_06666	15	0.0000
GCF_048627025.1|NZ_CP184469.1|CHIKBB_06681	44	0.0408
GCF_050430075.1|NZ_CP191272.1|KMOOAH_04536	14	0.3333
GCF_050500075.1|NZ_CP191365.1|EGBKKP_06882	57	0.3793
GCF_050500075.1|NZ_CP191365.1|EGBKKP_06926	79	0.1389
GCF_050632305.1|NZ_CP192558.1|JOABHI_07302	26	0.9615
GCF_050632325.1|NZ_CP192562.1|KHJMHK_07293	77	0.8182
GCF_050632325.1|NZ_CP192562.1|KHJMHK_07301	51	0.9216
GCF_050990595.1|NZ_CP158828.1|NIBBDH_04875	34	0.1143
GCF_050990595.1|NZ_CP158828.1|NIBBDH_04895	24	1.0000
GCF_050990595.1|NZ_CP158828.1|NIBBDH_04897	27	0.8621
GCF_050990595.1|NZ_CP158828.1|NIBBDH_04908	114	0.0088
GCF_050990595.1|NZ_CP158828.1|NIBBDH_04932	118	0.0922
GCF_051124805.1|NZ_CP123188.1|ICMIHH_03586	134	0.0149
GCF_053209605.1|NZ_CP199987.1|GFFINM_06201	36	0.9722
GCF_054166195.1|NZ_CM135123.1|KDOAHI_00637	20	0.2500
GCF_055391905.1|NZ_AP043693.1|FHKAOC_04465	10	0.1538
GCF_055391905.1|NZ_AP043693.1|FHKAOC_04494	134	0.0149
GCF_056640905.1|NZ_CM153255.1|BNHNAF_04483	29	0.4483
GCF_057748135.1|NZ_CM173239.1|AGACDF_05415	117	0.0171
GCF_057748135.1|NZ_CM173239.1|AGACDF_05416	127	0.0078
GCF_059089405.1|NZ_CM180998.1|EGMCAA_04512	13	0.0769
GCF_059622985.1|NZ_CM184412.1|HDJAFC_07221	34	0.8824
GCF_964264985.1|NZ_OZ183793.1|PAHBGJ_03935	72	0.0000
GCF_964265015.1|NZ_OZ183806.1|ECGPLD_04271	10	0.0000
GCF_964265025.1|NZ_OZ183803.1|BIENCE_06014	36	0.0811
GCF_964265025.1|NZ_OZ183803.1|BIENCE_06057	12	0.0000
GCA_017356705.2|CP076288.1|GJFJFN_08300	116	0.0086
GCA_020887275.1|AP022307.1|IBAIBG_05326	32	0.4118
GCA_020887275.1|AP022307.1|IBAIBG_05327	29	0.3793
GCA_020887275.1|AP022307.1|IBAIBG_05392	11	0.0909
GCA_020887275.1|AP022307.1|IBAIBG_05395	10	0.0000
GCA_020887275.1|AP022307.1|IBAIBG_05396	11	0.1818
GCA_020887275.1|AP022308.1|IBAIBG_06610	65	0.0152
GCF_050990595.1|NZ_CP158828.1|NIBBDH_04378	109	0.0183
GCF_051124805.1|NZ_CP123188.1|ICMIHH_03906	14	0.2143
GCF_051124805.1|NZ_CP123189.1|ICMIHH_05689	101	0.3585
GCF_051124805.1|NZ_CP123189.1|ICMIHH_05727	84	0.9767
GCF_051124805.1|NZ_CP123189.1|ICMIHH_05778	64	0.0000
GCF_051560125.1|NZ_CM121442.1|LEOBOO_05577	50	0.0000
GCF_051615025.1|NZ_CP195131.1|DINHEO_00666	14	0.7857
GCF_051615025.1|NZ_CP195132.1|DINHEO_02127	15	0.0667
GCF_051615025.1|NZ_CP195132.1|DINHEO_03016	48	0.0208
GCF_051615025.1|NZ_CP195132.1|DINHEO_03053	20	0.3000
GCF_051615025.1|NZ_CP195132.1|DINHEO_03055	22	0.2727
GCF_051615025.1|NZ_CP195132.1|DINHEO_03056	21	0.2857
GCF_051615025.1|NZ_CP195132.1|DINHEO_03057	21	0.2857
GCF_051615025.1|NZ_CP195132.1|DINHEO_03060	21	0.2857
GCF_052856205.1|NZ_CP193460.1|HAGFJK_03683	117	0.2516
GCF_053038975.1|NZ_CP199961.1|AHCKDM_06045	134	0.0882
GCF_053153985.1|NZ_CP195306.1|PDLACF_05401	27	0.0667
GCF_053348855.1|NZ_CM130028.1|PBMDKP_04259	12	0.0000
GCF_053348855.1|NZ_CM130028.1|PBMDKP_05503	86	0.0116
GCF_053348855.1|NZ_CM130028.1|PBMDKP_05522	49	0.0204
GCF_053760385.1|NZ_CM132389.1|BDFOCJ_05129	40	0.0500
GCF_053760385.1|NZ_CM132390.1|BDFOCJ_06977	10	0.5000
GCF_053760385.1|NZ_CM132390.1|BDFOCJ_06980	99	0.5038
GCF_053760385.1|NZ_CM132390.1|BDFOCJ_06995	134	0.0824
GCF_054166125.1|NZ_CM135119.1|CFBHHE_00177	13	0.5000
GCF_054166125.1|NZ_JBSWBW010000002.1|CFBHHE_02653	77	0.5125
GCF_054166125.1|NZ_JBSWBW010000002.1|CFBHHE_02674	42	0.9048
GCF_054166185.1|NZ_CM135122.1|JAEKAK_00115	12	0.4167
GCF_054166185.1|NZ_CM135122.1|JAEKAK_00143	17	0.5294
GCF_054166225.1|NZ_CM135124.1|FOOHMG_01579	126	0.0079
GCF_054166225.1|NZ_CM135124.1|FOOHMG_01581	127	0.0079
GCF_054166265.1|NZ_CM135126.1|EBNNBK_02430	119	0.0167
GCF_055391905.1|NZ_AP043693.1|FHKAOC_04062	69	0.0145
GCF_055391905.1|NZ_AP043693.1|FHKAOC_04063	73	0.0548
GCF_055391905.1|NZ_AP043693.1|FHKAOC_04095	74	0.0533
GCF_055391905.1|NZ_AP043693.1|FHKAOC_04129	34	0.8824
GCF_056591095.1|NZ_CM152657.1|IFHPKL_00939	44	0.6364
GCF_056783395.1|NZ_CM165589.1|AJPELM_04480	118	0.0085
GCF_056783395.1|NZ_CM165589.1|AJPELM_04488	43	0.0000
GCF_030316075.1|NZ_CP128230.1|ABLKAE_02919	130	0.0154
GCF_030374675.1|NZ_CP126322.1|IAEJEF_06531	23	0.9565
GCF_030412785.1|NZ_CP125296.1|ODJFHO_06478	28	0.8929
GCF_030412785.1|NZ_CP125296.1|ODJFHO_06480	14	0.0000
GCF_031356765.1|NZ_CP119874.1|JMMCCG_04116	69	0.3803
GCF_031585635.1|NZ_CP134196.1|EEDMGB_05625	134	0.0149
GCF_031585635.1|NZ_CP134196.1|EEDMGB_05628	13	0.0000
GCF_031585635.1|NZ_CP134196.1|EEDMGB_05689	11	0.9091
GCF_031585635.1|NZ_CP134198.1|EEDMGB_07663	48	0.0625
GCF_031585635.1|NZ_CP134198.1|EEDMGB_07694	53	0.0182
GCF_032806925.1|NZ_CP136512.1|HHDGBH_05939	15	0.0000
GCF_033675325.1|NZ_QXCU01000002.1|LOOCEI_00676	13	0.0000
GCF_033675325.1|NZ_QXCU01000002.1|LOOCEI_02865	62	0.0000
GCF_033675325.1|NZ_QXCU01000002.1|LOOCEI_02902	59	0.0333
GCF_033870355.1|NZ_CP124605.1|FNHLBI_00299	57	0.9825
GCF_033870355.1|NZ_CP124605.1|FNHLBI_00305	57	0.9825
GCF_033870355.1|NZ_CP124605.1|FNHLBI_00309	33	0.9697
GCF_034047095.1|NZ_CP139166.1|FHPKOL_03281	136	0.0417
GCF_034424545.1|NZ_CP139971.1|MDHFGH_04934	123	0.1557
GCF_034424545.1|NZ_CP139971.1|MDHFGH_04948	21	0.0000
GCF_037055255.1|NZ_CP146377.1|EHEHHB_03539	109	0.0000
GCF_037055255.1|NZ_CP146377.1|EHEHHB_04903	115	0.0928
GCF_037101255.1|NZ_AP028997.1|HNPKNL_05795	10	0.2000
GCF_037101255.1|NZ_AP028998.1|HNPKNL_07805	21	0.2381
GCF_037477895.1|NZ_CP132745.1|DJLMGD_02818	132	0.0150
GCF_037478065.1|NZ_CP062175.1|ADNPGC_02777	31	0.1944
