genome	model	candidate	n_genes	genes	loci	reason
GCF_905400185.1	T3SS	GCF_905400185.1_pC3_T3SS_3	2	Flg_flgC,Flg_flgB	DKPOPA_06998,DKPOPA_06999	There is 2 forbidden genes occurrence(s): Flg_flgC, Flg_flgB/The quorum of mandatory genes required (7) is not reached: 0/The quorum of genes required (7) is not reached: 0
GCF_905400185.1	T6SSi	GCF_905400185.1_pC3_T6SSi_4	3	T6SSi_evpJ,T6SSi_tssI,T6SSi_tssF	DKPOPA_07100,DKPOPA_07104,DKPOPA_07105	The quorum of mandatory genes required (11) is not reached: 3/The quorum of genes required (11) is not reached: 3
MF6	T1SS	MF6_pC3_T1SS_1	2	T1SS_mfp,T1SS_omf	CFFIHE_03718,CFFIHE_03719	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (3) is not reached: 2
MF6	T1SS	MF6_pC3_T1SS_2	1	T1SS_omf	CFFIHE_04367	The quorum of mandatory genes required (3) is not reached: 1/The quorum of genes required (3) is not reached: 1
MF6	T3SS	MF6_pC3_T3SS_3	2	Flg_flgC,Flg_flgB	CFFIHE_04189,CFFIHE_04190	There is 2 forbidden genes occurrence(s): Flg_flgC, Flg_flgB/The quorum of mandatory genes required (7) is not reached: 0/The quorum of genes required (7) is not reached: 0
MF6	T6SSi	MF6_pC3_T6SSi_4	3	T6SSi_evpJ,T6SSi_tssI,T6SSi_tssF	CFFIHE_04290,CFFIHE_04294,CFFIHE_04295	The quorum of mandatory genes required (11) is not reached: 3/The quorum of genes required (11) is not reached: 3
MF7	T1SS	MF7_c1_T1SS_1/c1	2	T1SS_omf,T1SS_mfp	EFEKAH_07384,EFEKAH_07385	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (3) is not reached: 2
MF7	T1SS	MF7_c1_T1SS_2/c1	1	T1SS_omf	EFEKAH_07755	The quorum of mandatory genes required (3) is not reached: 1/The quorum of genes required (3) is not reached: 1
MF7	T1SS	MF7_c2_T1SS_1/c2	1	T1SS_omf	EFEKAH_00246	The quorum of mandatory genes required (3) is not reached: 1/The quorum of genes required (3) is not reached: 1
MF7	T3SS	MF7_c2_T3SS_2/c2	2	Flg_flgB,Flg_flgC	EFEKAH_00130,EFEKAH_00131	There is 2 forbidden genes occurrence(s): Flg_flgB, Flg_flgC/The quorum of mandatory genes required (7) is not reached: 0/The quorum of genes required (7) is not reached: 0
MF7	T6SSi	MF7_c2_T6SSi_3/c2	3	T6SSi_tssF,T6SSi_tssI,T6SSi_evpJ	EFEKAH_00026,EFEKAH_00027,EFEKAH_00031	The quorum of mandatory genes required (11) is not reached: 3/The quorum of genes required (11) is not reached: 3
