accession	contig	role	length	clone_cluster
GCF_041205585.2	NZ_CM145223.1	pC3	608063	4
GCF_043193125.1	NZ_CP142982.1	chromosome2	2949100	208
GCF_043193125.1	NZ_CP142983.1	pC3	1110499	208
GCF_044501195.1	NZ_CP162533.1	chromosome2	3316690	209
GCF_044501195.1	NZ_CP162534.1	pC3	1465948	209
GCF_045345775.1	NZ_CP174277.1	chromosome2	2799897	210
GCF_045345775.1	NZ_CP174278.1	pC3	1087154	210
GCF_046773525.1	NZ_CP177245.1	chromosome2	3418465	213
GCF_046773525.1	NZ_CP177246.1	pC3	1062444	213
GCF_047127275.1	NZ_CP098397.1	chromosome2	3418796	214
GCF_047127275.1	NZ_CP098398.1	pC3	1354427	214
GCF_047902435.1	NZ_CP138379.1	chromosome2	3375692	218
GCF_047902435.1	NZ_CP138380.1	pC3	1411079	218
GCF_048565265.1	NZ_CP183462.1	chromosome2	3438352	219
GCF_048565265.1	NZ_CP183463.1	pC3	1379386	219
GCF_049487195.1	NZ_CP137810.1	chromosome2	3268913	222
GCF_049487195.1	NZ_CP137809.1	pC3	1276413	222
GCF_049942845.1	NZ_CP187968.1	chromosome2	2805731	55
GCF_049942845.1	NZ_CP187969.1	pC3	1154659	55
GCF_050430075.1	NZ_CP191272.1	chromosome2	1112911	51
GCF_050430075.1	NZ_CP191273.1	pC3	557219	51
GCF_050613135.1	NZ_CP192534.1	chromosome2	3325566	223
GCF_050613135.1	NZ_CP192535.1	pC3	1273355	223
GCF_050632315.1	NZ_CP192546.1	chromosome2	3146363	24
GCF_050632315.1	NZ_CP192547.1	pC3	1249208	24
GCF_050632325.1	NZ_CP192561.1	chromosome2	3391474	224
GCF_050632325.1	NZ_CP192562.1	pC3	1232208	224
GCF_050632355.1	NZ_CP192550.1	chromosome2	3452404	225
GCF_050632355.1	NZ_CP192551.1	pC3	1455279	225
GCF_050813845.1	NZ_CP172422.1	chromosome2	3569160	226
GCF_050813845.1	NZ_CP172423.1	pC3	810260	226
GCF_051355645.1	NZ_CP195709.1	chromosome2	3595701	39
GCF_051355645.1	NZ_CP195708.1	pC3	1395069	39
GCF_051615025.1	NZ_CP195132.1	chromosome2	2175802	231
GCF_051615025.1	NZ_CP195131.1	pC3	1389204	231
GCF_053038975.1	NZ_CP199960.1	chromosome2	2862001	56
GCF_053038975.1	NZ_CP199961.1	pC3	1244422	56
GCF_053348855.1	NZ_CM130028.1	chromosome2	2960641	232
GCF_053348855.1	NZ_CM130029.1	pC3	978336	232
GCF_054166185.1	NZ_JBSWBZ010000004.1	chromosome2	3014549	235
GCF_054166185.1	NZ_CM135122.1	pC3	1268256	235
GCF_054166245.1	NZ_CM135125.1	chromosome2	3305972	35
GCF_054166245.1	NZ_JBSWCC010000002.1	pC3	530913	35
GCF_055386035.1	NZ_AP028974.1	chromosome2	3758526	9
GCF_055386035.1	NZ_AP028975.1	pC3	402366	9
GCF_055391905.1	NZ_AP043693.1	chromosome2	2645723	237
GCF_055391905.1	NZ_AP043694.1	pC3	1297584	237
GCF_056783395.1	NZ_CM165589.1	chromosome2	3428300	240
GCF_056783395.1	NZ_JBXAZP010000003.1	pC3	1238097	240
GCF_057005415.2	NZ_CM174447.1	chromosome2	3685627	244
GCF_057005415.2	NZ_CM189268.1	pC3	1297318	244
GCF_059089405.1	NZ_CM180998.1	chromosome2	3373875	246
GCF_059089405.1	NZ_CM180999.1	pC3	1046852	246
GCF_964264985.1	NZ_OZ183793.1	chromosome2	3046645	249
GCF_964264985.1	NZ_OZ183794.1	pC3	999322	249
GCF_964264995.1	NZ_OZ183796.1	chromosome2	3601574	60
GCF_964264995.1	NZ_OZ183798.1	pC3	1103841	60
GCF_964265015.1	NZ_OZ183806.1	chromosome2	3495121	250
GCF_964265015.1	NZ_OZ183807.1	pC3	1200466	250
GCF_964265025.1	NZ_OZ183803.1	chromosome2	3486477	251
GCF_964265025.1	NZ_OZ183804.1	pC3	1136949	251
GCF_984667665.1	NZ_OZ480170.1	chromosome2	3532587	10
GCF_984667665.1	NZ_OZ480171.1	pC3	1190410	10
GCF_984667725.1	NZ_OZ480175.1	chromosome2	3479138	61
GCF_984667725.1	NZ_OZ480176.1	pC3	1368847	61
GCF_984668355.1	NZ_OZ480199.1	chromosome2	3342179	19
GCF_984668355.1	NZ_OZ480200.1	pC3	1145148	19
GCF_984668525.1	NZ_OZ480212.1	chromosome2	3197900	253
GCF_984668525.1	NZ_OZ480213.1	pC3	1253739	253
GCF_984669265.1	NZ_OZ480218.1	chromosome2	3091526	254
GCF_984669265.1	NZ_OZ480219.1	pC3	967293	254
GCF_984669585.1	NZ_OZ480236.1	chromosome2	3411081	7
GCF_984669585.1	NZ_OZ480237.1	pC3	967604	7
GCF_984669705.1	NZ_OZ480243.1	chromosome2	3219997	255
GCF_984669705.1	NZ_OZ480244.1	pC3	1336675	255
