accession	organism_name	genus	strain	query_genus	total_length	gc_percent	n_replicons_total	replicon_sizes	largest	second	third	sequencing_tech	checkm_completeness	checkm_contamination	ncbi_n_chromosomes	n_large_200kb	n_large_300kb	n_large_500kb	n_large_1000kb	architecture	ncbi_labelled_chromosomes	ncbi_labelled_plasmids	third_ncbi_label	third_chr_name	size_vs_label_agree	qc_pass	qc_reason
GCA_965199415.1	Burkholderia pseudomallei	Burkholderia	21-7286_7 R#1	Burkholderia	7312858	68	2	4090989;3221869	4090989	3221869	0	OXFORD_NANOPORE, MiSeq ILLUMINA	87.93	0.68	2	2	2	2	2	2_large	2	0			True	False	completeness<95
GCA_965199775.1	Burkholderia pseudomallei	Burkholderia	22-9817_4 R#1	Burkholderia	6984844	68	2	4100456;2884388	4100456	2884388	0	OXFORD_NANOPORE, MiSeq ILLUMINA	94.5	0.98	2	2	2	2	2	2_large	2	0			True	False	completeness<95
GCA_965217235.1	Burkholderia multivorans	Burkholderia		Burkholderia	5679994	66	2	3451707;2228287	3451707	2228287	0	MICROBESNG	70.9	8.65	2	2	2	2	2	2_large	2	0			True	False	completeness<95
GCA_965217245.1	Burkholderia multivorans	Burkholderia		Burkholderia	5480461	66.5	2	3340722;2139739	3340722	2139739	0	MICROBESNG	70.06	8.57	2	2	2	2	2	2_large	2	0			True	False	completeness<95
GCA_980298765.1	Burkholderia pseudomallei	Burkholderia	IHUMIBP5	Burkholderia	7004592	68	2	3910731;3093861	3910731	3093861	0	Illumina MiSeq ; Oxford-Nanopore GridIon	94.56	1.11	2	2	2	2	2	2_large	2	0			True	False	completeness<95
GCF_000009485.1	Burkholderia cenocepacia J2315	Burkholderia	J2315	Burkholderia	8055782	67	4	3870082;3217062;875977;92661	3870082	3217062	875977		99.34	1.17	4	3	3	3	2	3_large	3	1	Chromosome	3	True	True	
GCF_000010545.1	Burkholderia multivorans ATCC 17616	Burkholderia	ATCC 17616	Burkholderia	7008810	66.5	4	3448421;2473162;919805;167422	3448421	2473162	919805		99.33	0.56	4	3	3	3	2	3_large	3	1	Chromosome	3	True	True	
GCF_000011545.1	Burkholderia pseudomallei K96243	Burkholderia	K96243	Burkholderia	7247547	68	2	4074542;3173005	4074542	3173005	0		99.29	0.92	2	2	2	2	2	2_large	2	0			True	True	
GCF_000011705.1	Burkholderia mallei ATCC 23344	Burkholderia	ATCC 23344	Burkholderia	5835527	68.5	2	3510148;2325379	3510148	2325379	0		98.02	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000012365.1	Burkholderia thailandensis E264	Burkholderia	E264; ATCC 700388	Burkholderia	6723972	67.5	2	3809201;2914771	3809201	2914771	0		100	0.06	2	2	2	2	2	2_large	2	0			True	True	
GCF_000012785.1	Burkholderia pseudomallei 1710b	Burkholderia	1710b	Burkholderia	7308054	68	2	4126292;3181762	4126292	3181762	0		99.18	0.93	2	2	2	2	2	2_large	2	0			True	True	
GCF_000012945.1	Burkholderia lata	Burkholderia	383	Burkholderia	8676277	66.5	3	3694126;3587082;1395069	3694126	3587082	1395069		99.49	0.09	3	3	3	3	3	3_large	3	0	Chromosome	3	True	True	
GCF_000013645.1	Paraburkholderia xenovorans LB400	Paraburkholderia	LB400	Paraburkholderia	9731138	62.5	3	4895836;3363523;1471779	4895836	3363523	1471779		99.94	0.03	3	3	3	3	3	3_large	3	0	Chromosome	3	True	True	
GCF_000015465.1	Burkholderia mallei SAVP1	Burkholderia	SAVP1	Burkholderia	5232401	68.5	2	3497479;1734922	3497479	1734922	0		97.26	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000015605.1	Burkholderia mallei NCTC 10229	Burkholderia	NCTC 10229	Burkholderia	5742303	68.5	2	3458208;2284095	3458208	2284095	0		97.46	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000015625.1	Burkholderia mallei NCTC 10247	Burkholderia	NCTC 10247	Burkholderia	5848380	68.5	2	3495687;2352693	3495687	2352693	0		97.17	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000015905.1	Burkholderia pseudomallei 668	Burkholderia	668	Burkholderia	7040403	68.5	2	3912947;3127456	3912947	3127456	0		98.93	0.92	2	2	2	2	2	2_large	2	0			True	True	
GCF_000015925.1	Burkholderia pseudomallei 1106a	Burkholderia	1106a	Burkholderia	7089249	68.5	2	3988455;3100794	3988455	3100794	0		99.33	0.87	2	2	2	2	2	2_large	2	0			True	True	
GCF_000016205.1	Burkholderia vietnamiensis G4	Burkholderia	G4	Burkholderia	8391070	65.5	8	3652814;2411759;1241007;397868;265616;226679;107231;88096	3652814	2411759	1241007				8	6	4	3	3	4+_large	3	5	Chromosome	3	False	True	
GCF_000018505.1	Burkholderia multivorans ATCC 17616	Burkholderia	ATCC 17616	Burkholderia	7008622	66.5	4	3448466;2472928;919806;167422	3448466	2472928	919806		99.33	0.56	4	3	3	3	2	3_large	3	1	Chromosome	3	True	True	
GCF_000019505.1	Burkholderia orbicola MC0-3	Burkholderia	MC0-3	Burkholderia	7971389	66.5	3	3532883;3213911;1224595	3532883	3213911	1224595		100		3	3	3	3	3	3_large	3	0	Chromosome	3	True	True	
GCF_000019925.1	Burkholderia ambifaria MC40-6	Burkholderia	MC40-6	Burkholderia	7642536	66.5	4	3443583;2769414;1127947;301592	3443583	2769414	1127947		100		4	4	4	3	3	4+_large	3	1	Chromosome	3	False	True	
GCF_000020045.1	Paraburkholderia phymatum STM815	Paraburkholderia	STM815	Paraburkholderia	8676562	62.5	4	3479187;2697374;1904893;595108	3479187	2697374	1904893		99.94	0.68	4	4	4	4	3	4+_large	2	2	Plasmid	pBPHY01	False	True	
GCF_000020125.1	Paraburkholderia phytofirmans PsJN	Paraburkholderia	PsJN	Paraburkholderia	8214658	62.5	3	4467537;3625999;121122	4467537	3625999	121122		99.94	0.45	3	2	2	2	2	2_large	2	1	Plasmid	pBPHYT01	True	True	
GCF_000022645.2	Burkholderia glumae BGR1	Burkholderia	BGR1	Burkholderia	7284636	68	6	3906507;2827333;141792;141067;134346;133591	3906507	2827333	141792		99.01	0.2	6	2	2	2	2	2_large	2	4	Plasmid	bglu_2p	True	True	
GCF_000092885.1	Paraburkholderia atlantica	Paraburkholderia	CCGE1002	Paraburkholderia	7884858	63.5	4	3518940;2593966;1282816;489136	3518940	2593966	1282816		99.5		4	4	4	3	3	4+_large	3	1	Chromosome	3	False	True	
GCF_000194745.1	Burkholderia gladioli BSR3	Burkholderia	BSR3	Burkholderia	9052299	67.5	6	4413616;3700833;403586;276215;129399;128650	4413616	3700833	403586		99.99	2.23	6	4	3	2	2	3_large	2	4	Plasmid	bgla_4p	False	True	
GCF_000198775.1	Mycetohabitans rhizoxinica HKI 454	Mycetohabitans	HKI 454	Mycetohabitans	3750138	60.5	3	2755309;822304;172525	2755309	822304	172525		94.41		3	2	2	2	1	2_large	1	2	Plasmid	pBRH02	False	False	completeness<95
GCF_000203915.1	Burkholderia ambifaria AMMD	Burkholderia	AMMD	Burkholderia	7528567	67	4	3556545;2646969;1281472;43581	3556545	2646969	1281472		100		4	3	3	3	3	3_large	3	1	Chromosome	3	True	True	
GCF_000203955.1	Burkholderia cenocepacia HI2424	Burkholderia	B1	Burkholderia	7702840	67	4	3483902;2998664;1055417;164857	3483902	2998664	1055417		98.92	0.67	4	3	3	3	3	3_large	3	1	Chromosome	3	True	True	
GCF_000236065.1	Burkholderia sp. YI23	Burkholderia	YI23	Burkholderia	8896411	63.5	6	3131280;1951047;1773019;1569570;356263;115232	3131280	1951047	1773019		99.28	0.43	6	5	5	4	4	4+_large	3	3	Chromosome	2	False	True	
GCF_000236215.2	Burkholderia cenocepacia H111	Burkholderia	H111	Burkholderia	7714893	67.5	3	3572953;3102677;1039263	3572953	3102677	1039263		99.06	0.75	3	3	3	3	3	3_large	3	0	Chromosome	3	True	True	
GCF_000260515.1	Burkholderia pseudomallei 1026b	Burkholderia	1026b	Burkholderia	7231415	68	2	4092668;3138747	4092668	3138747	0		99.36	0.98	2	2	2	2	2	2_large	2	0			True	True	
GCF_000262695.1	Burkholderia sp. KJ006	Burkholderia	KJ006	Burkholderia	6629912	67	4	3145156;2356985;1082410;45361	3145156	2356985	1082410	Illumina	100		4	3	3	3	3	3_large	3	1	Chromosome	3	True	True	
GCF_000292915.1	Burkholderia cepacia GG4	Burkholderia	GG4	Burkholderia	6467321	66.5	2	3463655;3003666	3463655	3003666	0		99.14	0.64	2	2	2	2	2	2_large	2	0			True	True	
GCF_000294635.1	Burkholderia pseudomallei BPC006	Burkholderia	BPC006	Burkholderia	7155061	68	2	4001777;3153284	4001777	3153284	0		98.87	0.98	2	2	2	2	2	2_large	2	0			True	True	
GCF_000300095.1	Paraburkholderia phenoliruptrix BR3459a	Paraburkholderia	BR3459a	Paraburkholderia	7651131	63	3	4152217;2713495;785419	4152217	2713495	785419		99.5		3	3	3	3	2	3_large	2	1	Plasmid	pSYMBR3459	False	True	
GCF_000385525.1	Burkholderia thailandensis MSMB121	Burkholderia	MSMB121	Burkholderia	6731379	67.5	2	3967794;2763585	3967794	2763585	0		100	0.36	2	2	2	2	2	2_large	2	0			True	True	
GCF_000402035.1	Caballeronia insecticola	Caballeronia	RPE64	Caballeronia	6964487	63	5	3013410;1465356;1275199;900830;309692	3013410	1465356	1275199	HiSeq2000; PacBio RS; ABI 3130	99.94	1.32	5	5	5	4	3	4+_large	3	2	Plasmid	p1	False	True	
GCF_000439695.1	Burkholderia pseudomallei MSHR305	Burkholderia	MSHR305	Burkholderia	7428072	68	2	4054155;3373917	4054155	3373917	0	Illumina HiSeq (std and LMP) & PacBio RS	99.29	1.26	2	2	2	2	2	2_large	2	0			True	True	
GCF_000494855.1	Burkholderia pseudomallei NCTC 13179	Burkholderia	NCTC 13179	Burkholderia	7337157	68	2	3997089;3340068	3997089	3340068	0	454 (long insert PE data); Illumina GAiiX (100bp std); PacBio	97.26	1.14	2	2	2	2	2	2_large	2	0			True	True	
GCF_000511895.1	Burkholderia pseudomallei NCTC 13178	Burkholderia	NCTC 13178	Burkholderia	7391364	68	2	4029451;3361913	4029451	3361913	0	454 LMP; Illumina GAiiX; PacBio RS	98.17	1.05	2	2	2	2	2	2_large	2	0			True	True	
GCF_000511915.1	Burkholderia pseudomallei NAU20B-16	Burkholderia	NAU20B-16	Burkholderia	7313851	68	2	4067895;3245956	4067895	3245956	0	paired end 454; Illumina Gaii; pacBio shotgun	98.55	0.92	2	2	2	2	2	2_large	2	0			True	True	
GCF_000520895.1	Burkholderia pseudomallei MSHR511	Burkholderia	MSHR511	Burkholderia	7316085	68	2	4067942;3248143	4067942	3248143	0	paired end 454; Illumina Gaii; PacBio Data	98.91	0.92	2	2	2	2	2	2_large	2	0			True	True	
GCF_000521645.1	Burkholderia pseudomallei MSHR146	Burkholderia	MSHR146	Burkholderia	7313103	68	2	4067985;3245118	4067985	3245118	0		98.76	0.92	2	2	2	2	2	2_large	2	0			True	True	
GCF_000522545.2	Paraburkholderia caribensis MBA4	Paraburkholderia	MBA4	Paraburkholderia	9482704	62.5	3	3575012;3352623;2555069	3575012	3352623	2555069	Illumina; 454; Pacbio	99.5	0.26	3	3	3	3	3	3_large	2	1	Plasmid	plasmid	False	True	
GCF_000567905.1	Burkholderia thailandensis H0587	Burkholderia	H0587	Burkholderia	6768375	68	2	3827433;2940942	3827433	2940942	0	paired end 454; Illumina Gaii; pacBio shotgun	99.57	0.38	2	2	2	2	2	2_large	2	0			True	True	
GCF_000567925.1	Burkholderia thailandensis 2002721723	Burkholderia	2002721723	Burkholderia	6577133	67.5	2	3662415;2914718	3662415	2914718	0	paired end 454; Illumina Gaii; pacBio shotgun	98.24	0.06	2	2	2	2	2	2_large	2	0			True	True	
GCF_000567945.1	Burkholderia thailandensis E444	Burkholderia	E444	Burkholderia	6651696	67.5	2	3799595;2852101	3799595	2852101	0		99.01	0.06	2	2	2	2	2	2_large	2	0			True	True	
GCF_000583835.1	Burkholderia pseudomallei MSHR520	Burkholderia	MSHR520	Burkholderia	7450511	68	2	4059501;3391010	4059501	3391010	0	paired end 454; Illumina Gaii; pacBio shotgun	98.39	1.04	2	2	2	2	2	2_large	2	0			True	True	
GCF_000701165.1	Burkholderia cepacia JBK9	Burkholderia	JBK9	Burkholderia	8481212	67	3	3790084;3400736;1290392	3790084	3400736	1290392	PacBio	99.62	3.85	3	3	3	3	3	3_large	3	0	Chromosome	3	True	True	
GCF_000705535.2	Burkholderia seminalis	Burkholderia	869T2	Burkholderia	8022336	67	3	3561262;3012498;1448576	3561262	3012498	1448576	Illumina MiSeq; Oxford Nanopore MinION	99.89	0.03	3	3	3	3	3	3_large	3	0	Chromosome	3	True	True	
GCF_000706745.1	Burkholderia thailandensis USAMRU Malaysia #20	Burkholderia	USAMRU Malaysia #20	Burkholderia	6684359	67.5	2	3862646;2821713	3862646	2821713	0	454pe; Illumina; PacBio	99.95	0.06	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755725.1	Burkholderia cenocepacia	Burkholderia	DDS 22E-1	Burkholderia	8045250	67	3	3668832;3209624;1166794	3668832	3209624	1166794	Illumina; Pacbio	88.83	7.46	3	3	3	3	3	3_large	3	0	Chromosome	3	True	False	completeness<95
GCF_000755765.1	Burkholderia pseudomallei	Burkholderia	BDP	Burkholderia	7442161	68	2	4056147;3386014	4056147	3386014	0	Illumina; 454; PacBio	99.23	1.26	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755785.1	Burkholderia mallei	Burkholderia	FMH 23344	Burkholderia	5835541	68.5	2	3510187;2325354	3510187	2325354	0	Illumina; 454; PacBio	98.09	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755805.1	Burkholderia cepacia	Burkholderia	DDS 7H-2	Burkholderia	8147114	67	3	3760231;3206581;1180302	3760231	3206581	1180302	Illumina; Pacbio	99.27	4.21	3	3	3	3	3	3_large	3	0	Chromosome	3	True	True	
GCF_000755825.1	Burkholderia pseudomallei	Burkholderia	BSR	Burkholderia	7272702	68	2	4058409;3214293	4058409	3214293	0	Illumina; 454; PacBio	99.07	0.98	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755845.1	Burkholderia mallei	Burkholderia	6	Burkholderia	5647769	68.5	2	3501048;2146721	3501048	2146721	0	Illumina; 454 ; PacBio	94.02	1.07	2	2	2	2	2	2_large	2	0			True	False	completeness<95
GCF_000755865.1	Burkholderia mallei	Burkholderia	23344	Burkholderia	5625292	68.5	2	3531732;2093560	3531732	2093560	0	Illumina; PacBio	96.31	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755885.1	Burkholderia mallei	Burkholderia	BMQ	Burkholderia	5630231	68.5	2	3533325;2096906	3533325	2096906	0	Illumina; PacBio	96.6	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755905.1	Burkholderia pseudomallei HBPUB10303a	Burkholderia	HBPUB10303a	Burkholderia	7178176	68	2	3984054;3194122	3984054	3194122	0	Illumina; 454; PacBio	99.07	0.81	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755925.1	Burkholderia pseudomallei HBPUB10134a	Burkholderia	HBPUB10134a	Burkholderia	7218403	68	2	4017692;3200711	4017692	3200711	0	Illumina; 454	99.36	0.87	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755945.1	Burkholderia pseudomallei MSHR5858	Burkholderia	MSHR5858	Burkholderia	7072128	68.5	2	3925545;3146583	3925545	3146583	0	Illumina; PacBio	99.03	0.84	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755965.1	Burkholderia pseudomallei MSHR5848	Burkholderia	MSHR5848	Burkholderia	7290434	68	2	4054219;3236215	4054219	3236215	0	Illumina; 454; PacBio	99.03	0.97	2	2	2	2	2	2_large	2	0			True	True	
GCF_000755985.1	Burkholderia oklahomensis	Burkholderia	EO147	Burkholderia	7313673	67	2	4192008;3121665	4192008	3121665	0	Illumina; PacBio	99.86	1.1	2	2	2	2	2	2_large	2	0			True	True	
GCF_000756005.1	Burkholderia multivorans	Burkholderia	DDS 15A-1	Burkholderia	7281867	66.5	3	3603686;2541526;1136655	3603686	2541526	1136655	Illumina; PacBio	98.6	3.18	3	3	3	3	3	3_large	3	0	Chromosome	3	True	True	
GCF_000756025.1	Burkholderia mallei	Burkholderia	2000031063	Burkholderia	5874930	68.5	2	3553363;2321567	3553363	2321567	0	Illumina; PacBio	97.84	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000756045.1	Paraburkholderia xenovorans LB400	Paraburkholderia	LB400	Paraburkholderia	9702951	62.5	3	4868129;3363006;1471816	4868129	3363006	1471816	Illumina; 454; PacBio	99.94	0.03	3	3	3	3	3	3_large	3	0	Chromosome	3	True	True	
GCF_000756065.1	Burkholderia pseudomallei MSHR5855	Burkholderia	MSHR5855	Burkholderia	7297804	68	2	4060827;3236977	4060827	3236977	0	Illumina; 454; PacBio	99.03	0.97	2	2	2	2	2	2_large	2	0			True	True	
GCF_000756085.1	Burkholderia pseudomallei	Burkholderia	BGR	Burkholderia	7231385	68	2	4092738;3138647	4092738	3138647	0	Illumina; 454; PacBio	99.36	0.97	2	2	2	2	2	2_large	2	0			True	True	
GCF_000756125.1	Burkholderia pseudomallei	Burkholderia	Mahidol-1106a	Burkholderia	7085397	68.5	2	3985223;3100174	3985223	3100174	0	Illumina; 454; PacBio	99.36	0.87	2	2	2	2	2	2_large	2	0			True	True	
GCF_000756145.1	Burkholderia pseudomallei	Burkholderia	1106a	Burkholderia	7086433	68.5	2	3984293;3102140	3984293	3102140	0	Illumina; 454	98.49	0.87	2	2	2	2	2	2_large	2	0			True	True	
GCF_000756165.1	Burkholderia pseudomallei	Burkholderia	MSHR1655	Burkholderia	7027950	68	2	4019546;3008404	4019546	3008404	0	Illumina; 454	99.24	1.03	2	2	2	2	2	2_large	2	0			True	True	
GCF_000756185.1	Burkholderia pseudomallei 576	Burkholderia	576	Burkholderia	7266604	68	2	4021786;3244818	4021786	3244818	0	Illumina; 454	99.21	0.99	2	2	2	2	2	2_large	2	0			True	True	
GCF_000757015.2	Burkholderia pseudomallei	Burkholderia	PHLS 112	Burkholderia	7202363	68	2	3976798;3225565	3976798	3225565	0	Illumina; PacBio; 454	99.14	0.81	2	2	2	2	2	2_large	2	0			True	True	
GCF_000757035.2	Burkholderia pseudomallei Pasteur 52237	Burkholderia	Pasteur 52237	Burkholderia	7325318	68	2	4140573;3184745	4140573	3184745	0	Illumina; PacBio	99.1	0.87	2	2	2	2	2	2_large	2	0			True	True	
GCF_000762285.1	Burkholderia mallei NCTC 10247	Burkholderia	NCTC 10247	Burkholderia	5827656	68.5	2	3476239;2351417	3476239	2351417	0	Illumina; PacBio	97.17	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000764575.1	Burkholderia pseudomallei NAU35A-3	Burkholderia	NAU35A-3	Burkholderia	7204083	68	2	3955135;3248948	3955135	3248948	0	Illumina; PacBio; 454pe	98.4	0.98	2	2	2	2	2	2_large	2	0			True	True	
GCF_000764595.1	Burkholderia thailandensis MSMB59	Burkholderia	MSMB59	Burkholderia	6739500	67.5	2	3916324;2823176	3916324	2823176	0	454; Illumina	100	0.06	2	2	2	2	2	2_large	2	0			True	True	
GCF_000764955.1	Burkholderia cenocepacia	Burkholderia	DWS 37E-2	Burkholderia	6612421	66.5	3	3241886;2375865;994670	3241886	2375865	994670	Illumina; 454	85.79	3.68	3	3	3	3	2	3_large	3	0	Chromosome	3	True	False	completeness<95
GCF_000765375.1	Burkholderia thailandensis E254	Burkholderia	E254	Burkholderia	6676730	67.5	2	3805980;2870750	3805980	2870750	0	454pe: Illumina; PacBio	99.02	0.06	2	2	2	2	2	2_large	2	0			True	True	
GCF_000770395.1	Burkholderia pseudomallei MSHR62	Burkholderia	MSHR62	Burkholderia	7225433	68	2	4031107;3194326	4031107	3194326	0	Illumina; PacBio	99.1	1.19	2	2	2	2	2	2_large	2	0			True	True	
GCF_000770455.1	Burkholderia pseudomallei B03	Burkholderia	B03	Burkholderia	7264759	68	2	4008750;3256009	4008750	3256009	0	Illumina; PacBio	99.14	1.03	2	2	2	2	2	2_large	2	0			True	True	
GCF_000770495.1	Burkholderia pseudomallei TSV 48	Burkholderia	TSV 48	Burkholderia	7337621	68	2	4110442;3227179	4110442	3227179	0	Illumina; PacBio	97.61	2.34	2	2	2	2	2	2_large	2	0			True	True	
GCF_000770515.1	Burkholderia pseudomallei K42	Burkholderia	K42	Burkholderia	7296458	68	2	3969389;3327069	3969389	3327069	0	Illumina; PacBio	98.89	0.99	2	2	2	2	2	2_large	2	0			True	True	
GCF_000770535.1	Burkholderia pseudomallei A79A	Burkholderia	A79A	Burkholderia	7272441	68	2	4008865;3263576	4008865	3263576	0	Illumina; PacBio	98.92	1.09	2	2	2	2	2	2_large	2	0			True	True	
GCF_000770565.1	Burkholderia pseudomallei	Burkholderia	TSV202	Burkholderia	7814142	67.5	4	4228716;3267160;271168;47098	4228716	3267160	271168	Illumina; PacBio	98.55	3	4	3	2	2	2	2_large	2	2	Plasmid	1	True	True	
GCF_000808035.2	Burkholderia thailandensis	Burkholderia	2003015869	Burkholderia	6729116	67.5	2	3762666;2966450	3762666	2966450	0	Illumina; 454; Pacbio	99.57	0.06	2	2	2	2	2	2_large	2	0			True	True	
GCF_000828875.1	Caballeronia cordobensis	Caballeronia	RPE67	Caballeronia	8685756	63.5	6	3090091;1787110;1680600;1438033;495745;194177	3090091	1787110	1680600	PacBio RS; ABI 3130	99.72	0.81	6	5	5	4	4	4+_large	3	3	Chromosome	3	False	True	
GCF_000835205.1	Burkholderia plantarii	Burkholderia	PG1	Burkholderia	7896538	69	2	4163767;3732771	4163767	3732771	0		98.55	1.84	2	2	2	2	2	2_large	2	0			True	True	
GCF_000953095.1	Burkholderia pseudomallei	Burkholderia	C1	Burkholderia	7161665	68	2	4044293;3117372	4044293	3117372	0	Illumina and PacBio	99.36	0.87	2	2	2	2	2	2_large	2	0			True	True	
GCF_000954175.1	Burkholderia pseudomallei	Burkholderia	vgh07	Burkholderia	7045782	68	2	4006427;3039355	4006427	3039355	0	Illumina HiSeq	98.88	0.87	2	2	2	2	2	2_large	2	0			True	True	
GCF_000959125.1	Burkholderia pseudomallei 1026b	Burkholderia	1026b	Burkholderia	7237672	68	2	4092218;3145454	4092218	3145454	0	454PE; Illumina; PacBio	98.76	0.92	2	2	2	2	2	2_large	2	0			True	True	
GCF_000959145.1	Burkholderia pseudomallei 406e	Burkholderia	406E	Burkholderia	7271506	68	2	4055060;3216446	4055060	3216446	0	Illumina; 454; PacBio	99.02	0.98	2	2	2	2	2	2_large	2	0			True	True	
GCF_000959165.1	Burkholderia mallei	Burkholderia	2002734299	Burkholderia	5742341	68.5	2	3458247;2284094	3458247	2284094	0	Illumina; PacBio; 454	97.46	0.71	2	2	2	2	2	2_large	2	0			True	True	
GCF_000959185.1	Burkholderia pseudomallei MSHR840	Burkholderia	MSHR840	Burkholderia	7129813	68	2	4021787;3108026	4021787	3108026	0	Illumina; PacBio; 454	99.13	1	2	2	2	2	2	2_large	2	0			True	True	
GCF_000959205.1	Burkholderia pseudomallei MSHR491	Burkholderia	MSHR491	Burkholderia	7356376	68	2	4088931;3267445	4088931	3267445	0	Illumina; PacBio; 454	98.59	1.17	2	2	2	2	2	2_large	2	0			True	True	
GCF_000959225.1	Burkholderia pseudomallei MSHR2543	Burkholderia	MSHR2543	Burkholderia	7446569	68	2	4240604;3205965	4240604	3205965	0	Illumina; PacBio, 454	98.94	0.94	2	2	2	2	2	2_large	2	0			True	True	
GCF_000959245.1	Burkholderia ubonensis MSMB22	Burkholderia	MSMB22	Burkholderia	7189071	67.5	3	3546310;2722556;920205	3546310	2722556	920205	Illumina; PacBio; 454	100	1.49	3	3	3	3	2	3_large	3	0	Chromosome	III	True	True	
GCF_000959265.1	Burkholderia pseudomallei 7894	Burkholderia	7894	Burkholderia	7381912	68	2	4121652;3260260	4121652	3260260	0	Illumina; PacBio; 454	99.13	1.17	2	2	2	2	2	2_large	2	0			True	True	
GCF_000959285.1	Burkholderia pseudomallei K96243	Burkholderia	K96243	Burkholderia	7247614	68	2	4074547;3173067	4074547	3173067	0	Illumina; PacBio; 454	99.32	0.92	2	2	2	2	2	2_large	2	0			True	True	
GCF_000959305.1	Burkholderia pseudomallei	Burkholderia	MSHR668	Burkholderia	7042714	68.5	2	3915257;3127457	3915257	3127457	0	Illumina; PacBio; 454	98.82	1.03	2	2	2	2	2	2_large	2	0			True	True	
