region	contig	region_product	protein_id	gene	product	feature	start	end	strand	length_bp	gene_kind	in_protocluster_core	logFC	adj.P.Val	category	direction	mibig_accession	mibig_similarity
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08375		GNAT family N-acetyltransferase	CDS	1805076	1806107	+	1032	biosynthetic-additional	True			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08380		lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein	CDS	1806141	1807517	+	1377	biosynthetic	True			missing_in_A		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08385		TonB-dependent siderophore receptor	CDS	1807564	1809804	+	2241	transport	False	-2.56623221000703	6.86843503099094e-08	significant	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08390		formyltransferase family protein	CDS	1809893	1810732	+	840		False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08395		GNAT family N-acetyltransferase	CDS	1810732	1811748	+	1017	biosynthetic-additional	False	-3.68990813401702	1.50505552971099e-05	significant	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08400	vapB	type II toxin-antitoxin system VapB family antitoxin	CDS	1811999	1812262	+	264		False	0.902048343438459	0.0051728233562397	significant	up in MF6C	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08405		PIN domain-containing protein	CDS	1812259	1812675	+	417		False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08410		nucleotidyl transferase AbiEii/AbiGii toxin family protein	CDS	1812720	1813625	-	906		False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08415		type IV toxin-antitoxin system AbiEi family antitoxin	CDS	1813594	1814664	-	1071		False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08420		M20 aminoacylase family protein	CDS	1815024	1816187	+	1164	biosynthetic-additional	False			missing_in_B		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08425		type II toxin-antitoxin system ParD family antitoxin	CDS	1816300	1816587	+	288		False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08430		cobyrinic acid a,c-diamide synthase CobB	CDS	1816623	1817933	-	1311		False	-1.01390631413906	0.0002117190065847	significant	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08435	cobO	cob(I)yrinic acid a,c-diamide adenosyltransferase	CDS	1817936	1818538	-	603		False	-0.0970342933172788	0.555565290359488	nonsig	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08440		cobalamin biosynthesis protein	CDS	1818573	1818950	-	378		False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08445	cobA	uroporphyrinogen-III C-methyltransferase	CDS	1818947	1819756	-	810	biosynthetic-additional	False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08450		EAL domain-containing protein	CDS	1820401	1821897	+	1497		False	1.13005324546661	0.0193437628358753	significant	up in MF6C	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08455		TonB-dependent receptor	CDS	1821991	1824129	-	2139	transport	False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08460	cobW	cobalamin biosynthesis protein CobW	CDS	1824767	1825855	+	1089	biosynthetic-additional	False	-0.981049187766473	3.55099538497486e-06	significant	up in MF6	BGC0002569.3	1.466
chr1.region003	chr1	terpene	AC1V0C_09925		glycerate kinase	CDS	2140047	2141192	+	1146		False	0.294574387215963	0.0105060323907605	significant	up in MF6C	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09930		MarR family winged helix-turn-helix transcriptional regulator	CDS	2141255	2141704	+	450	regulatory	False	0.8128484577209	0.0012540585584535	significant	up in MF6C	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09935		2-dehydropantoate 2-reductase	CDS	2141903	2142901	-	999		False	1.01927818514508	0.0001448657832247	significant	up in MF6C	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09940		helix-turn-helix transcriptional regulator	CDS	2143007	2144158	-	1152		False			not_quantified		BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09945		hypothetical protein	CDS	2144291	2144464	+	174		False			not_quantified		BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09950		porin	CDS	2144461	2145507	+	1047		False			not_quantified		BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09955		MFS transporter	CDS	2145529	2146731	+	1203	transport	False			not_quantified		BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09960		class II histone deacetylase	CDS	2146746	2147855	+	1110		False			not_quantified		BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09965		hypothetical protein	CDS	2147967	2148197	+	231		False			not_quantified		BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09970		hypothetical protein	CDS	2148268	2148567	+	300		False			not_quantified		BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09980	hpnD	presqualene diphosphate synthase HpnD	CDS	2149052	2149885	+	834	biosynthetic	True	-0.159665537593817	0.292356094532095	nonsig	up in MF6	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09985		DUF1501 domain-containing protein	CDS	2149896	2151116	-	1221		False	-0.134529049144881	0.649623720859612	nonsig	up in MF6	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09990		DUF1800 domain-containing protein	CDS	2151171	2152676	-	1506		False			not_quantified		BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_09995		hypothetical protein	CDS	2152811	2153089	-	279		False			not_quantified		BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_10000	ompR	osmolarity response regulator transcription factor OmpR	CDS	2153348	2154082	+	735	regulatory	False	0.311119467486431	0.0012332435874906	significant	up in MF6C	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_10005		ATP-binding protein	CDS	2154124	2155485	+	1362	regulatory	False	0.275412147911865	0.0779483585965034	nonsig	up in MF6C	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_10010		peroxiredoxin	CDS	2155675	2156223	+	549	biosynthetic-additional	False	-0.300756010250275	0.0398427191238583	significant	up in MF6	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_10015		carboxymuconolactone decarboxylase family protein	CDS	2156300	2156827	+	528		False	-0.348699031156578	0.012756120222001	significant	up in MF6	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_10020	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	CDS	2156954	2157439	-	486		False	-0.454022137193441	0.0077313899799883	significant	up in MF6	BGC0000527.5	0.373
chr1.region003	chr1	terpene	AC1V0C_10025	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	CDS	2157468	2158178	-	711	biosynthetic-additional	False	-0.500826181802218	0.0090475590948423	significant	up in MF6	BGC0000527.5	0.373
chr1.region004	chr1	arylpolyene	AC1V0C_10615		ABC transporter ATP-binding protein	CDS	2280464	2282086	-	1623	transport	False	0.724834092452944	0.0006549792972025	significant	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10620		ABC transporter permease	CDS	2282083	2283180	-	1098	transport	False	0.154626275521668	0.858689369688034	nonsig	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10625		microcin C ABC transporter permease YejB	CDS	2283229	2284272	-	1044	transport	False	1.20427509295466	0.0068267171846442	significant	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10630		extracellular solute-binding protein	CDS	2284323	2286197	-	1875	transport	False	0.325477468510496	0.0019878452676676	significant	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10635		hypothetical protein	CDS	2286338	2286694	-	357		False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10640		response regulator transcription factor	CDS	2286859	2287533	-	675	regulatory	False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10645		sensor histidine kinase	CDS	2287550	2288941	-	1392	regulatory	False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10650		response regulator transcription factor	CDS	2288953	2289627	-	675	regulatory	False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10655		DUF4148 domain-containing protein	CDS	2289846	2290145	+	300		False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10660	cyoD	cytochrome o ubiquinol oxidase subunit IV	CDS	2290254	2290586	-	333		False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10665	cyoC	cytochrome o ubiquinol oxidase subunit III	CDS	2290587	2291195	-	609		False			missing_in_A		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10670	cyoB	cytochrome o ubiquinol oxidase subunit I	CDS	2291195	2293198	-	2004		False			missing_in_A		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10675	cyoA	ubiquinol oxidase subunit II	CDS	2293202	2294089	-	888		False			missing_in_A		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10680		complex I subunit 4 family protein	CDS	2294374	2295903	-	1530		False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10685		LysE family translocator	CDS	2296369	2296965	-	597	transport	False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10690		NAD(P)/FAD-dependent oxidoreductase	CDS	2297012	2298271	-	1260	biosynthetic-additional	False	-0.607244530666918	0.0015632596699323	significant	up in MF6	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10695		class I SAM-dependent methyltransferase	CDS	2298380	2299099	+	720	biosynthetic-additional	False			missing_in_A		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10700		excinuclease ABC subunit A	CDS	2299148	2299570	-	423		False	0.237942058304895	0.189135068147326	nonsig	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10705		signal peptidase	CDS	2299594	2300016	-	423		False	-0.203611964914593	0.0835399171698091	nonsig	up in MF6	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10710		beta-ketoacyl synthase N-terminal-like domain-containing protein	CDS	2300049	2301272	-	1224	biosynthetic	True			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10715		beta-ketoacyl-ACP synthase	CDS	2301269	2302498	-	1230	biosynthetic	True	0.115687849510419	0.586464591052761	nonsig	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10720		3-ketoacyl-ACP reductase FabG2	CDS	2302498	2303223	-	726	biosynthetic-additional	True	0.371277973689402	0.149611918831182	nonsig	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10725		hotdog family protein	CDS	2303220	2303723	-	504		True			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10730		beta-ketoacyl-[acyl-carrier-protein] synthase family protein	CDS	2303725	2304912	-	1188	biosynthetic	True			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10735		MMPL family transporter	CDS	2304909	2307317	-	2409		False	-0.212646538653839	0.234826027102438	nonsig	up in MF6	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10740		LolA family protein	CDS	2307317	2307982	-	666		False	0.155100913518758	0.5334817365027	nonsig	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10745		acyl-CoA thioesterase	CDS	2307973	2308401	-	429	biosynthetic-additional	False	-0.436992427839304	0.085848385506329	nonsig	up in MF6	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10750		HAL/PAL/TAL family ammonia-lyase	CDS	2308398	2310008	-	1611		False			missing_in_A		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10755		glycosyltransferase family 2 protein	CDS	2309995	2311701	-	1707	biosynthetic-additional	False	-1.11197542756987	0.0273788672527937	significant	up in MF6	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10760		ApeI family dehydratase	CDS	2311701	2313389	-	1689	biosynthetic-additional	False			missing_in_A		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10765		COG4648 family protein	CDS	2313386	2314006	-	621		False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10770		acyl carrier protein	CDS	2314024	2314272	-	249	biosynthetic-additional	False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10775		phosphopantetheine-binding protein	CDS	2314269	2314574	-	306	biosynthetic-additional	False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10780		lysophospholipid acyltransferase family protein	CDS	2314549	2315343	-	795	biosynthetic-additional	False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10785		beta-ketoacyl synthase chain length factor	CDS	2315327	2316022	-	696	biosynthetic-additional	False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10790		IS30 family transposase	CDS	2316407	2316906	+	500		False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10800		aspartate kinase	CDS	2317287	2318540	-	1254		False	-0.639096705236845	1.560809563753e-05	significant	up in MF6	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10805		hypothetical protein	CDS	2318523	2318760	+	238		False			not_quantified		BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10810	tilS	tRNA lysidine(34) synthetase TilS	CDS	2318883	2320304	-	1422		False	-0.177135531820227	0.551100502800046	nonsig	up in MF6	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10815		acetyl-CoA carboxylase carboxyltransferase subunit alpha	CDS	2320351	2321322	-	972	biosynthetic-additional	False	0.0538502397245963	0.668127692121772	nonsig	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10820		DNA-3-methyladenine glycosylase family protein	CDS	2321426	2322253	-	828		False	0.374734590828883	0.0049345275119109	significant	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10825	cysS	cysteine--tRNA ligase	CDS	2322297	2323694	-	1398		False	0.31911296023161	0.0455406672546346	significant	up in MF6C	BGC0002341.2	0.753
chr1.region004	chr1	arylpolyene	AC1V0C_10830		tetratricopeptide repeat protein	CDS	2323929	2324651	+	723	other	False	0.0233400961643895	0.830722082028075	nonsig	up in MF6C	BGC0002341.2	0.753
chr1.region005	chr1	arylpolyene	AC1V0C_14545		phospholipase D family protein	CDS	3119429	3121051	-	1623		False	0.676399980220072	0.0020778331464649	significant	up in MF6C	BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14550		FadR/GntR family transcriptional regulator	CDS	3121200	3121916	-	717	regulatory	False	1.73668949388427	1.20702428979777e-05	significant	up in MF6C	BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14555		(Fe-S)-binding protein	CDS	3122045	3122842	+	798	other	False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14560		LutC/YkgG family protein	CDS	3122839	3123564	+	726		False			missing_in_A		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14565		LutB/LldF family L-lactate oxidation iron-sulfur protein	CDS	3123561	3125006	+	1446		False			missing_in_A		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14570		lactate permease LctP family transporter	CDS	3125057	3126757	+	1701		False	1.3548308009998	0.680173095196373	nonsig	up in MF6C	BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14575	loiP	metalloprotease LoiP	CDS	3126870	3127631	-	762		False	-0.61109083815883	0.0005619466276349	significant	up in MF6	BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14580		glycosyltransferase family 2 protein	CDS	3127835	3128617	-	783	biosynthetic-additional	False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14585		chorismate transformation FkbO/Hyg5 family protein	CDS	3128743	3130035	-	1293		False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14590	fabG	3-oxoacyl-ACP reductase FabG	CDS	3130073	3130789	-	717	biosynthetic-additional	False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14595		phosphopantetheine-binding protein	CDS	3130857	3131141	-	285	biosynthetic-additional	False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14600		COG4648 family protein	CDS	3131678	3132331	+	654		False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14605		AMP-binding protein	CDS	3132391	3134133	+	1743	biosynthetic-additional	False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14610		lysophospholipid acyltransferase family protein	CDS	3134130	3135107	+	978		False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14615		LolA family protein	CDS	3135104	3135748	+	645		False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14620		MMPL family transporter	CDS	3135748	3138222	+	2475	biosynthetic-additional	False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14625		polysaccharide deacetylase family protein	CDS	3138219	3139103	+	885	biosynthetic-additional	False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14630		beta-ketoacyl-[acyl-carrier-protein] synthase family protein	CDS	3139167	3140390	+	1224	biosynthetic	True			missing_in_A		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14635		beta-ketoacyl synthase chain length factor	CDS	3140399	3141217	+	819	biosynthetic-additional	False	-0.0067125319621261	0.967559869858878	nonsig	up in MF6	BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14640		hotdog family protein	CDS	3141214	3141717	+	504		False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14645		hypothetical protein	CDS	3141714	3142043	+	330		False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14650		hypothetical protein	CDS	3142135	3142341	-	207		False			not_quantified		BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14655	phbB	acetoacetyl-CoA reductase	CDS	3142449	3143192	-	744	biosynthetic-additional	False	-1.81352719576677	3.33943247608747e-05	significant	up in MF6	BGC0000866.5	0.656
chr1.region005	chr1	arylpolyene	AC1V0C_14660		acetyl-CoA C-acetyltransferase	CDS	3143411	3144592	-	1182	biosynthetic-additional	False	-1.49964725102389	6.03958341912993e-06	significant	up in MF6	BGC0000866.5	0.656
